RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,32839,Hideki Matsuyama,66.00,66,1
2,0,30925,Dustin Johnson,67.00,67,1
2,0,46970,Jon Rahm,67.00,67,1
4,0,21209,Sergio Garcia,67.50,135,2
5,0,24502,Adam Scott,68.25,273,4
6,0,26329,Louis Oosthuizen,68.67,412,6
7,0,27649,Brandt Snedeker,68.80,344,5
8,0,19803,Ryan Armour,69.00,690,10
8,0,33448,Justin Thomas,69.00,276,4
10,0,28252,Seamus Power,69.20,1038,15
11,0,29478,Kevin Kisner,69.25,831,12
12,0,25900,Lucas Glover,69.27,762,11
13,0,30110,Kyle Stanley,69.31,901,13
14,0,35450,Patrick Cantlay,69.43,486,7
15,0,46501,Ollie Schniederjans,69.44,1111,16
16,0,21961,Charles Howell III,69.45,764,11
17,0,26476,Chez Reavie,69.57,1461,21
17,0,25892,Steve Wheatcroft,69.57,487,7
19,0,20229,Stewart Cink,69.65,1184,17
20,0,28237,Rory McIlroy,69.67,209,3
21,0,24138,Ian Poulter,69.71,488,7
22,0,25493,Nick Taylor,69.74,1325,19
23,0,01810,Phil Mickelson,69.75,279,4
24,0,32333,Kevin Tway,69.82,1187,17
25,0,35532,Tom Hoge,69.92,839,12
25,0,25198,Francesco Molinari,69.92,839,12
25,0,46601,Trey Mullinax,69.92,839,12
28,0,31202,William McGirt,69.94,1119,16
29,0,19846,Brian Gay,70.00,1330,19
29,0,34409,David Lingmerth,70.00,980,14
29,0,22405,Justin Rose,70.00,140,2
29,0,29221,Webb Simpson,70.00,1050,15
29,0,25804,Bubba Watson,70.00,210,3
34,0,47959,Bryson DeChambeau,70.06,1261,18
35,0,24358,Robert Garrigus,70.07,981,14
36,0,12716,Charley Hoffman,70.13,1052,15
37,0,27214,Kevin Streelman,70.16,1333,19
38,0,30926,Chris Kirk,70.19,1474,21
39,0,24140,Sean O'Hair,70.21,983,14
39,0,30692,Scott Stallings,70.21,983,14
41,0,29289,S.Y. Noh,70.25,843,12
42,0,28500,Martin Flores,70.26,1335,19
43,0,48084,Wesley Bryan,70.27,1054,15
43,0,27095,Nick Watney,70.27,1054,15
45,0,27129,Luke List,70.28,1265,18
46,0,29461,Jamie Lovemark,70.33,844,12
46,0,26331,Charl Schwartzel,70.33,422,6
48,0,24361,Pat Perez,70.38,563,8
48,0,27064,Jhonattan Vegas,70.38,915,13
50,0,33399,Adam Hadwin,70.40,1056,15
50,0,27644,Brian Harman,70.40,1056,15
50,0,34360,Patrick Reed,70.40,704,10
53,0,23325,Vaughn Taylor,70.44,1268,18
54,0,35110,Brett Drewitt,70.48,1480,21
55,0,32448,James Hahn,70.50,1410,20
55,0,26300,Matt Jones,70.50,705,10
55,0,37278,Nicholas Lindheim,70.50,1128,16
55,0,25396,Kevin Na,70.50,705,10
59,0,49771,J.T. Poston,70.52,1481,21
60,0,29974,Branden Grace,70.57,494,7
60,0,23353,J.J. Henry,70.57,1623,23
62,0,20472,Alex Cejka,70.63,1130,16
63,0,35545,Blayne Barber,70.64,989,14
63,0,27141,J.B. Holmes,70.64,989,14
65,0,28679,Fabián Gómez,70.67,848,12
65,0,20157,Retief Goosen,70.67,848,12
65,0,27974,Sung Kang,70.67,1696,24
65,0,34264,Hudson Swafford,70.67,1272,18
65,0,25349,Tim Wilkinson,70.67,636,9
70,0,28420,Ryan Brehm,70.69,1131,16
71,0,29420,Billy Horschel,70.71,990,14
71,0,36699,Patrick Rodgers,70.71,990,14
