RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,23497,Tag Ridings,68.42,821,12
2,0,33448,Justin Thomas,68.77,3232,47
3,0,34046,Jordan Spieth,68.81,3234,47
4,0,32839,Hideki Matsuyama,69.10,2833,41
5,0,29926,Danny Lee,69.24,1454,21
6,0,21961,Charles Howell III,69.31,2010,29
7,0,46970,Jon Rahm,69.36,3052,44
8,0,12510,Chad Campbell,69.37,2081,30
9,0,12716,Charley Hoffman,69.53,2642,38
9,0,30925,Dustin Johnson,69.53,2642,38
11,0,25396,Kevin Na,69.54,1669,24
12,0,27958,Ryan Blaum,69.63,1323,19
13,0,40026,Daniel Berger,69.66,3274,47
14,0,22056,Cameron Percy,69.68,1533,22
15,0,23108,Matt Kuchar,69.78,3140,45
16,0,25349,Tim Wilkinson,69.79,977,14
17,0,27436,Graham DeLaet,69.81,1885,27
17,0,23621,Rory Sabbatini,69.81,1117,16
19,0,47128,Richy Werenski,69.82,1187,17
20,0,26851,Marc Leishman,69.89,2656,38
21,0,29478,Kevin Kisner,69.92,2517,36
22,0,25720,Chad Collins,69.93,979,14
22,0,31323,Gary Woodland,69.93,1888,27
24,0,25364,Paul Casey,69.94,3427,49
24,0,48081,Xander Schauffele,69.94,2238,32
26,0,35450,Patrick Cantlay,69.95,1399,20
26,0,36689,Brooks Koepka,69.95,2798,40
26,0,32640,Troy Merritt,69.95,1329,19
29,0,24138,Ian Poulter,69.96,1679,24
30,0,29725,Tony Finau,70.00,2170,31
30,0,24358,Robert Garrigus,70.00,1400,20
30,0,29221,Webb Simpson,70.00,2310,33
33,0,29461,Jamie Lovemark,70.03,2381,34
34,0,27466,Spencer Levin,70.06,1191,17
35,0,32102,Rickie Fowler,70.10,3365,48
36,0,30110,Kyle Stanley,70.13,2244,32
37,0,35891,Cameron Smith,70.14,1473,21
38,0,26499,Rafa Cabrera Bello,70.15,1824,26
39,0,19803,Ryan Armour,70.18,1193,17
40,0,39975,Michael Kim,70.19,1474,21
41,0,24924,Bill Haas,70.22,2598,37
42,0,22405,Justin Rose,70.26,2389,34
43,0,23353,J.J. Henry,70.27,1054,15
43,0,24781,Hunter Mahan,70.27,1054,15
43,0,33418,Shawn Stefani,70.27,1054,15
46,0,26951,Johnson Wagner,70.28,1265,18
47,0,31420,Anirban Lahiri,70.32,1758,25
48,0,24502,Adam Scott,70.33,2110,30
49,0,31557,Jim Herman,70.35,1196,17
50,0,33120,Mark Anderson,70.38,1126,16
50,0,25686,Jason Dufner,70.38,2604,37
52,0,46501,Ollie Schniederjans,70.39,1971,28
53,0,19846,Brian Gay,70.40,1408,20
54,0,35545,Blayne Barber,70.41,1197,17
54,0,26596,Ryan Moore,70.41,2253,32
54,0,24361,Pat Perez,70.41,2746,39
57,0,27936,Martin Laird,70.43,1972,28
58,0,33122,Russell Knox,70.44,1902,27
58,0,34466,Peter Malnati,70.44,1127,16
60,0,25892,Steve Wheatcroft,70.46,916,13
61,0,27644,Brian Harman,70.47,2537,36
61,0,35879,Kelly Kraft,70.47,1198,17
63,0,29518,Brendan Steele,70.48,2044,29
64,0,30191,Julián Etulain,70.50,705,10
64,0,32757,Patton Kizzire,70.50,705,10
64,0,27770,Camilo Villegas,70.50,1833,26
67,0,46550,Brandon Hagy,70.53,1199,17
68,0,35506,Mackenzie Hughes,70.55,2046,29
69,0,29740,Brad Fritsch,70.56,635,9
69,0,27129,Luke List,70.56,1905,27
69,0,24140,Sean O'Hair,70.56,1905,27
72,0,24846,Ricky Barnes,70.59,1200,17
72,0,34021,Bud Cauley,70.59,1906,27
72,0,32366,Kevin Chappell,70.59,2047,29
72,0,33399,Adam Hadwin,70.59,2400,34
76,0,36801,Mark Hubbard,70.60,1059,15
76,0,26476,Chez Reavie,70.60,2118,30
76,0,27214,Kevin Streelman,70.60,1765,25
79,0,34174,John Huh,70.62,1483,21
79,0,25818,Scott Piercy,70.62,1483,21
81,0,48822,Sebastián Muñoz,70.64,989,14
82,0,40058,Zac Blair,70.68,1767,25
83,0,27649,Brandt Snedeker,70.69,1838,26
84,0,24024,Zach Johnson,70.70,2121,30
84,0,29289,S.Y. Noh,70.70,2121,30
84,0,26331,Charl Schwartzel,70.70,1626,23
87,0,28089,Jason Day,70.71,2404,34
87,0,26300,Matt Jones,70.71,990,14
87,0,34213,Grayson Murray,70.71,1980,28
90,0,21209,Sergio Garcia,70.73,2122,30
91,0,46601,Trey Mullinax,70.75,1981,28
91,0,27095,Nick Watney,70.75,1132,16
93,0,25900,Lucas Glover,70.78,2548,36
93,0,34264,Hudson Swafford,70.78,1911,27
95,0,23541,Ben Crane,70.79,1345,19
96,0,28237,Rory McIlroy,70.80,1770,25
97,0,28420,Ryan Brehm,70.81,1487,21
98,0,10809,Jim Furyk,70.83,1275,18
98,0,37454,Whee Kim,70.83,1629,23
100,0,01810,Phil Mickelson,70.84,2621,37
100,0,28252,Seamus Power,70.84,1771,25
102,0,32448,James Hahn,70.85,1842,26
102,0,25198,Francesco Molinari,70.85,1913,27
102,0,39324,J.J. Spaun,70.85,1842,26
105,0,28500,Martin Flores,70.86,1559,22
106,0,34098,Russell Henley,70.88,2977,42
107,0,29974,Branden Grace,70.90,1489,21
108,0,27974,Sung Kang,70.92,1702,24
108,0,27064,Jhonattan Vegas,70.92,1844,26
110,0,34099,Harris English,70.95,1419,20
111,0,26329,Louis Oosthuizen,70.96,1632,23
112,0,25493,Nick Taylor,70.97,2058,29
113,0,20771,Steven Alker,71.00,1065,15
113,0,40009,Dominic Bozzelli,71.00,1278,18
113,0,33141,Keegan Bradley,71.00,2556,36
113,0,29479,Scott Brown,71.00,2201,31
117,0,29420,Billy Horschel,71.04,1918,27
117,0,30692,Scott Stallings,71.04,1776,25
119,0,49771,J.T. Poston,71.05,1421,20
120,0,20472,Alex Cejka,71.06,1208,17
120,0,28679,Fabián Gómez,71.06,1208,17
122,0,47959,Bryson DeChambeau,71.07,2061,29
