RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
152,0,27436,Graham DeLaet,10' 7",1040.083,98,51
152,0,25572,Graeme McDowell,10' 7",506.500,48,30
152,0,30163,Henrik Norlander,10' 7",846.750,80,138
152,0,23320,Ryan Palmer,10' 7",1093.917,103,133
156,0,32698,Bobby Gates,10' 8",808.667,76,137
156,0,27644,Brian Harman,10' 8",1185.417,111,77
156,0,22913,John Rollins,10' 8",1098.250,103,93
156,0,02206,David Toms,10' 8",404.000,38,51
160,0,22378,Trevor Immelman,10' 9",817.000,76,68
161,0,28475,Jeff Overton,10' 10",1236.750,114,66
162,0,06004,Stephen Ames,10' 11",696.833,64,67
162,0,30925,Dustin Johnson,10' 11",620.750,57,163
162,0,27408,Martin Kaymer,10' 11",580.417,53,171
162,0,36884,Ben Kohles,10' 11",920.167,84,126
162,0,26951,Johnson Wagner,10' 11",908.583,83,120
162,0,28135,Aaron Watkins,10' 11",514.000,47,58
162,0,27095,Nick Watney,10' 11",1029.667,94,121
169,0,27936,Martin Laird,11' 0",935.167,85,122
170,0,23353,J.J. Henry,11' 1",1032.333,93,112
170,0,34174,John Huh,11' 1",1197.500,108,62
172,0,25444,Justin Hicks,11' 4",908.000,80,175
173,0,01116,Michael Bradley,11' 10",650.667,55,166
174,0,27503,Steve LeBrun,12' 0",803.250,67,97
175,0,20848,Ángel Cabrera,12' 1",884.917,73,134
176,0,37273,Derek Ernst,12' 3",1080.750,88,179
177,0,24781,Hunter Mahan,12' 6",1238.583,99,73
178,0,31323,Gary Woodland,12' 7",1407.833,112,148
179,0,29425,Andrew Svoboda,12' 10",526.667,41,167
180,0,28455,Will Claxton,13' 1",1062.750,81,156
