RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,39971,Sungjae Im,68.22,2183,32
2,0,33448,Justin Thomas,68.63,1098,16
3,0,29221,Webb Simpson,68.71,1649,24
4,0,33419,Cameron Tringale,68.75,825,12
5,0,10809,Jim Furyk,68.81,1445,21
6,0,46970,Jon Rahm,68.88,551,8
7,0,29725,Tony Finau,68.89,1240,18
8,0,35450,Patrick Cantlay,68.94,1103,16
9,0,28089,Jason Day,69.11,1244,18
10,0,29970,Dylan Frittelli,69.14,1452,21
11,0,47993,Denny McCarthy,69.16,2144,31
12,0,32839,Hideki Matsuyama,69.17,1660,24
13,0,34360,Patrick Reed,69.19,1453,21
14,0,32150,Michael Thompson,69.36,1526,22
15,0,27958,Ryan Blaum,69.37,1318,19
16,0,33948,Byeong Hun An,69.38,1665,24
16,0,40115,Adam Svensson,69.38,902,13
18,0,36799,Stephan Jaeger,69.39,1249,18
19,0,49960,Sepp Straka,69.40,1041,15
20,0,48081,Xander Schauffele,69.47,1042,15
21,0,33418,Shawn Stefani,69.50,1251,18
22,0,21961,Charles Howell III,69.52,1738,25
23,0,34021,Bud Cauley,69.55,2017,29
24,0,34099,Harris English,69.56,2226,32
25,0,31323,Gary Woodland,69.57,1600,23
26,0,25818,Scott Piercy,69.59,2227,32
27,0,48822,Sebastián Muñoz,69.60,1392,20
28,0,32102,Rickie Fowler,69.63,1323,19
28,0,25900,Lucas Glover,69.63,1880,27
30,0,26951,Johnson Wagner,69.67,1045,15
31,0,30946,Alex Prugh,69.68,1533,22
31,0,37189,Harold Varner III,69.68,1742,25
33,0,29479,Scott Brown,69.69,1812,26
33,0,51766,Wyndham Clark,69.69,1812,26
35,0,25364,Paul Casey,69.71,1464,21
36,0,39546,Keith Mitchell,69.72,1743,25
37,0,27895,Jonas Blixt,69.75,1953,28
37,0,45157,Cam Davis,69.75,1674,24
39,0,23320,Ryan Palmer,69.76,1744,25
40,0,24502,Adam Scott,69.77,907,13
41,0,49298,Kramer Hickok,69.79,1954,28
42,0,27141,J.B. Holmes,69.81,1466,21
43,0,27214,Kevin Streelman,69.82,1955,28
44,0,45609,Tyler Duncan,69.83,1606,23
45,0,23325,Vaughn Taylor,69.84,2165,31
45,0,47128,Richy Werenski,69.84,2165,31
47,0,33122,Russell Knox,69.85,2305,33
48,0,24925,Jonathan Byrd,69.87,1048,15
49,0,30911,Tommy Fleetwood,69.88,1188,17
50,0,30978,Kiradech Aphibarnrat,69.89,1328,19
50,0,23621,Rory Sabbatini,69.89,1887,27
52,0,27095,Nick Watney,69.92,1748,25
