RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,46414,Aaron Rai,19.38%,200,1032,-0.10
2,0,33204,Shane Lowry,20.66%,176,852,+0.51
3,0,49960,Sepp Straka,21.37%,197,922,+1.07
4,0,50525,Collin Morikawa,21.58%,207,959,+0.82
5,0,57362,Austin Eckroat,21.66%,235,1085,+1.19
6,0,29535,Brice Garnett,21.85%,130,595,+1.46
7,0,36884,Ben Kohles,22.08%,223,1010,+1.75
8,0,30927,Brendon Todd,22.31%,276,1237,+0.62
9,0,34098,Russell Henley,22.36%,201,899,+1.04
10,0,30911,Tommy Fleetwood,22.43%,201,896,+1.09
11,0,40026,Daniel Berger,22.45%,187,833,+0.75
12,0,25900,Lucas Glover,23.37%,251,1074,+0.20
13,0,27644,Brian Harman,23.43%,258,1101,+0.78
14,0,52513,Carson Young,23.70%,242,1021,+0.99
15,0,34099,Harris English,23.85%,260,1090,+0.69
16,0,40058,Zac Blair,23.88%,245,1026,+0.69
17,0,52375,Doug Ghim,23.90%,260,1088,+0.04
18,0,30926,Chris Kirk,23.94%,225,940,+0.13
19,0,26596,Ryan Moore,24.04%,212,882,+0.38
20,0,36801,Mark Hubbard,24.14%,293,1214,+0.96
21,0,46046,Scottie Scheffler,24.25%,210,866,-0.95
22,0,48153,Matthieu Pavon,24.35%,179,735,-0.11
23,0,33141,Keegan Bradley,24.55%,244,994,+1.07
24,0,37455,Si Woo Kim,24.56%,266,1083,+0.53
25,0,28252,Seamus Power,24.57%,303,1233,+0.66
25,0,34046,Jordan Spieth,24.57%,215,875,-0.23
27,0,40115,Adam Svensson,24.78%,344,1388,+0.58
28,0,47504,Sam Burns,24.86%,229,921,E
29,0,55708,Hayden Buckley,25.03%,208,831,+1.35
30,0,23108,Matt Kuchar,25.11%,233,928,+1.07
31,0,39997,Corey Conners,25.16%,274,1089,+0.07
32,0,56630,Akshay Bhatia,25.18%,276,1096,+0.07
33,0,45609,Tyler Duncan,25.19%,195,774,+1.13
34,0,22405,Justin Rose,25.20%,187,742,+1.07
35,0,54628,Lee Hodges,25.44%,303,1191,+1.45
35,0,49771,J.T. Poston,25.44%,275,1081,+1.13
37,0,55182,Tom Kim,25.55%,257,1006,+0.27
38,0,26476,Chez Reavie,25.58%,198,774,+1.11
39,0,51349,Nico Echavarria,25.62%,247,964,+0.93
40,0,51890,Greyson Sigg,25.77%,235,912,+0.43
41,0,32640,Troy Merritt,26.13%,209,800,-0.38
42,0,30163,Henrik Norlander,26.25%,178,678,+0.06
43,0,36799,Stephan Jaeger,26.32%,265,1007,+0.68
44,0,34256,Andrew Putnam,26.46%,276,1043,+0.47
45,0,32102,Rickie Fowler,26.64%,252,946,+0.44
46,0,28237,Rory McIlroy,26.71%,230,861,-0.26
47,0,34076,Joel Dahmen,26.79%,270,1008,+1.04
48,0,28089,Jason Day,26.85%,221,823,-0.05
48,0,25493,Nick Taylor,26.85%,283,1054,+0.04
50,0,29908,C.T. Pan,26.90%,212,788,+0.75
51,0,31646,Emiliano Grillo,27.12%,291,1073,+1.03
52,0,24024,Zach Johnson,27.21%,163,599,+0.86
52,0,37275,Sam Ryder,27.21%,225,827,+0.76
54,0,39971,Sungjae Im,27.30%,300,1099,-0.23
55,0,40098,Matt Fitzpatrick,27.38%,236,862,+0.93
56,0,48081,Xander Schauffele,27.42%,261,952,-0.42
57,0,34587,Chan Kim,27.47%,267,972,+0.04
58,0,48319,Tom Whitney,27.58%,190,689,+1.32
59,0,32791,K.H. Lee,27.63%,257,930,+0.89
59,0,57900,Chandler Phillips,27.63%,284,1028,+0.32
61,0,33399,Adam Hadwin,27.76%,274,987,+1.06
62,0,51287,Ryo Hisatsune,27.77%,266,958,+0.90
63,0,27214,Kevin Streelman,27.81%,220,791,+0.36
64,0,52955,Ludvig Åberg,27.95%,258,923,+0.12
65,0,58168,Davis Thompson,28.04%,309,1102,+0.10
66,0,51634,Sahith Theegala,28.21%,332,1177,-0.15
67,0,28775,Nate Lashley,28.22%,241,854,+0.17
68,0,47983,Chad Ramey,28.24%,268,949,+0.52
69,0,59143,Mac Meissner,28.33%,253,893,+0.08
70,0,27349,Alex Noren,28.35%,235,829,-0.77
71,0,52374,Brandon Wu,28.37%,246,867,+0.04
72,0,46441,Robby Shelton,28.43%,257,904,+0.54
73,0,36326,David Lipsky,28.54%,228,799,+1.18
73,0,57366,Cameron Young,28.54%,286,1002,+0.07
75,0,47993,Denny McCarthy,28.55%,314,1100,+0.57
76,0,48117,Kurt Kitayama,28.62%,277,968,-0.29
77,0,34021,Bud Cauley,28.84%,203,704,+0.05
77,0,50493,Justin Suh,28.84%,246,853,+0.77
79,0,45157,Cam Davis,28.86%,286,991,+1.22
80,0,27649,Brandt Snedeker,28.87%,207,717,+1.06
81,0,50095,Austin Smotherman,28.90%,152,526,+0.13
82,0,36871,Matt NeSmith,28.95%,249,860,+0.84
83,0,32757,Patton Kizzire,28.96%,212,732,-0.05
