RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,30925,Dustin Johnson,67.87,1018,15
2,0,34265,Will Wilcox,68.72,1237,18
3,0,28089,Jason Day,68.83,826,12
4,0,26951,Johnson Wagner,69.00,966,14
5,0,08075,Jerry Kelly,69.04,1864,27
6,0,26476,Chez Reavie,69.05,1312,19
7,0,24925,Jonathan Byrd,69.07,1036,15
8,0,31557,Jim Herman,69.09,1589,23
9,0,34046,Jordan Spieth,69.22,623,9
10,0,32839,Hideki Matsuyama,69.29,1663,24
11,0,36699,Patrick Rodgers,69.30,693,10
11,0,33448,Justin Thomas,69.30,1871,27
13,0,27895,Jonas Blixt,69.37,1318,19
14,0,33141,Keegan Bradley,69.56,1739,25
14,0,37454,Whee Kim,69.56,1252,18
16,0,26300,Matt Jones,69.58,1809,26
16,0,21528,Henrik Stenson,69.58,835,12
18,0,25396,Kevin Na,69.62,1810,26
19,0,24507,Jason Bohn,69.64,1741,25
19,0,23108,Matt Kuchar,69.64,1532,22
21,0,25364,Paul Casey,69.68,1951,28
22,0,29926,Danny Lee,69.74,2441,35
23,0,35545,Blayne Barber,69.76,1465,21
24,0,27436,Graham DeLaet,69.79,1675,24
25,0,32366,Kevin Chappell,69.81,2164,31
26,0,25804,Bubba Watson,69.82,768,11
27,0,25274,Steven Bowditch,69.83,2933,42
28,0,21961,Charles Howell III,69.84,2584,37
29,0,32200,Roberto Castro,69.88,1188,17
29,0,35532,Tom Hoge,69.88,1747,25
29,0,25198,Francesco Molinari,69.88,1118,16
32,0,30711,Colt Knost,69.91,1608,23
33,0,24024,Zach Johnson,69.93,979,14
34,0,34360,Patrick Reed,69.95,1469,21
35,0,40026,Daniel Berger,69.96,1749,25
35,0,12510,Chad Campbell,69.96,1959,28
35,0,34098,Russell Henley,69.96,1959,28
35,0,27649,Brandt Snedeker,69.96,1889,27
39,0,24361,Pat Perez,69.97,2519,36
40,0,10809,Jim Furyk,70.00,840,12
41,0,12716,Charley Hoffman,70.03,2451,35
42,0,29518,Brendan Steele,70.04,1891,27
43,0,22056,Cameron Percy,70.05,1331,19
44,0,34358,Jonathan Randolph,70.07,1051,15
45,0,20771,Steven Alker,70.10,1472,21
46,0,27933,John Merrick,70.13,1683,24
47,0,29720,Andres Gonzales,70.14,1964,28
47,0,28475,Jeff Overton,70.14,1473,21
49,0,29476,Kyle Reifers,70.15,2806,40
50,0,35541,John Peterson,70.16,2245,32
51,0,28486,Michael Putnam,70.17,2035,29
52,0,24490,George McNeill,70.18,2316,33
53,0,27466,Spencer Levin,70.19,1895,27
54,0,28132,Tyrone Van Aswegen,70.21,1334,19
54,0,27095,Nick Watney,70.21,2036,29
56,0,31202,William McGirt,70.23,2458,35
57,0,27936,Martin Laird,70.24,1756,25
58,0,36689,Brooks Koepka,70.26,1335,19
