RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER TEE SHOT,TOTAL TEE SHOTS
1,0,01249,John Daly,154.2,3542492.000,638
2,0,24358,Robert Garrigus,155.3,4689994.000,839
3,0,30925,Dustin Johnson,158.8,4984130.000,872
4,0,27141,J.B. Holmes,160.1,7009951.000,1216
5,0,27436,Graham DeLaet,160.3,6042547.000,1047
6,0,25804,Bubba Watson,161.1,5312025.000,916
7,0,23322,Brett Wetterich,162.2,4245939.000,727
8,0,20848,Ángel Cabrera,162.4,4167514.000,713
9,0,23349,Charles Warren,163.2,4477042.000,762
10,0,23788,D.J. Trahan,164.6,6714985.000,1133
11,0,28500,Martin Flores,164.8,5107058.000,861
12,0,27120,Troy Matteson,165.0,6444751.000,1085
13,0,30946,Alex Prugh,165.2,6516587.000,1096
14,0,22371,Aaron Baddeley,166.1,7157653.000,1197
15,0,25818,Scott Piercy,166.2,6598974.000,1103
16,0,12716,Charley Hoffman,166.5,6355029.000,1060
17,0,26851,Marc Leishman,166.8,5921699.000,986
18,0,27936,Martin Laird,166.9,6548416.000,1090
18,0,28475,Jeff Overton,166.9,5859025.000,975
20,0,01810,Phil Mickelson,167.2,4665349.000,775
21,0,22913,John Rollins,167.5,6277788.000,1041
22,0,26289,Boo Weekley,167.6,6203435.000,1028
23,0,28237,Rory McIlroy,167.8,3333640.000,552
23,0,27095,Nick Watney,167.8,5764382.000,954
25,0,33419,Cameron Tringale,168.2,3741893.000,618
26,0,20378,Mathias Grönberg,168.3,4167537.000,688
26,0,06567,Vijay Singh,168.3,4792390.000,791
28,0,20850,Daniel Chopra,168.4,5475844.000,903
29,0,01706,Davis Love III,168.5,5533075.000,912
30,0,26881,Jarrod Lyle,168.8,3858254.000,635
31,0,23623,Bo Van Pelt,168.9,7352473.000,1209
32,0,28089,Jason Day,169.4,5933663.000,973
33,0,23409,James Driscoll,169.6,6155780.000,1008
33,0,01945,Kenny Perry,169.6,4761316.000,780
33,0,25562,Andres Romero,169.6,6038183.000,989
36,0,23320,Ryan Palmer,169.7,5939712.000,972
37,0,22056,Cameron Percy,169.8,4895730.000,801
38,0,11123,Chris Couch,169.9,4972099.000,813
38,0,27302,Garth Mulroy,169.9,3517427.000,575
40,0,28307,Matt Every,170.0,4246169.000,694
41,0,25364,Paul Casey,170.4,3765604.000,614
41,0,23621,Rory Sabbatini,170.4,5651375.000,921
43,0,27330,Josh Teater,170.6,7792615.000,1269
44,0,20229,Stewart Cink,170.8,5551856.000,903
45,0,20686,Jeev Milkha Singh,171.2,4405715.000,715
46,0,29910,Blake Adams,171.4,6369378.000,1032
47,0,25900,Lucas Glover,171.5,5030719.000,815
48,0,32102,Rickie Fowler,171.6,7060978.000,1143
49,0,06621,Joe Durant,171.7,4883863.000,790
49,0,20157,Retief Goosen,171.7,4537599.000,734
49,0,12782,Tim Herron,171.7,5830187.000,943
