RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,24138,Ian Poulter,67.36,293,435
2,0,40058,Zac Blair,65.50,412,629
3,0,23108,Matt Kuchar,65.34,360,551
4,0,29221,Webb Simpson,65.20,401,615
5,0,12510,Chad Campbell,64.63,349,540
6,0,25191,Gonzalo Fernandez-Castaño,64.30,245,381
7,0,25364,Paul Casey,64.12,311,485
8,0,32102,Rickie Fowler,63.86,288,451
9,0,24924,Bill Haas,63.75,313,491
10,0,34174,John Huh,63.65,345,542
11,0,25892,Steve Wheatcroft,63.64,210,330
12,0,28252,Seamus Power,63.43,314,495
13,0,46970,Jon Rahm,63.33,297,469
13,0,26476,Chez Reavie,63.33,354,559
15,0,27644,Brian Harman,63.19,412,652
16,0,27649,Brandt Snedeker,63.18,187,296
17,0,26300,Matt Jones,63.17,235,372
18,0,26329,Louis Oosthuizen,63.14,245,388
18,0,24361,Pat Perez,63.14,346,548
20,0,25720,Chad Collins,63.07,275,436
21,0,33399,Adam Hadwin,62.82,387,616
22,0,25349,Tim Wilkinson,62.77,236,376
23,0,30925,Dustin Johnson,62.76,241,384
24,0,25198,Francesco Molinari,62.74,266,424
25,0,21961,Charles Howell III,62.63,305,487
26,0,27770,Camilo Villegas,62.35,308,494
27,0,19846,Brian Gay,62.30,319,512
28,0,28237,Rory McIlroy,62.29,185,297
29,0,37454,Whee Kim,62.27,302,485
30,0,29478,Kevin Kisner,62.06,368,593
31,0,29720,Andres Gonzales,61.85,248,401
31,0,26758,David Hearn,61.85,334,540
33,0,25493,Nick Taylor,61.83,358,579
34,0,34046,Jordan Spieth,61.76,260,421
35,0,21209,Sergio Garcia,61.65,209,339
36,0,40026,Daniel Berger,61.63,318,516
37,0,32839,Hideki Matsuyama,61.56,261,424
38,0,34466,Peter Malnati,61.50,353,574
39,0,29974,Branden Grace,61.42,234,381
39,0,26851,Marc Leishman,61.42,328,534
41,0,34360,Patrick Reed,61.23,417,681
42,0,33120,Mark Anderson,61.18,197,322
43,0,27466,Spencer Levin,61.10,322,527
43,0,25396,Kevin Na,61.10,311,509
45,0,20472,Alex Cejka,61.08,284,465
46,0,27936,Martin Laird,60.98,311,510
47,0,22046,Geoff Ogilvy,60.85,272,447
48,0,47128,Richy Werenski,60.60,263,434
49,0,48084,Wesley Bryan,60.59,392,647
50,0,32448,James Hahn,60.58,355,586
51,0,29908,C.T. Pan,60.55,307,507
52,0,23325,Vaughn Taylor,60.52,305,504
53,0,10809,Jim Furyk,60.45,188,311
54,0,33448,Justin Thomas,60.39,282,467
55,0,24357,K.J. Choi,60.36,265,439
56,0,22056,Cameron Percy,60.23,212,352
57,0,20157,Retief Goosen,60.20,180,299
58,0,25900,Lucas Glover,60.16,293,487
58,0,46550,Brandon Hagy,60.16,296,492
60,0,35450,Patrick Cantlay,60.15,160,266
61,0,33461,Morgan Hoffmann,60.14,347,577
61,0,35532,Tom Hoge,60.14,169,281
63,0,24846,Ricky Barnes,60.10,363,604
64,0,29461,Jamie Lovemark,60.07,352,586
65,0,26331,Charl Schwartzel,60.05,248,413
66,0,27214,Kevin Streelman,60.04,317,528
67,0,27958,Ryan Blaum,60.00,360,600
67,0,01810,Phil Mickelson,60.00,321,535
69,0,22371,Aaron Baddeley,59.90,230,384
70,0,23983,Luke Donald,59.88,197,329
70,0,24024,Zach Johnson,59.88,297,496
72,0,26499,Rafa Cabrera Bello,59.80,241,403
73,0,20771,Steven Alker,59.75,236,395
74,0,32200,Roberto Castro,59.68,265,444
75,0,33418,Shawn Stefani,59.55,237,398
76,0,34409,David Lingmerth,59.44,296,498
77,0,34099,Harris English,59.43,293,493
78,0,29725,Tony Finau,59.38,345,581
79,0,27963,Chris Stroud,59.33,213,359
80,0,20593,Greg Chalmers,59.26,304,513
81,0,35110,Brett Drewitt,59.23,199,336
82,0,29289,S.Y. Noh,59.18,319,539
83,0,23800,Bryce Molder,59.14,301,509
83,0,39324,J.J. Spaun,59.14,301,509
85,0,29479,Scott Brown,59.08,345,584
86,0,49771,J.T. Poston,59.07,319,540
87,0,33141,Keegan Bradley,59.03,340,576
87,0,32333,Kevin Tway,59.03,330,559
89,0,23541,Ben Crane,59.02,288,488
90,0,29518,Brendan Steele,58.99,292,495
90,0,27095,Nick Watney,58.99,246,417
92,0,22405,Justin Rose,58.97,217,368
93,0,28132,Tyrone Van Aswegen,58.94,346,587
94,0,34431,Robert Streb,58.91,347,589
95,0,33419,Cameron Tringale,58.83,313,532
96,0,39975,Michael Kim,58.81,327,556
97,0,29222,Billy Hurley III,58.78,308,524
98,0,32150,Michael Thompson,58.74,215,366
99,0,28679,Fabián Gómez,58.67,220,375
100,0,46501,Ollie Schniederjans,58.65,312,532
101,0,35506,Mackenzie Hughes,58.64,387,660
101,0,35891,Cameron Smith,58.64,319,544
103,0,30191,Julián Etulain,58.62,221,377
104,0,36801,Mark Hubbard,58.57,270,461
105,0,27895,Jonas Blixt,58.56,284,485
106,0,33413,Ben Martin,58.53,278,475
107,0,29223,Sam Saunders,58.45,256,438
108,0,29476,Kyle Reifers,58.44,315,539
109,0,24502,Adam Scott,58.43,201,344
110,0,34021,Bud Cauley,58.41,302,517
111,0,23621,Rory Sabbatini,58.38,223,382
112,0,30110,Kyle Stanley,58.35,311,533
113,0,19803,Ryan Armour,58.31,186,319
114,0,31323,Gary Woodland,58.28,285,489
115,0,32640,Troy Merritt,58.21,280,481
116,0,25572,Graeme McDowell,58.09,219,377
117,0,24781,Hunter Mahan,58.06,263,453
118,0,20229,Stewart Cink,57.93,303,523
119,0,25686,Jason Dufner,57.85,280,484
120,0,30852,Ryo Ishikawa,57.84,214,370
121,0,28089,Jason Day,57.77,249,431
122,0,40009,Dominic Bozzelli,57.75,257,445
123,0,23497,Tag Ridings,57.73,209,362
124,0,27064,Jhonattan Vegas,57.61,318,552
125,0,48081,Xander Schauffele,57.55,305,530
126,0,33122,Russell Knox,57.48,242,421
127,0,47959,Bryson DeChambeau,57.32,317,553
128,0,24140,Sean O'Hair,57.28,291,508
129,0,25632,Jimmy Walker,57.25,229,400
130,0,31560,Brian Stuard,57.14,328,574
131,0,34098,Russell Henley,57.12,321,562
132,0,24507,Jason Bohn,57.11,269,471
133,0,28420,Ryan Brehm,57.08,258,452
134,0,28500,Martin Flores,57.01,244,428
135,0,27974,Sung Kang,56.98,355,623
136,0,37189,Harold Varner III,56.94,328,576
137,0,48822,Sebastián Muñoz,56.92,185,325
138,0,23320,Ryan Palmer,56.88,182,320
139,0,32366,Kevin Chappell,56.84,320,563
140,0,34358,Jonathan Randolph,56.77,239,421
141,0,26596,Ryan Moore,56.74,282,497
142,0,46443,Brian Campbell,56.68,191,337
143,0,23353,J.J. Henry,56.66,268,473
144,0,37278,Nicholas Lindheim,56.65,196,346
145,0,27141,J.B. Holmes,56.64,290,512
146,0,12716,Charley Hoffman,56.55,367,649
147,0,31202,William McGirt,56.53,277,490
148,0,27436,Graham DeLaet,56.51,243,430
149,0,20104,Ken Duke,56.47,262,464
150,0,29740,Brad Fritsch,56.42,189,335
151,0,27129,Luke List,56.33,307,545
152,0,26289,Boo Weekley,56.31,232,412
153,0,36689,Brooks Koepka,56.27,296,526
154,0,46601,Trey Mullinax,56.26,274,487
155,0,33948,Byeong Hun An,56.22,262,466
155,0,25834,Daniel Summerhays,56.22,348,619
157,0,31557,Jim Herman,56.15,242,431
158,0,35545,Blayne Barber,55.80,231,414
159,0,26951,Johnson Wagner,55.73,209,375
160,0,31646,Emiliano Grillo,55.71,288,517
161,0,06522,Ernie Els,55.69,225,404
162,0,25240,D.A. Points,55.67,226,406
163,0,33204,Shane Lowry,55.59,159,286
164,0,34264,Hudson Swafford,55.53,286,515
165,0,30692,Scott Stallings,55.51,247,445
166,0,29926,Danny Lee,55.43,301,543
167,0,37455,Si Woo Kim,55.41,302,545
168,0,25804,Bubba Watson,55.34,233,421
169,0,46440,Smylie Kaufman,55.18,245,444
170,0,31420,Anirban Lahiri,55.06,261,474
171,0,24358,Robert Garrigus,54.94,217,395
172,0,39954,Cody Gribble,54.74,283,517
173,0,30926,Chris Kirk,54.73,272,497
174,0,28093,Miguel Angel Carballo,54.72,197,360
175,0,29420,Billy Horschel,54.33,270,497
176,0,32757,Patton Kizzire,54.31,271,499
177,0,46732,Rick Lamb,54.03,161,298
178,0,25345,Carl Pettersson,53.91,241,447
179,0,30944,Jason Kokrak,53.87,306,568
180,0,31416,Derek Fathauer,53.78,270,502
181,0,34213,Grayson Murray,53.77,314,584
182,0,36699,Patrick Rodgers,53.63,244,455
183,0,35879,Kelly Kraft,53.50,252,471
184,0,20572,Rod Pampling,52.83,243,460
185,0,25274,Steven Bowditch,51.96,239,460
186,0,22986,Søren Kjeldsen,51.64,173,335
187,0,35300,Andrew Loupe,50.27,189,376
188,0,29485,Brett Stegmaier,50.11,228,455
189,0,25818,Scott Piercy,49.88,200,401
190,0,28307,Matt Every,48.01,241,502
