"year","tournament_id","tournament_name"
"2021","R2021005","AT&T Pebble Beach Pro-Am"
"2021","R2021003","Waste Management Phoenix Open"
"2021","R2021004","Farmers Insurance Open"
"2021","R2021002","The American Express"
"2021","R2021006","Sony Open in Hawaii"
"2021","R2021016","Sentry Tournament of Champions"
"2021","R2021457","Mayakoba Golf Classic presented by UNIFIN"
"2021","R2021493","The RSM Classic"
"2021","R2021014","Masters Tournament (2020)"
"2021","R2021020","Vivint Houston Open"
"2021","R2021528","Bermuda Championship"
"2021","R2021527","ZOZO CHAMPIONSHIP @ SHERWOOD"
"2021","R2021521","THE CJ CUP @ SHADOW CREEK"
"2021","R2021047","Shriners Hospitals for Children Open"
"2021","R2021054","Sanderson Farms Championship"
"2021","R2021522","Corales Puntacana Resort & Club Championship (2020)"
"2021","R2021026","U.S. Open (2020)"
"2021","R2021464","Safeway Open"
"2020","R2020060","TOUR Championship"
"2020","R2020028","BMW Championship"
"2020","R2020027","THE NORTHERN TRUST"
"2020","R2020013","Wyndham Championship"
"2020","R2020033","PGA Championship"
"2020","R2020476","World Golf Championships-FedEx St. Jude Invitational"
"2020","R2020525","3M Open"
"2020","R2020023","the Memorial Tournament presented by Nationwide"
"2020","R2020533","Workday Charity Open"
"2020","R2020524","Rocket Mortgage Classic"
"2020","R2020034","Travelers Championship"
"2020","R2020012","RBC Heritage"
"2020","R2020021","Charles Schwab Challenge"
"2020","R2020009","Arnold Palmer Invitational presented by Mastercard"
"2020","R2020010","The Honda Classic"
"2020","R2020473","World Golf Championships-Mexico Championship"
"2020","R2020483","Puerto Rico Open"
"2020","R2020007","The Genesis Invitational"
"2020","R2020005","AT&T Pebble Beach Pro-Am"
"2020","R2020003","Waste Management Phoenix Open"
"2020","R2020004","Farmers Insurance Open"
"2020","R2020002","The American Express"
"2020","R2020006","Sony Open in Hawaii"
"2020","R2020016","Sentry Tournament of Champions"
"2020","R2020493","The RSM Classic"
"2020","R2020457","Mayakoba Golf Classic"
"2020","R2020489","World Golf Championships-HSBC Champions"
"2020","R2020528","Bermuda Championship"
"2020","R2020527","ZOZO CHAMPIONSHIP"
"2020","R2020521","THE CJ CUP @ NINE BRIDGES"
"2020","R2020020","Houston Open"
"2020","R2020047","Shriners Hospitals for Children Open"
"2020","R2020464","Safeway Open"
"2020","R2020054","Sanderson Farms Championship"
"2020","R2020490","A Military Tribute at The Greenbrier"
"2019","R2019060","TOUR Championship"
"2019","R2019028","BMW Championship"
"2019","R2019027","THE NORTHERN TRUST"
"2019","R2019013","Wyndham Championship"
"2019","R2019476","World Golf Championships-FedEx St. Jude Invitational"
"2019","R2019100","The Open Championship"
"2019","R2019518","Barbasol Championship"
"2019","R2019030","John Deere Classic"
"2019","R2019525","3M Open"
"2019","R2019524","Rocket Mortgage Classic"
"2019","R2019034","Travelers Championship"
"2019","R2019026","U.S. Open"
"2019","R2019032","RBC Canadian Open"
"2019","R2019023","the Memorial Tournament presented by Nationwide"
"2019","R2019021","Charles Schwab Challenge"
"2019","R2019033","PGA Championship"
"2019","R2019019","AT&T Byron Nelson"
"2019","R2019480","Wells Fargo Championship"
"2019","R2019012","RBC Heritage"
"2019","R2019014","Masters Tournament"
"2019","R2019041","Valero Texas Open"
"2019","R2019522","Corales Puntacana Resort & Club Championship"
"2019","R2019475","Valspar Championship"
"2019","R2019011","THE PLAYERS Championship"
"2019","R2019009","Arnold Palmer Invitational presented by Mastercard"
"2019","R2019010","The Honda Classic"
"2019","R2019483","Puerto Rico Open"
"2019","R2019473","World Golf Championships-Mexico Championship"
"2019","R2019007","Genesis Open"
"2019","R2019005","AT&T Pebble Beach Pro-Am"
"2019","R2019003","Waste Management Phoenix Open"
"2019","R2019004","Farmers Insurance Open"
"2019","R2019002","Desert Classic"
"2019","R2019006","Sony Open in Hawaii"
"2019","R2019016","Sentry Tournament of Champions"
"2019","R2019493","The RSM Classic"
"2019","R2019457","Mayakoba Golf Classic"
"2019","R2019047","Shriners Hospitals for Children Open"
"2019","R2019054","Sanderson Farms Championship"
"2019","R2019489","World Golf Championships-HSBC Champions"
"2019","R2019521","THE CJ CUP @ NINE BRIDGES"
"2019","R2019494","CIMB Classic"
"2019","R2019464","Safeway Open"
"2018","R2018060","TOUR Championship"
"2018","R2018028","BMW Championship"
"2018","R2018505","Dell Technologies Championship"
"2018","R2018027","THE NORTHERN TRUST"
"2018","R2018013","Wyndham Championship"
"2018","R2018033","PGA Championship"
"2018","R2018476","World Golf Championships-Bridgestone Invitational"
"2018","R2018032","RBC Canadian Open"
"2018","R2018100","The Open Championship"
