RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL PAR 4 HOLES,TOTAL HOLE OUTS
1,0,01346,Ed Fiori,15,996,0
2,0,02226,Tray Tyner,11,682,0
3,0,01934,Dave Peege,10,718,0
3,0,02100,Tim Simpson,10,711,0
5,0,06599,John Elliott,9,583,0
5,0,06048,Dicky Thompson,9,722,0
7,0,06124,Patrick Burke,8,924,0
7,0,02041,Bill Sander,8,523,0
9,0,01553,John Huston,6,1093,0
9,0,02002,John Riegger,6,722,0
11,0,01168,David Canipe,5,804,0
11,0,01214,Frank Conner,5,903,0
11,0,01945,Kenny Perry,5,864,0
11,0,01978,Fran Quinn,5,637,0
15,0,02049,Gene Sauers,4,809,0
16,0,01014,Fulton Allem,3,1028,0
16,0,01035,Tommy Armour III,3,836,0
16,0,01185,Brandel Chamblee,3,880,0
16,0,06751,Chris Tucker,3,845,0
20,0,01006,John Adams,2,942,0
20,0,01024,Billy Andrade,2,892,0
20,0,01132,Mark Brooks,2,1126,0
20,0,01143,Brad Bryant,2,1178,0
20,0,01161,Mark Calcavecchia,2,1004,0
20,0,01203,Russ Cochran,2,1003,0
20,0,01226,Fred Couples,2,864,0
20,0,01306,David Edwards,2,992,0
20,0,01313,Steve Elkington,2,906,0
20,0,01408,Kelly Gibson,2,966,0
20,0,01443,Hubert Green,2,524,0
20,0,01457,Jay Haas,2,1094,0
20,0,01550,Ed Humenik,2,1021,0
20,0,06332,Neal Lancaster,2,1179,0
20,0,01690,Bruce Lietzke,2,700,0
20,0,01706,Davis Love III,2,962,0
20,0,01887,Mark O'Meara,2,844,0
20,0,02321,Fuzzy Zoeller,2,638,0
38,0,01023,Jerry Anderson,1,894,0
38,0,01040,Emlyn Aubrey,1,744,0
38,0,01049,Ian Baker-Finch,1,626,0
38,0,01072,Chip Beck,1,926,0
38,0,06010,Brad Bell,1,560,0
38,0,01098,Jay Don Blake,1,796,0
38,0,01129,Bill Britton,1,879,0
38,0,01142,Bart Bryant,1,618,0
38,0,07569,Mark Carnevale,1,870,0
38,0,01200,Keith Clearwater,1,1094,0
38,0,01235,Ben Crenshaw,1,866,0
38,0,01331,Rick Fehr,1,892,0
38,0,01353,Bruce Fleisher,1,1066,0
38,0,01355,Raymond Floyd,1,634,0
38,0,01361,Dan Forsman,1,1132,0
38,0,01374,Robin Freeman,1,860,0
38,0,01376,Bob Friend,1,1006,0
38,0,01390,Buddy Gardner,1,910,0
38,0,01435,Wayne Grady,1,738,0
38,0,01444,Ken Green,1,889,0
38,0,01468,Gary Hallberg,1,912,0
38,0,01469,Dan Halldorson,1,888,0
38,0,01489,Steve Hart,1,930,0
38,0,01522,Lon Hinkle,1,618,0
38,0,01533,P.H. Horgan III,1,779,0
38,0,01549,Mike Hulbert,1,1138,0
38,0,01557,John Inman,1,1022,0
38,0,01559,Hale Irwin,1,686,0
38,0,01569,Peter Jacobsen,1,970,0
38,0,06012,Greg Kraft,1,836,0
38,0,06128,Steve Lamontagne,1,916,0
38,0,08277,Greg Lesher,1,818,0
38,0,01837,Gil Morgan,1,911,0
38,0,01876,Greg Norman,1,604,0
38,0,01891,David Ogrin,1,824,0
38,0,01926,Steve Pate,1,1094,0
38,0,01928,Corey Pavin,1,930,0
38,0,01938,David Peoples,1,1020,0
38,0,01946,Peter Persons,1,1014,0
38,0,01958,Dan Pohl,1,622,0
38,0,02033,Dave Rummells,1,993,0
38,0,02067,Ted Schulz,1,1108,0
38,0,02090,Tom Sieckmann,1,946,0
38,0,02094,Tony Sills,1,684,0
38,0,02101,Joey Sindelar,1,1108,0
38,0,02206,David Toms,1,892,0
38,0,02225,Howard Twitty,1,870,0
38,0,02242,Lanny Wadkins,1,910,0
38,0,02279,Mark Wiebe,1,846,0
38,0,02313,Bruce Zabriski,1,829,0
