RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
1,0,28339,Victor Dubuisson,$1576986,67098557,90600000
2,0,25369,Jamie Donaldson,$1265323,30265600,96266667
3,0,25198,Francesco Molinari,$1047074,84797432,19910000
4,0,36689,Brooks Koepka,$1043115,104311475
5,0,19958,Miguel Angel Jiménez,$689000,43200000,25700000
6,0,24459,Richard Sterne,$654232,5573200,59850000
7,0,10944,Thomas Bjørn,$629950,31495013,31500000
8,0,23540,Jason Allred,$626734,62673366
9,0,30978,Kiradech Aphibarnrat,$584428,44517800,13925000
10,0,20376,Stephen Gallacher,$561251,16591757,39533333
11,0,33199,Matteo Manassero,$559318,33696750,22235000
12,0,19970,Robert Karlsson,$545695,54569524
13,0,24511,Thongchai Jaidee,$475211,7675266,39845834
14,0,24956,Mikko Ilonen,$429475,26300000,16647500
15,0,28937,George Coetzee,$428239,14857275,27966667
16,0,28300,Joost Luiten,$368250,16250000,20575000
17,0,29974,Branden Grace,$334368,8286831,25150000
18,0,23814,Edoardo Molinari,$288911,28891113
19,0,33204,Shane Lowry,$217867,21786657
20,0,27060,John Mallinger,$209958,20995800
21,0,20608,David Howell,$208943,11731757,9162500
22,0,39977,Max Homa,$195924,19592400
23,0,23063,Scott Hend,$193767,2800000,16576667
24,0,27929,Shiv Kapur,$191968,19196800
25,0,29454,Bernd Wiesberger,$175889,12788888,4800000
26,0,33448,Justin Thomas,$170237,17023667
27,0,25841,Marc Warren,$164142,16414155
28,0,22000,Chris Wood,$162251,10425132,5800000
29,0,23481,Marcel Siem,$156679,15667900
30,0,32878,Jin Jeong,$135250,0,13525000
31,0,29484,Peter Uihlein,$122250,0,12225000
32,0,21498,Hideto Tanihara,$119000,11900000
33,0,34579,Alexander Levy,$108500,6200000,4650000
34,0,20721,Darren Fichardt,$107750,0,10775000
35,0,46435,Austin Cook,$102467,10246666
36,0,26525,Grégory Bourdy,$102458,2735821,7510000
37,0,29939,Fabrizio Zanotti,$100575,2537500,7520000
38,0,39954,Cody Gribble,$98598,9859800
39,0,24748,WC Liang,$93500,0,9350000
40,0,37092,Hyung-Sung Kim,$92982,2448200,6850000
41,0,32139,Danny Willett,$92828,9282800
42,0,29670,Pablo Larrazabal,$92250,0,9225000
43,0,30911,Tommy Fleetwood,$87000,0,8700000
44,0,23797,Brett Rumford,$86000,0,8600000
45,0,27171,Jay McLuen,$84171,8417143
45,0,27072,Alvaro Quiros,$84171,8417143
47,0,28697,Gaganjeet Bhullar,$83925,4042500,4350000
48,0,36699,Patrick Rodgers,$75104,7510397
49,0,24457,Jaco Van Zyl,$75100,0,7510000
50,0,29720,Andres Gonzales,$75000,7500000
51,0,27119,Koumei Oda,$69753,6975266
52,0,33948,Byeong Hun An,$65350,6535013
53,0,32262,Mark Brown,$64000,0,6400000
53,0,32753,Wenyi Huang,$64000,0,6400000
55,0,37365,Brady Watt,$61288,6128800
56,0,26499,Rafa Cabrera Bello,$59950,5995000
57,0,40026,Daniel Berger,$59588,5958800
58,0,35296,Haotong Li,$58000,0,5800000
59,0,32354,Seuk-hyun Baek,$54700,1295000,4175000
60,0,34707,Siddikur Rahman,$53433,5343334
61,0,35582,Kristoffer Broberg,$52964,5296350
62,0,21284,Hiroyuki Fujita,$49000,0,4900000
62,0,29930,Mike Hendry,$49000,0,4900000
62,0,32815,Masahiro Kawamura,$49000,0,4900000
65,0,28114,Dawie van der Walt,$46000,0,4600000
66,0,21470,Daisuke Maruyama,$43000,0,4300000
67,0,35957,Daniel Popovic,$42875,0,4287500
68,0,30798,Yoshitaka Takeya,$42625,0,4262500
69,0,33870,Ashun Wu,$42375,0,4237500
70,0,31577,Tano Goya,$42000,0,4200000
71,0,20832,Raphael Jacquelin,$41250,0,4125000
72,0,28719,Mu Hu,$40750,0,4075000
73,0,28072,Mingjie Huang,$40250,0,4025000
74,0,34262,Jon Curran,$37952,3795200
75,0,33803,Lucas Bjerregaard,$37754,3775400
75,0,40058,Zac Blair,$37754,3775400
75,0,27302,Garth Mulroy,$37754,3775400
78,0,37351,Oliver Goss,$37160,3716000
79,0,31420,Anirban Lahiri,$34510,3451000
80,0,39974,Steven Ihm,$30628,3062833
81,0,22080,Prayad Marksaeng,$23100,2310000
82,0,27816,Jamie McLeary,$22808,2280848
82,0,25351,Chris Rodgers,$22808,2280848
84,0,37278,Nicholas Lindheim,$22649,2264900
84,0,01978,Fran Quinn,$22649,2264900
86,0,32070,Rafael Campos,$21306,2130625
86,0,31646,Emiliano Grillo,$21306,2130625
86,0,27139,David Skinns,$21306,2130625
89,0,32618,Rhein Gibson,$20844,2084370
90,0,32496,Clayton Rask,$20775,2077500
91,0,46507,Bobby Wyatt,$20405,2040500
92,0,20935,Toru Taniguchi,$19980,1998000
93,0,45294,Kevin Penner,$19800,1980000
94,0,29223,Sam Saunders,$18476,1847600
95,0,31121,Berry Henson,$18223,1822333
96,0,08635,Colin Montgomerie,$18033,1803333
97,0,32105,Nicholas Fung,$14980,1498000
98,0,30736,Oscar Fraustro,$14660,1466000
99,0,10387,Chris Thompson,$14559,1455900
100,0,26341,Wade Ormsby,$14070,1407000
101,0,26949,Josh Broadaway,$13671,1367142
102,0,29253,Jeff Curl,$13440,1344000
103,0,31416,Derek Fathauer,$13320,1332000
104,0,23706,Rashid Ismail,$13230,1323000
105,0,37189,Harold Varner III,$13199,1319900
106,0,35459,Chris Williams,$13176,1317600
107,0,34076,Joel Dahmen,$13034,1303400
