RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,10809,Jim Furyk,108.26,367,339,-86.00
2,0,08793,Tiger Woods,105.56,266,252,-80.00
3,0,01361,Dan Forsman,103.77,413,398,-99.00
4,0,01553,John Huston,103.14,427,414,-117.00
5,0,01677,Tom Lehman,102.49,247,241,-50.00
6,0,01797,Rocco Mediate,101.88,325,319,-100.00
7,0,02106,Chris Smith,101.83,445,437,-107.00
8,0,02206,David Toms,101.67,487,479,-151.00
9,0,01887,Mark O'Meara,101.36,224,221,-51.00
10,0,02223,Bob Tway,101.20,422,417,-74.00
11,0,01142,Bart Bryant,101.17,347,343,-79.00
12,0,06515,Shaun Micheel,100.85,475,471,-97.00
13,0,01569,Peter Jacobsen,100.67,300,298,-45.00
14,0,02104,Jeff Sluman,100.37,541,539,-134.00
15,0,07003,David Berganio Jr.,100.25,396,395,-80.00
16,0,01381,Fred Funk,100.19,519,518,-136.00
17,0,21961,Charles Howell III,100.00,478,478,-125.00
18,0,12510,Chad Campbell,99.80,502,503,-139.00
19,0,01577,Lee Janzen,99.75,394,395,-101.00
20,0,01527,Scott Hoch,99.66,289,290,-76.00
21,0,02101,Joey Sindelar,99.60,495,497,-124.00
22,0,23983,Luke Donald,99.59,485,487,-101.00
23,0,06567,Vijay Singh,99.33,442,445,-135.00
24,0,02170,Hal Sutton,98.93,277,280,-50.00
25,0,10425,Jay Williamson,98.88,442,447,-107.00
26,0,02239,Scott Verplank,98.59,349,354,-98.00
27,0,01948,Tim Petrovic,98.47,385,391,-95.00
28,0,20157,Retief Goosen,98.38,243,247,-81.00
29,0,06004,Stephen Ames,98.20,328,334,-83.00
30,0,02002,John Riegger,98.15,425,433,-113.00
31,0,01035,Tommy Armour III,97.95,335,342,-59.00
32,0,01968,Nick Price,97.90,280,286,-55.00
33,0,20029,Notah Begay III,97.67,419,429,-104.00
34,0,08545,Glen Hnatiuk,97.55,477,489,-105.00
35,0,24357,K.J. Choi,97.52,393,403,-110.00
36,0,01320,Bob Estes,97.50,390,400,-85.00
37,0,22913,John Rollins,97.42,566,581,-153.00
38,0,10885,Robert Allenby,97.41,451,463,-124.00
39,0,20548,Hidemichi Tanaka,97.35,441,453,-102.00
40,0,06621,Joe Durant,97.13,338,348,-80.00
40,0,01938,David Peoples,97.13,474,488,-111.00
42,0,20502,Michael Long,97.12,371,382,-79.00
43,0,23353,J.J. Henry,97.08,499,514,-104.00
44,0,01203,Russ Cochran,97.04,295,304,-53.00
45,0,01475,Donnie Hammond,97.00,259,267,-71.00
46,0,01685,J.L. Lewis,96.98,449,463,-122.00
47,0,01761,Len Mattiace,96.96,479,494,-88.00
48,0,01457,Jay Haas,96.92,315,325,-73.00
49,0,01766,Billy Mayfair,96.88,373,385,-87.00
50,0,01771,Blaine McCallister,96.74,326,337,-65.00
51,0,12823,Carlos Franco,96.46,518,537,-121.00
51,0,20645,John Senden,96.46,381,395,-86.00
53,0,23322,Brett Wetterich,96.29,415,431,-84.00
54,0,22293,Heath Slocum,96.16,376,391,-75.00
55,0,01014,Fulton Allem,96.15,275,286,-34.00
55,0,06573,Brandt Jobe,96.15,449,467,-117.00
57,0,01175,Jim Carter,96.10,370,385,-85.00
58,0,08075,Jerry Kelly,96.05,413,430,-99.00
59,0,02245,Grant Waite,95.93,448,467,-109.00
60,0,06498,Matt Peterson,95.71,402,420,-73.00
61,0,01132,Mark Brooks,95.60,391,409,-74.00
62,0,20098,Stuart Appleby,95.54,386,404,-117.00
62,0,06036,Scott Dunlap,95.54,321,336,-48.00
62,0,10201,Matt Gogel,95.54,321,336,-73.00
62,0,01945,Kenny Perry,95.54,428,448,-118.00
66,0,01219,John Cook,95.38,289,303,-79.00
67,0,20105,Jeff Gove,95.32,448,470,-102.00
67,0,01927,Dennis Paulson,95.32,387,406,-82.00
69,0,09011,David Duval,95.22,299,314,-90.00
69,0,10649,Tom Scherrer,95.22,418,439,-85.00
71,0,08123,Jeff Brehaut,95.18,434,456,-99.00
71,0,06595,Kevin Sutherland,95.18,316,332,-68.00
73,0,06522,Ernie Els,95.15,255,268,-75.00
74,0,08931,Glen Day,95.03,516,543,-118.00
75,0,01388,Robert Gamez,95.00,342,360,-82.00
76,0,23177,Kenneth Staton,94.98,473,498,-90.00
77,0,01307,Joel Edwards,94.96,471,496,-120.00
78,0,01098,Jay Don Blake,94.93,449,473,-109.00
79,0,07721,Pat Bates,94.84,423,446,-99.00
80,0,24361,Pat Perez,94.77,326,344,-84.00
81,0,02010,Loren Roberts,94.65,425,449,-100.00
82,0,07457,Steve Flesch,94.58,384,406,-90.00
83,0,01666,Bernhard Langer,94.55,156,165,-39.00
84,0,23338,David Gossett,94.42,423,448,-93.00
85,0,23614,Rich Beem,94.41,405,429,-92.00
86,0,01599,Steve Jones,94.39,269,285,-46.00
87,0,01374,Robin Freeman,94.37,352,373,-71.00
88,0,01157,Tom Byrum,94.32,332,352,-71.00
88,0,06643,Paul Goydos,94.32,299,317,-62.00
88,0,01920,Craig Parry,94.32,332,352,-93.00
91,0,20229,Stewart Cink,94.23,343,364,-94.00
92,0,12782,Tim Herron,94.20,406,431,-112.00
93,0,02246,Duffy Waldorf,94.16,371,394,-97.00
94,0,11032,Frank Lickliter II,94.15,370,393,-94.00
95,0,19817,Michael Muehr,94.05,253,269,-43.00
96,0,07867,Woody Austin,93.96,451,480,-97.00
97,0,26289,Boo Weekley,93.93,263,280,-49.00
