RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
1,0,01724,Jeff Maggert,0",0,1,117
2,0,01014,Fulton Allem,5",.750,2,41
2,0,07003,David Berganio Jr.,5",.417,1,40
4,0,12823,Carlos Franco,6",.500,1,190
4,0,23353,J.J. Henry,6",.500,1,95
4,0,12705,Cliff Kresge,6",.500,1,158
7,0,24357,K.J. Choi,7",.583,1,60
7,0,01941,Tom Pernice Jr.,7",.583,1,96
9,0,07867,Woody Austin,9",.750,1,126
10,0,08633,Per-Ulrik Johansson,10",.833,1,115
11,0,12782,Tim Herron,1' 0",1.000,1,162
12,0,20436,Garrett Willis,1' 3",1.250,1,171
13,0,20099,Doug Barron,1' 4",1.333,1,160
13,0,01418,Bill Glasson,1' 4",1.333,1,18
13,0,06315,Pete Jordan,1' 4",1.333,1,42
16,0,01945,Kenny Perry,1' 5",1.417,1,20
17,0,10860,Justin Leonard,1' 6",6.000,4,74
17,0,06591,Rocky Walcher,1' 6",1.500,1,193
19,0,20229,Stewart Cink,1' 7",3.167,2,68
20,0,08881,Tripp Isenhour,1' 8",1.667,1,138
20,0,20566,Kaname Yokoo,1' 8",1.667,1,177
22,0,12388,Michael Clark II,1' 9",1.750,1,82
22,0,01920,Craig Parry,1' 9",1.750,1,106
24,0,01313,Steve Elkington,1' 10",1.833,1,107
24,0,11032,Frank Lickliter II,1' 10",5.583,3,141
24,0,08375,Paul Stankowski,1' 10",1.833,1,142
24,0,02170,Hal Sutton,1' 10",3.667,2,54
28,0,01035,Tommy Armour III,1' 11",1.917,1,147
28,0,08545,Glen Hnatiuk,1' 11",1.917,1,138
30,0,06573,Brandt Jobe,2' 0",2.000,1,176
30,0,02206,David Toms,2' 0",2.000,1,108
32,0,12652,Cameron Beckman,2' 1",2.083,1,37
32,0,23621,Rory Sabbatini,2' 1",2.083,1,151
34,0,06004,Stephen Ames,2' 2",2.167,1,39
34,0,02104,Jeff Sluman,2' 2",13.083,6,54
36,0,01098,Jay Don Blake,2' 3",2.250,1,96
36,0,06012,Greg Kraft,2' 3",4.417,2,77
36,0,02002,John Riegger,2' 3",2.250,1,75
36,0,10649,Tom Scherrer,2' 3",4.500,2,185
40,0,12760,Danny Ellis,2' 6",2.500,1,127
40,0,01381,Fred Funk,2' 6",2.500,1,13
42,0,12753,David Morland IV,2' 9",2.750,1,153
43,0,20574,Mathew Goggin,2' 10",5.667,2,194
43,0,06078,Esteban Toledo,2' 10",2.833,1,36
45,0,01685,J.L. Lewis,2' 11",2.917,1,58
45,0,01938,David Peoples,2' 11",5.833,2,121
47,0,10201,Matt Gogel,3' 1",3.083,1,113
48,0,10585,Scott McCarron,3' 5",3.417,1,33
48,0,01797,Rocco Mediate,3' 5",3.417,1,48
50,0,06617,Brian Henninger,3' 7",10.667,3,163
51,0,02110,Jerry Smith,3' 8",3.667,1,101
52,0,06527,Steve Stricker,3' 9",3.750,1,17
53,0,19972,José Coceres,4' 2",8.250,2,46
54,0,20433,Mark Hensby,4' 5",8.833,2,144
55,0,01666,Bernhard Langer,4' 6",4.500,1,10
56,0,06251,Chris DiMarco,5' 3",20.833,4,63
57,0,01329,Brad Faxon,6' 0",23.833,4,19
58,0,01527,Scott Hoch,6' 3",6.250,1,4
59,0,12660,Jesper Parnevik,7' 4",7.333,1,11
60,0,08057,Brian Wilson,11' 2",11.167,1,123
61,0,07547,Craig Kanada,11' 6",11.500,1,105
62,0,06332,Neal Lancaster,13' 8",13.667,1,23
63,0,08931,Glen Day,15' 4",15.333,1,9
64,0,20098,Stuart Appleby,20' 8",20.667,1,53
65,0,01707,Steve Lowery,251' 0",501.917,2,120
