RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,01926,Steve Pate,27' 2",1601.000,59,897,3"
2,0,06527,Steve Stricker,25' 7",1382.000,54,957,5"
3,0,06078,Esteban Toledo,25' 0",1949.417,78,957,6"
4,0,02223,Bob Tway,22' 8",1748.333,77,957,6"
5,0,10860,Justin Leonard,21' 6",1889.667,88,957,1
6,0,06595,Kevin Sutherland,20' 8",1323.833,64,564,6"
7,0,01161,Mark Calcavecchia,19' 11",1795.750,90,957,4"
8,0,20498,Briny Baird,15' 6",1951.500,126,784,2"
9,0,02245,Grant Waite,15' 5",1910.167,124,486,7"
10,0,02322,Richard Zokol,14' 0",726.000,52,65,1
11,0,06332,Neal Lancaster,13' 1",1189.583,91,304,6"
12,0,01928,Corey Pavin,12' 8",874.833,69,55,4"
13,0,10912,Craig Perks,12' 4",1033.000,84,84,1
14,0,01219,John Cook,12' 3",1026.750,84,49,1
15,0,01457,Jay Haas,12' 2",912.500,75,105,4"
15,0,01569,Peter Jacobsen,12' 2",692.917,57,47,8"
17,0,12753,David Morland IV,12' 0",863.917,72,54,11"
18,0,12652,Cameron Beckman,11' 11",1071.583,90,44,4"
18,0,01139,Olin Browne,11' 11",1416.333,119,60,4"
18,0,01707,Steve Lowery,11' 11",1289.333,108,59,4"
18,0,01927,Dennis Paulson,11' 11",1081.917,91,46,5"
22,0,20127,Chris Riley,11' 10",1368.917,116,48,2"
23,0,19824,Craig Barlow,11' 9",988.583,84,49,10"
23,0,02099,Scott Simpson,11' 9",683.667,58,42,1
23,0,02110,Jerry Smith,11' 9",962.083,82,39,1
26,0,23903,Stephen Gangluff,11' 8",1038.583,89,42,8"
26,0,06016,Brad Lardon,11' 8",561.167,48,50,1
28,0,08633,Per-Ulrik Johansson,11' 7",1011.083,87,52,1
29,0,21805,Harrison Frazar,11' 6",1173.750,102,129,1
30,0,01014,Fulton Allem,11' 5",663.917,58,60,8"
30,0,01098,Jay Don Blake,11' 5",1339.333,117,46,1
30,0,01142,Bart Bryant,11' 5",972.667,85,39,6"
33,0,01203,Russ Cochran,11' 4",680.000,60,40,5"
33,0,19846,Brian Gay,11' 4",1632.750,144,45,3"
33,0,01553,John Huston,11' 4",1465.500,129,70,1"
33,0,19817,Michael Muehr,11' 4",613.750,54,34,3"
33,0,08553,Lee Porter,11' 4",1055.667,93,72,1
38,0,23125,Brad Elder,11' 3",811.417,72,83,4"
38,0,12645,Brent Geiberger,11' 3",1168.500,104,63,2"
38,0,20502,Michael Long,11' 3",1000.000,89,49,8"
41,0,19972,José Coceres,11' 2",492.750,44,44,1
41,0,23541,Ben Crane,11' 2",1061.500,95,90,9"
41,0,06012,Greg Kraft,11' 2",1005.833,90,45,5"
41,0,21949,Joe Ogilvie,11' 2",568.000,51,63,4"
41,0,01968,Nick Price,11' 2",680.167,61,53,5"
41,0,10649,Tom Scherrer,11' 2",1117.833,100,43,3"
47,0,01378,David Frost,11' 1",1186.583,107,67,6"
47,0,08537,J.P. Hayes,11' 1",967.417,87,54,6"
47,0,01945,Kenny Perry,11' 1",1426.750,129,47,4"
50,0,24357,K.J. Choi,11' 0",1227.667,112,61,2"
50,0,10425,Jay Williamson,11' 0",1233.000,112,50,1"
52,0,01157,Tom Byrum,10' 11",938.750,86,40,6"
52,0,20593,Greg Chalmers,10' 11",1113.750,102,45,7"
52,0,24937,Jess Daley,10' 11",909.417,83,46,4"
52,0,01577,Lee Janzen,10' 11",1098.667,101,48,2"
52,0,02104,Jeff Sluman,10' 11",1526.833,140,66,4"
52,0,23623,Bo Van Pelt,10' 11",1083.167,99,65,7"
52,0,02257,Brian Watts,10' 11",479.083,44,40,7"
59,0,01042,Paul Azinger,10' 10",619.167,57,49,2
59,0,01185,Brandel Chamblee,10' 10",921.750,85,49,5"
59,0,08545,Glen Hnatiuk,10' 10",1278.083,118,43,4"
59,0,08881,Tripp Isenhour,10' 10",874.167,81,67,1
59,0,10213,Dicky Pride,10' 10",628.833,58,56,1
59,0,02106,Chris Smith,10' 10",1244.333,115,99,9"
65,0,12510,Chad Campbell,10' 9",1595.667,148,62,10"
65,0,01514,Eduardo Herrera,10' 9",496.167,46,40,11"
65,0,01527,Scott Hoch,10' 9",846.583,79,58,4"
65,0,01938,David Peoples,10' 9",1231.667,115,63,8"
65,0,02010,Loren Roberts,10' 9",1126.667,105,49,1
70,0,06575,Dudley Hart,10' 8",724.417,68,59,1
70,0,01766,Billy Mayfair,10' 8",1045.833,98,48,1
70,0,01797,Rocco Mediate,10' 8",1000.167,94,83,7"
73,0,01313,Steve Elkington,10' 7",717.250,68,31,4"
73,0,01329,Brad Faxon,10' 7",1004.250,95,50,7"
73,0,10809,Jim Furyk,10' 7",972.833,92,59,6"
76,0,23614,Rich Beem,10' 6",1127.667,107,46,1
76,0,08931,Glen Day,10' 6",1310.167,125,63,6"
76,0,01320,Bob Estes,10' 6",1038.167,99,44,2
76,0,20043,Edward Fryatt,10' 6",990.167,94,61,4"
76,0,01599,Steve Jones,10' 6",663.833,63,36,5"
76,0,20663,Brenden Pappas,10' 6",716.250,68,81,8"
76,0,06498,Matt Peterson,10' 6",944.417,90,64,4"
76,0,12663,Phil Tataurangi,10' 6",1018.000,97,30,5"
76,0,02206,David Toms,10' 6",1503.750,143,41,5"
85,0,06809,Bob Burns,10' 5",955.667,92,73,4"
85,0,06522,Ernie Els,10' 5",791.167,76,54,1
85,0,23338,David Gossett,10' 5",1220.417,117,53,7"
85,0,01771,Blaine McCallister,10' 5",811.333,78,71,2"
85,0,06515,Shaun Micheel,10' 5",1241.500,119,48,9"
85,0,12660,Jesper Parnevik,10' 5",550.917,53,53,11"
85,0,07749,Brett Quigley,10' 5",1275.833,122,56,7"
85,0,02133,Craig Stadler,10' 5",676.500,65,43,1"
93,0,21633,Steve Allan,10' 4",1348.250,131,48,11"
93,0,01024,Billy Andrade,10' 4",1297.750,126,50,9"
93,0,06621,Joe Durant,10' 4",918.167,89,57,1
93,0,01307,Joel Edwards,10' 4",1296.333,125,41,1
93,0,01388,Robert Gamez,10' 4",929.333,90,42,9"
93,0,20105,Jeff Gove,10' 4",1167.250,113,39,2"
93,0,01677,Tom Lehman,10' 4",580.500,56,39,3"
93,0,23800,Bryce Molder,10' 4",960.000,93,33,1
93,0,01887,Mark O'Meara,10' 4",549.833,53,42,8"
93,0,01941,Tom Pernice Jr.,10' 4",1065.917,103,57,2"
103,0,06004,Stephen Ames,10' 3",955.333,93,35,4"
103,0,10733,Kent Jones,10' 3",1336.750,130,51,5"
105,0,12388,Michael Clark II,10' 2",1025.417,101,35,9"
105,0,10201,Matt Gogel,10' 2",810.000,80,43,11"
105,0,12782,Tim Herron,10' 2",1191.583,117,41,6"
105,0,08339,Spike McRoy,10' 2",598.750,59,38,2"
109,0,23983,Luke Donald,10' 1",1161.000,115,48,10"
109,0,07457,Steve Flesch,10' 1",964.250,96,35,7"
109,0,12680,Shigeki Maruyama,10' 1",946.333,94,43,4"
109,0,02101,Joey Sindelar,10' 1",1267.167,126,43,8"
109,0,11011,Mike Sposa,10' 1",1141.833,113,43,11"
109,0,06613,Tommy Tolles,10' 1",808.250,80,43,11"
109,0,02246,Duffy Waldorf,10' 1",1153.167,114,38,7"
116,0,06315,Pete Jordan,10' 0",689.583,69,58,3"
116,0,02002,John Riegger,10' 0",1234.167,123,46,4"
116,0,20566,Kaname Yokoo,10' 0",668.583,67,62,8"
119,0,01374,Robin Freeman,9' 11",842.917,85,97,7"
119,0,23108,Matt Kuchar,9' 11",815.583,82,41,11"
119,0,22046,Geoff Ogilvy,9' 11",1043.667,105,46,8"
119,0,20095,Carl Paulson,9' 11",1101.750,111,59,2"
119,0,22293,Heath Slocum,9' 11",831.083,84,43,11"
119,0,02170,Hal Sutton,9' 11",665.000,67,28,7"
125,0,10885,Robert Allenby,9' 10",1225.917,125,77,4"
125,0,01132,Mark Brooks,9' 10",855.333,87,32,1
125,0,01381,Fred Funk,9' 10",1413.917,144,43,3"
125,0,23353,J.J. Henry,9' 10",1053.583,107,35,11"
125,0,10962,Bradley Hughes,9' 10",568.583,58,46,2"
125,0,10107,Deane Pappas,9' 10",815.000,83,42,6"
131,0,20029,Notah Begay III,9' 9",1182.750,121,42,5"
131,0,06350,Bob May,9' 9",958.083,98,34,5"
131,0,10585,Scott McCarron,9' 9",1071.417,110,53,7"
134,0,20574,Mathew Goggin,9' 8",716.167,74,50,7"
134,0,08993,Franklin Langham,9' 8",674.333,70,32,7"
134,0,01761,Len Mattiace,9' 8",1105.083,114,37,1"
137,0,07721,Pat Bates,9' 7",1064.750,111,63,3"
137,0,21806,Paul Gow,9' 7",1216.667,127,54,6"
137,0,01685,J.L. Lewis,9' 7",1302.667,136,42,8"
137,0,23621,Rory Sabbatini,9' 7",557.167,58,46,1
141,0,07867,Woody Austin,9' 6",1025.917,108,49,5"
141,0,12826,Paul Claxton,9' 6",874.333,92,45,10"
141,0,01723,Andrew Magee,9' 6",772.667,81,59,9"
141,0,06373,José María Olazábal,9' 6",675.333,71,46,1
145,0,12823,Carlos Franco,9' 5",1216.500,129,49,5"
145,0,08793,Tiger Woods,9' 5",773.917,82,31,4"
147,0,20229,Stewart Cink,9' 4",960.583,103,31,9"
147,0,01619,Skip Kendall,9' 4",994.833,107,35,6"
147,0,01920,Craig Parry,9' 4",965.250,103,37,9"
147,0,01948,Tim Petrovic,9' 4",955.667,102,44,9"
