RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,25804,Bubba Watson,25.18,70,278
2,0,24490,George McNeill,21.58,71,329
3,0,22371,Aaron Baddeley,21.25,78,367
4,0,22405,Justin Rose,20.80,52,250
5,0,06522,Ernie Els,20.43,47,230
6,0,21209,Sergio Garcia,20.31,26,128
7,0,23322,Brett Wetterich,20.28,43,212
8,0,23541,Ben Crane,19.80,40,202
9,0,20848,Ángel Cabrera,19.41,46,237
10,0,23983,Luke Donald,19.21,39,203
11,0,25632,Jimmy Walker,18.98,63,332
12,0,27095,Nick Watney,18.80,47,250
13,0,30925,Dustin Johnson,18.61,51,274
14,0,10885,Robert Allenby,18.59,37,199
15,0,06527,Steve Stricker,18.56,36,194
16,0,24663,Y.E. Yang,18.52,40,216
17,0,26882,Michael Sim,18.38,34,185
18,0,28475,Jeff Overton,18.30,58,317
19,0,32640,Troy Merritt,18.15,55,303
20,0,25818,Scott Piercy,18.05,63,349
21,0,22913,John Rollins,18.04,46,255
22,0,24358,Robert Garrigus,18.01,47,261
23,0,24925,Jonathan Byrd,17.97,53,295
24,0,23353,J.J. Henry,17.94,47,262
25,0,27936,Martin Laird,17.87,57,319
26,0,24924,Bill Haas,17.81,44,247
27,0,27141,J.B. Holmes,17.80,68,382
27,0,26851,Marc Leishman,17.80,55,309
29,0,10860,Justin Leonard,17.79,37,208
30,0,23621,Rory Sabbatini,17.65,45,255
31,0,01766,Billy Mayfair,17.55,33,188
32,0,11123,Chris Couch,17.44,34,195
33,0,01249,John Daly,17.43,38,218
34,0,28237,Rory McIlroy,17.31,27,156
35,0,27436,Graham DeLaet,16.97,46,271
36,0,07867,Woody Austin,16.91,47,278
37,0,28500,Martin Flores,16.88,53,314
37,0,21961,Charles Howell III,16.88,65,385
39,0,01810,Phil Mickelson,16.84,49,291
40,0,22046,Geoff Ogilvy,16.83,34,202
41,0,01706,Davis Love III,16.75,35,209
42,0,22056,Cameron Percy,16.67,39,234
43,0,23320,Ryan Palmer,16.61,48,289
44,0,23548,Bill Lunde,16.53,40,242
45,0,20766,Padraig Harrington,16.49,31,188
45,0,25240,D.A. Points,16.49,47,285
47,0,07457,Steve Flesch,16.36,35,214
48,0,06004,Stephen Ames,16.29,36,221
49,0,24024,Zach Johnson,16.28,35,215
50,0,27963,Chris Stroud,16.19,40,247
51,0,24846,Ricky Barnes,16.18,50,309
51,0,25900,Lucas Glover,16.18,33,204
53,0,33419,Cameron Tringale,16.09,28,174
54,0,24357,K.J. Choi,16.06,31,193
54,0,01320,Bob Estes,16.06,44,274
56,0,27302,Garth Mulroy,16.00,24,150
57,0,23788,D.J. Trahan,15.99,51,319
58,0,20645,John Senden,15.97,46,288
59,0,25364,Paul Casey,15.85,26,164
60,0,06567,Vijay Singh,15.77,35,222
61,0,24502,Adam Scott,15.71,30,191
61,0,27214,Kevin Streelman,15.71,41,261
63,0,26300,Matt Jones,15.67,50,319
64,0,20593,Greg Chalmers,15.65,54,345
64,0,26881,Jarrod Lyle,15.65,23,147
66,0,32102,Rickie Fowler,15.53,48,309
66,0,27770,Camilo Villegas,15.53,34,219
68,0,20229,Stewart Cink,15.52,36,232
69,0,24140,Sean O'Hair,15.42,39,253
70,0,20850,Daniel Chopra,15.41,49,318
71,0,01161,Mark Calcavecchia,15.27,20,131
72,0,26287,Roland Thatcher,15.12,39,258
73,0,12705,Cliff Kresge,15.11,21,139
74,0,10425,Jay Williamson,15.10,29,192
75,0,20157,Retief Goosen,15.08,27,179
76,0,24507,Jason Bohn,15.06,36,239
77,0,12510,Chad Campbell,15.02,35,233
78,0,23718,Nathan Green,15.00,45,300
79,0,29910,Blake Adams,14.98,37,247
80,0,27466,Spencer Levin,14.97,50,334
81,0,23409,James Driscoll,14.95,48,321
82,0,01724,Jeff Maggert,14.93,30,201
83,0,22946,Henrik Bjornstad,14.89,28,188
83,0,12716,Charley Hoffman,14.89,39,262
83,0,26679,Kevin Stadler,14.89,39,262
86,0,32617,Jerod Turner,14.84,23,155
87,0,06595,Kevin Sutherland,14.83,35,236
88,0,23623,Bo Van Pelt,14.80,45,304
89,0,08725,Tom Gillis,14.79,42,284
90,0,28307,Matt Every,14.74,28,190
90,0,27649,Brandt Snedeker,14.74,37,251
92,0,28089,Jason Day,14.68,43,293
93,0,20378,Mathias Grönberg,14.67,27,184
94,0,25892,Steve Wheatcroft,14.65,29,198
