RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,06621,Joe Durant,87.92,1077,1225
2,0,10809,Jim Furyk,87.62,1012,1155
3,0,22293,Heath Slocum,87.49,1231,1407
4,0,21753,Brian Davis,86.72,1228,1416
5,0,20574,Mathew Goggin,86.68,1171,1351
6,0,01142,Bart Bryant,86.20,1037,1203
7,0,01766,Billy Mayfair,86.01,1174,1365
8,0,10425,Jay Williamson,86.00,602,700
9,0,20645,John Senden,85.89,1169,1361
9,0,23349,Charles Warren,85.89,1211,1410
11,0,07363,Craig Bowden,85.69,934,1090
12,0,24024,Zach Johnson,85.62,899,1050
13,0,02214,Kirk Triplett,85.29,916,1074
14,0,20104,Ken Duke,85.06,1332,1566
15,0,02101,Joey Sindelar,84.95,886,1043
16,0,02239,Scott Verplank,84.61,962,1137
17,0,27060,John Mallinger,84.58,1130,1336
18,0,23788,D.J. Trahan,84.35,1164,1380
19,0,20105,Jeff Gove,84.26,1210,1436
20,0,10733,Kent Jones,84.19,1140,1354
21,0,01724,Jeff Maggert,84.18,931,1106
21,0,06515,Shaun Micheel,84.18,1038,1233
23,0,06004,Stephen Ames,83.91,897,1069
24,0,24140,Sean O'Hair,83.81,1154,1377
25,0,23623,Bo Van Pelt,83.78,1214,1449
26,0,22892,Jason Gore,83.75,1005,1200
27,0,20472,Alex Cejka,83.68,933,1115
28,0,11032,Frank Lickliter II,83.65,1110,1327
29,0,01945,Kenny Perry,83.61,964,1153
30,0,23983,Luke Donald,83.60,790,945
31,0,24781,Hunter Mahan,83.59,1065,1274
32,0,20382,Stephen Leaney,83.52,953,1141
33,0,28475,Jeff Overton,83.39,698,837
34,0,24507,Jason Bohn,83.35,661,793
34,0,08123,Jeff Brehaut,83.35,686,823
34,0,01707,Steve Lowery,83.35,866,1039
37,0,21646,David Branshaw,83.30,963,1156
37,0,01928,Corey Pavin,83.30,943,1132
39,0,26596,Ryan Moore,83.28,1071,1286
40,0,02246,Duffy Waldorf,83.26,806,968
41,0,25900,Lucas Glover,83.17,1132,1361
42,0,01157,Tom Byrum,83.07,579,697
43,0,25686,Jason Dufner,83.02,1159,1396
44,0,19803,Ryan Armour,82.86,1238,1494
45,0,21731,Freddie Jacobson,82.83,815,984
45,0,20691,Greg Owen,82.83,941,1136
47,0,27095,Nick Watney,82.81,1007,1216
48,0,23353,J.J. Henry,82.73,987,1193
49,0,23614,Rich Beem,82.71,1033,1249
50,0,07867,Woody Austin,82.64,1095,1325
51,0,01797,Rocco Mediate,82.59,830,1005
52,0,23933,Michael Boyd,82.57,706,855
53,0,25190,Jeff Quinney,82.54,1097,1329
54,0,24912,Will MacKenzie,82.52,1152,1396
55,0,01035,Tommy Armour III,82.51,934,1132
56,0,01941,Tom Pernice Jr.,82.49,1201,1456
57,0,12652,Cameron Beckman,82.48,1106,1341
58,0,10860,Justin Leonard,82.43,1098,1332
59,0,20378,Mathias Grönberg,82.42,1092,1325
60,0,23135,Tim Clark,82.40,735,892
61,0,08793,Tiger Woods,82.35,695,844
62,0,07457,Steve Flesch,82.32,1150,1397
63,0,20160,Charlie Wi,82.31,1033,1255
64,0,01320,Bob Estes,82.28,1012,1230
65,0,22405,Justin Rose,82.27,682,829
66,0,20572,Rod Pampling,82.26,1043,1268
67,0,10885,Robert Allenby,82.15,1026,1249
68,0,01677,Tom Lehman,82.12,712,867
69,0,22378,Trevor Immelman,82.11,785,956
70,0,23621,Rory Sabbatini,82.09,912,1111
71,0,29718,Anthony Kim,82.06,1061,1293
72,0,22913,John Rollins,81.98,1160,1415
72,0,26951,Johnson Wagner,81.98,1110,1354
74,0,24457,Jaco Van Zyl,81.91,584,713
75,0,10423,Mike Weir,81.87,930,1136
76,0,22806,Doug LaBelle II,81.82,1188,1452
77,0,19846,Brian Gay,81.81,1223,1495
78,0,19824,Craig Barlow,81.79,593,725
79,0,06643,Paul Goydos,81.78,669,818
80,0,01948,Tim Petrovic,81.60,1206,1478
81,0,12602,Dean Wilson,81.57,1049,1286
82,0,12705,Cliff Kresge,81.51,1217,1493
83,0,23322,Brett Wetterich,81.49,995,1221
84,0,06567,Vijay Singh,81.40,1142,1403
85,0,08537,J.P. Hayes,81.36,1008,1239
86,0,06527,Steve Stricker,81.28,912,1122
87,0,02206,David Toms,81.27,881,1084
88,0,20498,Briny Baird,81.25,1304,1605
89,0,01388,Robert Gamez,81.03,995,1228
90,0,08931,Glen Day,81.01,960,1185
91,0,20628,Arron Oberholser,80.90,771,953
92,0,24357,K.J. Choi,80.89,965,1193
93,0,19972,José Coceres,80.86,566,700
94,0,20850,Daniel Chopra,80.81,1196,1480
94,0,22621,Ben Curtis,80.81,914,1131
96,0,27770,Camilo Villegas,80.77,920,1139
97,0,27963,Chris Stroud,80.76,747,925
98,0,06595,Kevin Sutherland,80.69,957,1186
99,0,26882,Michael Sim,80.68,589,730
100,0,24358,Robert Garrigus,80.57,1070,1328
101,0,25892,Steve Wheatcroft,80.49,821,1020
102,0,26679,Kevin Stadler,80.48,1072,1332
103,0,01381,Fred Funk,80.42,731,909
104,0,11123,Chris Couch,80.41,854,1062
104,0,21209,Sergio Garcia,80.41,743,924
104,0,27120,Troy Matteson,80.41,977,1215
107,0,25345,Carl Pettersson,80.35,1243,1547
108,0,25396,Kevin Na,80.34,944,1175
109,0,01313,Steve Elkington,80.33,972,1210
110,0,24925,Jonathan Byrd,80.31,820,1021
111,0,20433,Mark Hensby,80.27,907,1130
112,0,22212,Craig Lile,80.26,866,1079
113,0,08075,Jerry Kelly,80.25,1138,1418
114,0,12716,Charley Hoffman,80.24,1088,1356
115,0,24138,Ian Poulter,80.19,676,843
116,0,28158,Steve Marino,80.12,1189,1484
117,0,24924,Bill Haas,80.03,1038,1297
118,0,12195,Tom Johnson,80.00,824,1030
119,0,27141,J.B. Holmes,79.98,795,994
120,0,07547,Craig Kanada,79.89,1216,1522
121,0,27933,John Merrick,79.88,1028,1287
122,0,12660,Jesper Parnevik,79.85,979,1226
123,0,01024,Billy Andrade,79.82,977,1224
124,0,21959,Ted Purdy,79.80,1138,1426
125,0,22046,Geoff Ogilvy,79.78,876,1098
126,0,20229,Stewart Cink,79.77,986,1236
127,0,22295,Darron Stiles,79.76,725,909
128,0,24502,Adam Scott,79.69,765,960
129,0,20098,Stuart Appleby,79.63,817,1026
130,0,26420,Richard Johnson,79.60,1030,1294
131,0,06522,Ernie Els,79.53,649,816
132,0,12510,Chad Campbell,79.49,1004,1263
132,0,26289,Boo Weekley,79.49,1124,1414
134,0,20623,Gavin Coles,79.47,964,1213
135,0,20634,Peter Lonard,79.41,941,1185
136,0,01706,Davis Love III,79.34,726,915
137,0,20766,Padraig Harrington,79.33,691,871
138,0,01132,Mark Brooks,79.32,587,740
139,0,29476,Kyle Reifers,79.30,789,995
140,0,10117,Bob Heintz,79.27,937,1182
140,0,21470,Daisuke Maruyama,79.27,952,1201
142,0,25804,Bubba Watson,79.17,882,1114
143,0,27702,Matt Hendrix,79.07,695,879
144,0,20127,Chris Riley,79.03,652,825
145,0,21878,Mark Wilson,78.97,954,1208
146,0,23320,Ryan Palmer,78.96,1002,1269
146,0,28486,Michael Putnam,78.96,1062,1345
148,0,06034,Marco Dawson,78.90,804,1019
149,0,01161,Mark Calcavecchia,78.80,1026,1302
150,0,21528,Henrik Stenson,78.64,508,646
151,0,22348,Nick O'Hern,78.62,750,954
152,0,01810,Phil Mickelson,78.57,781,994
153,0,21806,Paul Gow,78.53,768,978
154,0,12680,Shigeki Maruyama,78.45,921,1174
155,0,23325,Vaughn Taylor,78.28,995,1271
156,0,24361,Pat Perez,78.13,918,1175
157,0,23613,Rich Barcelo,77.91,871,1118
158,0,12714,Chris Tidland,77.89,641,823
159,0,24490,George McNeill,77.82,1028,1321
160,0,23718,Nathan Green,77.81,1115,1433
161,0,23108,Matt Kuchar,77.68,926,1192
162,0,26881,Jarrod Lyle,77.67,835,1075
163,0,08881,Tripp Isenhour,77.60,932,1201
164,0,27649,Brandt Snedeker,77.46,1134,1464
165,0,22371,Aaron Baddeley,77.42,871,1125
166,0,02036,Jim Rutledge,77.36,639,826
167,0,06197,Michael Allen,77.30,797,1031
168,0,21805,Harrison Frazar,77.27,952,1232
169,0,12782,Tim Herron,77.25,1056,1367
