RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,01381,Fred Funk,1.35,10,741,+0.70
2,0,10809,Jim Furyk,1.57,15,955,+0.20
3,0,22378,Trevor Immelman,1.85,14,756,+0.71
4,0,19972,José Coceres,1.95,12,616,+0.50
5,0,10425,Jay Williamson,2.00,14,700,+0.29
6,0,06621,Joe Durant,2.22,24,1083,+0.33
7,0,24024,Zach Johnson,2.47,21,850,+0.71
8,0,23135,Tim Clark,2.53,19,752,+0.47
9,0,23983,Luke Donald,2.55,19,745,+0.42
10,0,06004,Stephen Ames,2.60,23,886,+0.57
11,0,22293,Heath Slocum,2.66,36,1351,+0.58
12,0,06527,Steve Stricker,2.82,26,922,+0.35
12,0,02206,David Toms,2.82,25,886,+0.56
14,0,20628,Arron Oberholser,2.92,22,753,+0.41
15,0,22046,Geoff Ogilvy,3.00,27,900,+0.11
15,0,20572,Rod Pampling,3.00,32,1068,+0.50
17,0,01142,Bart Bryant,3.04,34,1119,+0.18
18,0,01157,Tom Byrum,3.12,20,641,+0.80
19,0,10860,Justin Leonard,3.13,39,1246,+0.49
20,0,23933,Michael Boyd,3.25,26,799,+0.54
21,0,24357,K.J. Choi,3.32,33,993,+0.58
22,0,08793,Tiger Woods,3.41,21,616,+0.19
23,0,22348,Nick O'Hern,3.44,27,784,+0.41
24,0,22913,John Rollins,3.53,44,1245,+0.34
25,0,22371,Aaron Baddeley,3.56,34,955,+0.03
26,0,20157,Retief Goosen,3.57,17,476,+0.53
27,0,22621,Ben Curtis,3.65,35,959,+0.43
28,0,24502,Adam Scott,3.68,28,760,+0.68
29,0,19803,Ryan Armour,3.76,54,1438,+0.48
30,0,24781,Hunter Mahan,3.90,43,1102,+0.07
31,0,01766,Billy Mayfair,3.91,49,1253,+0.31
32,0,02214,Kirk Triplett,3.92,41,1046,+0.32
33,0,19846,Brian Gay,3.96,57,1439,+0.30
34,0,01320,Bob Estes,4.00,47,1174,+0.47
35,0,01313,Steve Elkington,4.01,44,1098,+0.30
36,0,20623,Gavin Coles,4.06,47,1157,+0.47
36,0,06522,Ernie Els,4.06,25,616,+0.56
38,0,21731,Freddie Jacobson,4.07,40,984,+0.53
39,0,20634,Peter Lonard,4.08,46,1128,+0.43
40,0,23353,J.J. Henry,4.13,41,993,+0.41
41,0,07363,Craig Bowden,4.14,44,1062,+0.14
42,0,20127,Chris Riley,4.16,32,769,+0.63
43,0,21528,Henrik Stenson,4.17,21,504,+0.43
44,0,20645,John Senden,4.18,52,1245,+0.38
44,0,02239,Scott Verplank,4.18,38,909,+0.05
46,0,06515,Shaun Micheel,4.24,45,1061,+0.27
46,0,06567,Vijay Singh,4.24,51,1203,+0.24
48,0,01706,Davis Love III,4.27,33,773,+0.55
49,0,08075,Jerry Kelly,4.30,50,1162,+0.38
50,0,08931,Glen Day,4.34,49,1129,+0.49
50,0,01724,Jeff Maggert,4.34,48,1106,+0.60
52,0,27770,Camilo Villegas,4.40,44,999,+0.20
53,0,24912,Will MacKenzie,4.48,60,1340,+0.18
54,0,10885,Robert Allenby,4.49,51,1135,+0.29
55,0,20472,Alex Cejka,4.51,49,1087,+0.10
56,0,21470,Daisuke Maruyama,4.54,52,1145,+0.37
57,0,26289,Boo Weekley,4.55,54,1186,+0.22
58,0,12510,Chad Campbell,4.57,50,1093,+0.40
59,0,25190,Jeff Quinney,4.61,60,1301,+0.38
60,0,10733,Kent Jones,4.65,63,1354,+0.40
61,0,07547,Craig Kanada,4.66,67,1438,+0.39
61,0,26882,Michael Sim,4.66,34,730,+0.38
61,0,23325,Vaughn Taylor,4.66,50,1073,+0.34
64,0,20382,Stephen Leaney,4.67,52,1113,+0.38
65,0,01388,Robert Gamez,4.69,55,1172,+0.67
66,0,23623,Bo Van Pelt,4.71,67,1421,+0.37
67,0,01161,Mark Calcavecchia,4.72,52,1102,+0.31
67,0,27060,John Mallinger,4.72,63,1336,+0.38
69,0,22295,Darron Stiles,4.73,39,825,+0.28
69,0,20160,Charlie Wi,4.73,58,1227,+0.45
71,0,07867,Woody Austin,4.75,59,1241,+0.36
72,0,06643,Paul Goydos,4.77,35,734,+0.46
73,0,21878,Mark Wilson,4.80,54,1124,+0.13
74,0,20104,Ken Duke,4.81,70,1454,+0.49
75,0,20098,Stuart Appleby,4.83,40,828,+0.78
75,0,01945,Kenny Perry,4.83,53,1097,+0.40
77,0,01132,Mark Brooks,4.88,32,656,+0.34
78,0,01707,Steve Lowery,4.91,51,1039,+0.47
79,0,20574,Mathew Goggin,4.94,64,1295,+0.30
79,0,28475,Jeff Overton,4.94,40,809,+0.20
81,0,23621,Rory Sabbatini,4.99,47,941,+0.11
82,0,12680,Shigeki Maruyama,5.00,58,1160,+0.50
83,0,22806,Doug LaBelle II,5.01,70,1396,+0.36
84,0,23718,Nathan Green,5.03,65,1293,+0.23
84,0,24140,Sean O'Hair,5.03,62,1233,+0.11
86,0,24507,Jason Bohn,5.04,40,793,+0.43
86,0,22212,Craig Lile,5.04,53,1051,+0.42
88,0,27963,Chris Stroud,5.06,44,869,+0.14
89,0,20105,Jeff Gove,5.08,73,1436,+0.29
90,0,23788,D.J. Trahan,5.10,69,1352,+0.33
91,0,01797,Rocco Mediate,5.15,51,991,+0.47
91,0,12602,Dean Wilson,5.15,59,1146,+0.31
93,0,25900,Lucas Glover,5.17,60,1161,+0.35
94,0,23349,Charles Warren,5.18,73,1410,+0.52
95,0,06251,Chris DiMarco,5.19,47,905,+0.55
96,0,01035,Tommy Armour III,5.20,56,1076,+0.16
97,0,07457,Steve Flesch,5.22,70,1341,+0.44
98,0,25345,Carl Pettersson,5.24,72,1375,+0.32
99,0,01941,Tom Pernice Jr.,5.29,68,1286,+0.40
100,0,01928,Corey Pavin,5.30,57,1076,+0.37
101,0,21753,Brian Davis,5.31,72,1356,+0.33
102,0,20766,Padraig Harrington,5.37,36,671,+0.56
103,0,20498,Briny Baird,5.42,84,1549,+0.37
104,0,22405,Justin Rose,5.49,33,601,+0.06
105,0,24138,Ian Poulter,5.53,34,615,+0.03
106,0,10423,Mike Weir,5.56,52,936,+0.19
107,0,21209,Sergio Garcia,5.64,44,780,+0.27
108,0,26951,Johnson Wagner,5.73,76,1326,+0.37
109,0,07749,Brett Quigley,5.74,53,923,+0.40
110,0,20433,Mark Hensby,5.82,64,1100,+0.48
111,0,12705,Cliff Kresge,5.83,87,1493,+0.40
112,0,26420,Richard Johnson,5.92,75,1266,+0.44
113,0,06197,Michael Allen,5.95,58,975,+0.38
113,0,02223,Bob Tway,5.95,79,1327,+0.48
115,0,27933,John Merrick,6.01,74,1231,+0.45
116,0,12782,Tim Herron,6.09,73,1199,+0.41
117,0,27120,Troy Matteson,6.10,69,1131,+0.29
118,0,24457,Jaco Van Zyl,6.13,42,685,+0.52
119,0,12652,Cameron Beckman,6.15,79,1285,+0.32
119,0,23108,Matt Kuchar,6.15,68,1106,+0.31
121,0,21959,Ted Purdy,6.18,83,1342,+0.18
121,0,23322,Brett Wetterich,6.18,65,1051,+0.40
123,0,10213,Dicky Pride,6.19,58,937,+0.43
124,0,11032,Frank Lickliter II,6.22,79,1271,+0.46
125,0,20691,Greg Owen,6.23,69,1108,+0.41
126,0,20378,Mathias Grönberg,6.26,83,1325,+0.24
126,0,24361,Pat Perez,6.26,61,975,+0.43
128,0,08881,Tripp Isenhour,6.27,70,1117,+0.49
129,0,29718,Anthony Kim,6.35,75,1181,+0.35
130,0,27095,Nick Watney,6.36,70,1100,+0.36
131,0,27649,Brandt Snedeker,6.40,83,1296,+0.02
132,0,23614,Rich Beem,6.41,69,1077,+0.46
133,0,01948,Tim Petrovic,6.48,94,1450,+0.30
133,0,28486,Michael Putnam,6.48,78,1203,+0.38
135,0,08537,J.P. Hayes,6.54,81,1239,+0.51
136,0,25396,Kevin Na,6.55,77,1175,+0.40
137,0,25686,Jason Dufner,6.57,88,1340,+0.39
138,0,21633,Steve Allan,6.58,54,821,+0.52
139,0,21350,Ryuji Imada,6.64,89,1341,+0.28
140,0,21646,David Branshaw,6.66,77,1156,+0.60
141,0,24290,D.J. Brigman,6.67,55,825,+0.18
142,0,02101,Joey Sindelar,6.70,68,1015,+0.37
142,0,06595,Kevin Sutherland,6.70,72,1074,+0.17
144,0,26360,Bubba Dickerson,6.72,44,655,+0.36
145,0,26596,Ryan Moore,6.75,79,1170,+0.20
146,0,26881,Jarrod Lyle,6.77,69,1019,+0.41
147,0,02104,Jeff Sluman,6.78,45,664,+0.73
148,0,12195,Tom Johnson,6.79,68,1002,+0.38
149,0,02246,Duffy Waldorf,6.82,64,938,+0.09
150,0,22892,Jason Gore,6.92,83,1200,+0.19
151,0,20859,Anders Hansen,6.97,38,545,+0.37
152,0,08123,Jeff Brehaut,7.04,52,739,+0.52
153,0,25892,Steve Wheatcroft,7.05,68,964,+0.41
154,0,11123,Chris Couch,7.06,75,1062,+0.48
155,0,24490,George McNeill,7.11,86,1209,+0.24
156,0,24924,Bill Haas,7.17,89,1241,+0.20
157,0,23638,Brendon de Jonge,7.26,73,1005,+0.48
158,0,27702,Matt Hendrix,7.29,62,851,+0.37
159,0,01677,Tom Lehman,7.32,55,751,+0.45
160,0,28158,Steve Marino,7.36,103,1400,+0.37
161,0,06034,Marco Dawson,7.37,73,991,+0.36
162,0,21806,Paul Gow,7.48,69,922,+0.46
162,0,26679,Kevin Stadler,7.48,91,1216,+0.33
164,0,21660,Jason Schultz,7.52,62,825,+0.37
165,0,23320,Ryan Palmer,7.57,94,1241,+0.43
166,0,06373,José María Olazábal,7.69,43,559,+0.49
166,0,12714,Chris Tidland,7.69,59,767,+0.53
168,0,25273,Andrew Buckle,7.72,79,1023,+0.42
168,0,21949,Joe Ogilvie,7.72,103,1334,+0.55
170,0,10117,Bob Heintz,7.73,87,1126,+0.54
171,0,12660,Jesper Parnevik,7.78,91,1170,+0.41
172,0,20229,Stewart Cink,7.82,81,1036,+0.56
173,0,24449,Parker McLachlin,7.96,88,1105,+0.20
174,0,12716,Charley Hoffman,7.97,101,1268,+0.15
175,0,02036,Jim Rutledge,8.05,62,770,+0.58
176,0,01024,Billy Andrade,8.09,99,1224,+0.39
177,0,24925,Jonathan Byrd,8.25,77,933,+0.34
178,0,07223,Brian Bateman,8.50,56,659,+0.38
178,0,01810,Phil Mickelson,8.50,70,824,+0.19
180,0,23800,Bryce Molder,8.60,65,756,+0.55
181,0,23613,Rich Barcelo,8.62,94,1090,+0.54
182,0,21961,Charles Howell III,8.67,87,1003,+0.30
183,0,27141,J.B. Holmes,8.70,84,966,+0.46
184,0,01473,Todd Hamilton,8.91,82,920,+0.55
185,0,19824,Craig Barlow,8.97,65,725,+0.34
186,0,29476,Kyle Reifers,9.00,87,967,+0.43
187,0,23497,Tag Ridings,9.04,63,697,+0.44
188,0,01577,Lee Janzen,9.19,77,838,+0.42
189,0,23048,Eric Axley,9.38,135,1440,+0.51
190,0,20850,Daniel Chopra,9.44,137,1452,+0.23
191,0,24980,Scott Gutschewski,9.53,84,881,+0.39
192,0,24358,Robert Garrigus,9.56,127,1328,+0.40
193,0,21805,Harrison Frazar,9.67,111,1148,+0.35
194,0,08375,Paul Stankowski,10.18,68,668,+0.41
195,0,25804,Bubba Watson,10.19,105,1030,+0.38
196,0,01249,John Daly,13.59,101,743,+0.49
