RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,10809,Jim Furyk,31' 3",35953.333,1150,Under
2,0,22405,Justin Rose,32' 2",26497.583,823,Under
3,0,01724,Jeff Maggert,32' 3",32858.667,1020,Under
4,0,27770,Camilo Villegas,32' 8",37338.917,1144,Under
5,0,26476,Chez Reavie,32' 9",39213.167,1198,Under
6,0,30926,Chris Kirk,32' 11",47732.417,1451,1 Under
7,0,23621,Rory Sabbatini,33' 0",42458.833,1288,Under
7,0,34046,Jordan Spieth,33' 0",39397.833,1194,1 Under
9,0,20104,Ken Duke,33' 1",44379.167,1343,Over
9,0,06567,Vijay Singh,33' 1",28449.750,861,Over
9,0,02206,David Toms,33' 1",18902.333,572,Over
12,0,24357,K.J. Choi,33' 2",37490.417,1130,Under
12,0,27649,Brandt Snedeker,33' 2",34182.917,1030,Under
12,0,26679,Kevin Stadler,33' 2",40776.917,1231,Under
15,0,22295,Darron Stiles,33' 3",25026.583,753,Over
16,0,27436,Graham DeLaet,33' 4",48457.750,1455,Under
16,0,27214,Kevin Streelman,33' 4",40676.250,1220,Under
18,0,29740,Brad Fritsch,33' 6",40763.083,1216,Under
18,0,24024,Zach Johnson,33' 6",40141.667,1198,Under
18,0,28780,Nicholas Thompson,33' 6",51734.417,1543,Under
18,0,24663,Y.E. Yang,33' 6",24576.000,733,Over
22,0,36884,Ben Kohles,33' 7",37286.083,1109,Over
22,0,25572,Graeme McDowell,33' 7",22177.083,661,Under
22,0,31560,Brian Stuard,33' 7",37986.000,1132,Over
22,0,23623,Bo Van Pelt,33' 7",32440.583,966,Even
26,0,21753,Brian Davis,33' 8",50189.083,1489,Under
26,0,25444,Justin Hicks,33' 8",39860.417,1183,Over
26,0,34409,David Lingmerth,33' 8",34295.750,1019,Under
26,0,23320,Ryan Palmer,33' 8",41702.667,1240,Under
30,0,23638,Brendon de Jonge,33' 9",58731.333,1739,Under
31,0,23135,Tim Clark,33' 10",26083.333,771,Under
31,0,01320,Bob Estes,33' 10",37612.000,1113,Under
31,0,24490,George McNeill,33' 10",38872.333,1148,Under
31,0,06527,Steve Stricker,33' 10",21180.083,626,1 Under
31,0,27095,Nick Watney,33' 10",44302.667,1308,Under
36,0,32200,Roberto Castro,33' 11",50986.083,1504,Under
