RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,28237,Rory McIlroy,26.26,26,99
2,0,27933,John Merrick,25.66,29,113
3,0,36689,Brooks Koepka,23.46,19,81
4,0,26331,Charl Schwartzel,23.40,22,94
5,0,21528,Henrik Stenson,22.92,11,48
6,0,27064,Jhonattan Vegas,22.12,25,113
7,0,26300,Matt Jones,21.93,25,114
8,0,25804,Bubba Watson,21.78,22,101
9,0,28307,Matt Every,21.33,32,150
10,0,20396,Lee Westwood,20.59,14,68
11,0,22371,Aaron Baddeley,20.48,17,83
12,0,32640,Troy Merritt,20.27,15,74
13,0,28259,Sangmoon Bae,20.00,19,95
13,0,30925,Dustin Johnson,20.00,17,85
15,0,25632,Jimmy Walker,19.62,31,158
16,0,25345,Carl Pettersson,19.53,33,169
17,0,21961,Charles Howell III,18.89,41,217
18,0,32334,Charlie Beljan,18.85,23,122
19,0,23320,Ryan Palmer,18.84,26,138
20,0,33418,Shawn Stefani,18.69,20,107
21,0,26289,Boo Weekley,18.67,14,75
22,0,20848,Ángel Cabrera,18.60,24,129
23,0,29535,Brice Garnett,18.46,24,130
24,0,26851,Marc Leishman,18.18,20,110
25,0,23638,Brendon de Jonge,17.88,27,151
26,0,12510,Chad Campbell,17.50,14,80
26,0,32333,Kevin Tway,17.50,14,80
28,0,29461,Jamie Lovemark,17.44,15,86
29,0,27936,Martin Laird,17.35,17,98
30,0,10809,Jim Furyk,17.33,13,75
31,0,24925,Jonathan Byrd,17.27,19,110
31,0,20593,Greg Chalmers,17.27,19,110
31,0,32839,Hideki Matsuyama,17.27,19,110
34,0,24490,George McNeill,17.20,16,93
35,0,29478,Kevin Kisner,17.12,19,111
36,0,28500,Martin Flores,17.05,22,129
37,0,25562,Andres Romero,17.01,25,147
38,0,24138,Ian Poulter,16.92,11,65
39,0,01810,Phil Mickelson,16.83,17,101
40,0,22046,Geoff Ogilvy,16.78,24,143
41,0,25686,Jason Dufner,16.67,11,66
42,0,30944,Jason Kokrak,16.54,22,133
43,0,34264,Hudson Swafford,16.49,16,97
44,0,30750,Tommy Gainey,16.36,18,110
45,0,12716,Charley Hoffman,16.24,19,117
46,0,23135,Tim Clark,16.22,12,74
47,0,21878,Mark Wilson,16.18,11,68
48,0,35732,Wes Roach,16.05,13,81
49,0,25274,Steven Bowditch,16.00,28,175
49,0,24024,Zach Johnson,16.00,20,125
49,0,08075,Jerry Kelly,16.00,16,100
49,0,35300,Andrew Loupe,16.00,16,100
53,0,25396,Kevin Na,15.86,23,145
54,0,33413,Ben Martin,15.69,16,102
55,0,22405,Justin Rose,15.66,13,83
56,0,31193,Jim Renner,15.65,18,115
57,0,22378,Trevor Immelman,15.63,15,96
57,0,24781,Hunter Mahan,15.63,15,96
59,0,01706,Davis Love III,15.50,20,129
60,0,27120,Troy Matteson,15.46,15,97
61,0,34360,Patrick Reed,15.44,23,149
62,0,21209,Sergio Garcia,15.38,10,65
62,0,28475,Jeff Overton,15.38,22,143
64,0,27649,Brandt Snedeker,15.32,17,111
