RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,02192,Steve Thomas,284.6,40697,143
2,0,02133,Craig Stadler,279.5,40531,145
3,0,01876,Greg Norman,279.4,28774,103
4,0,01418,Bill Glasson,278.4,48155,173
5,0,01958,Dan Pohl,277.9,50851,183
6,0,01706,Davis Love III,276.4,49197,178
7,0,01006,John Adams,276.1,35065,127
8,0,01945,Kenny Perry,275.6,55393,201
8,0,02246,Duffy Waldorf,275.6,49063,178
10,0,01161,Mark Calcavecchia,275.5,64469,234
11,0,02041,Bill Sander,275.0,45106,164
11,0,02090,Tom Sieckmann,275.0,42907,156
13,0,01884,Mac O'Grady,274.8,35726,130
14,0,01035,Tommy Armour III,274.0,49860,182
15,0,02101,Joey Sindelar,273.7,60487,221
16,0,01717,Sandy Lyle,273.5,34185,125
17,0,01975,Tom Purtzer,273.4,43464,159
18,0,01156,Curt Byrum,273.2,54103,198
19,0,01191,Barry Cheesman,273.0,38216,140
20,0,01361,Dan Forsman,272.9,66325,243
21,0,01846,Jodie Mudd,272.8,55928,205
22,0,01068,Andy Bean,272.6,28352,104
22,0,01226,Fred Couples,272.6,54510,200
24,0,01385,Jim Gallagher Jr.,272.1,33738,124
24,0,02256,Tom Watson,272.1,35101,129
26,0,01662,Greg Ladehoff,271.9,53012,195
27,0,01444,Ken Green,271.3,51810,191
27,0,01599,Steve Jones,271.3,47208,174
29,0,01096,Phil Blackmar,271.2,40131,148
30,0,02146,Payne Stewart,270.9,55809,206
31,0,01984,Sam Randolph,270.8,41978,155
32,0,01837,Gil Morgan,270.4,40833,151
33,0,01143,Brad Bryant,270.2,42424,157
34,0,01072,Chip Beck,270.1,49969,185
34,0,01414,Bob Gilder,270.1,48897,181
34,0,01926,Steve Pate,270.1,56451,209
34,0,02033,Dave Rummells,270.1,60231,223
38,0,01475,Donnie Hammond,269.7,53949,200
39,0,02049,Gene Sauers,269.4,54426,202
40,0,01261,Jay Delsing,269.2,41730,155
41,0,01553,John Huston,269.1,50320,187
41,0,02148,Ray Stewart,269.1,49788,185
43,0,01723,Andrew Magee,268.8,49465,184
44,0,01725,John Mahaffey,268.7,54814,204
45,0,02223,Bob Tway,268.5,57720,215
46,0,01783,Mark McCumber,268.4,42950,160
47,0,01549,Mike Hulbert,268.0,59500,222
48,0,02215,Paul Trittler,267.8,33476,125
49,0,02303,Robert Wrenn,267.7,54877,205
50,0,02241,Bobby Wadkins,267.6,60206,225
50,0,02321,Fuzzy Zoeller,267.6,41205,154
52,0,01151,Clark Burroughs,267.3,45166,169
52,0,02239,Scott Verplank,267.3,51330,192
54,0,01986,Joey Rassett,266.9,36299,136
55,0,01378,David Frost,266.8,45631,171
55,0,01771,Blaine McCallister,266.8,58964,221
57,0,01042,Paul Azinger,266.6,48788,183
57,0,01571,Barry Jaeckel,266.6,40786,153
59,0,02023,Clarence Rose,266.5,60485,227
60,0,01093,Ronnie Black,266.4,45025,169
60,0,01098,Jay Don Blake,266.4,58084,218
60,0,01941,Tom Pernice Jr.,266.4,45814,172
63,0,01310,Dave Eichelberger,266.3,48205,181
64,0,02244,Fred Wadsworth,266.2,36740,138
65,0,02185,Lance Ten Broeck,266.1,41243,155
66,0,02167,Mike Sullivan,265.9,48654,183
67,0,01175,Jim Carter,265.7,51006,192
67,0,02186,Brian Tennyson,265.7,50743,191
69,0,01425,Ernie Gonzalez,265.6,41434,156
69,0,01968,Nick Price,265.6,44358,167
71,0,01060,Dave Barr,265.5,49914,188
71,0,01970,Bob Proben,265.5,41149,155
73,0,01715,Mark Lye,265.4,49890,188
74,0,06284,Jim Hallet,265.3,58094,219
75,0,02195,Leonard Thompson,265.1,54081,204
76,0,01569,Peter Jacobsen,264.9,46621,176
77,0,02255,Denis Watson,264.8,39195,148
78,0,01690,Bruce Lietzke,264.7,46066,174
78,0,02225,Howard Twitty,264.7,56904,215
80,0,01736,Roger Maltbie,264.4,43888,166
80,0,01797,Rocco Mediate,264.4,55783,211
80,0,01858,Tommy Nakajima,264.4,28550,108
83,0,01133,Billy Ray Brown,264.2,50984,193
83,0,01203,Russ Cochran,264.2,55489,210
83,0,01887,Mark O'Meara,264.2,47560,180
86,0,01864,Larry Nelson,264.1,35914,136
86,0,02313,Bruce Zabriski,264.1,40939,155
88,0,01468,Gary Hallberg,264.0,33533,127
89,0,01469,Dan Halldorson,263.8,51178,194
90,0,01938,David Peoples,263.6,50882,193
91,0,01329,Brad Faxon,263.5,47430,180
92,0,01639,Kenny Knox,263.4,59520,226
93,0,01197,Bobby Clampett,263.2,46580,177
94,0,02126,Bruce Soulsby,263.0,29721,113
95,0,01641,Gary Koch,262.9,41532,158
96,0,01288,Ed Dougherty,262.8,47558,181
97,0,01235,Ben Crenshaw,262.6,51478,196
98,0,01201,Lennie Clements,262.4,57725,220
98,0,01323,Brad Fabel,262.4,51952,198
98,0,01737,Mark Maness,262.4,30702,117
101,0,01094,Mike Blackburn,262.3,42231,161
101,0,02170,Hal Sutton,262.3,45899,175
103,0,02007,Larry Rinker,262.2,51923,198
104,0,01499,Mark Hayes,262.1,52938,202
105,0,01390,Buddy Gardner,262.0,59741,228
106,0,01200,Keith Clearwater,261.9,44260,169
107,0,01135,Ken Brown,261.7,34540,132
108,0,02104,Jeff Sluman,261.6,62774,240
108,0,02279,Mark Wiebe,261.6,60159,230
110,0,01971,Dillard Pruitt,261.4,43907,168
110,0,02118,J.C. Snead,261.4,42089,161
112,0,02100,Tim Simpson,261.3,52519,201
113,0,01355,Raymond Floyd,261.1,34989,134
114,0,01127,Danny Briggs,260.9,30526,117
114,0,01964,Greg Powers,260.9,29748,114
116,0,01826,Brian Mogg,260.7,34667,133
117,0,01086,Roy Biancalana,260.6,36478,140
117,0,01755,Dick Mast,260.6,52118,200
119,0,01701,Bob Lohr,260.5,57320,220
120,0,02180,Harry Taylor,260.3,28368,109
121,0,01861,Jim Nelford,260.2,35131,135
122,0,01150,George Burns,260.1,28614,110
122,0,01457,Jay Haas,260.1,51767,199
124,0,01313,Steve Elkington,259.9,47819,184
124,0,01943,Chris Perry,259.9,54052,208
126,0,01077,Mike Bender,259.7,40252,155
126,0,01331,Rick Fehr,259.7,39993,154
128,0,01707,Steve Lowery,259.6,50628,195
129,0,01303,Bob Eastwood,259.5,49039,189
130,0,01633,Tom Kite,259.4,43837,169
130,0,01648,Billy Kratzert,259.4,45387,175
132,0,01024,Billy Andrade,259.1,49756,192
133,0,01284,Mike Donald,258.8,56421,218
134,0,01435,Wayne Grady,258.7,34413,133
135,0,01682,Wayne Levi,258.6,41121,159
136,0,01132,Mark Brooks,258.5,49892,193
136,0,02229,Brett Upper,258.5,40067,155
138,0,01527,Scott Hoch,258.2,56799,220
139,0,01033,George Archer,258.0,48512,188
139,0,01185,Brandel Chamblee,258.0,37409,145
139,0,01224,Jeff Coston,258.0,34315,133
142,0,02159,Curtis Strange,257.9,45141,175
143,0,02190,Doug Tewell,257.8,39451,153
