RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,23614,Rich Beem,75.00,3,4,-0.333
1,0,12782,Tim Herron,75.00,3,4,-0.333
3,0,01249,John Daly,66.67,16,24,-0.375
4,0,21633,Steve Allan,50.00,6,12,-0.333
4,0,01927,Dennis Paulson,50.00,2,4,-0.500
6,0,08793,Tiger Woods,45.83,22,48,-0.136
7,0,21209,Sergio Garcia,41.03,16,39,-0.313
8,0,24604,Hunter Haas,40.00,4,10,+0.250
9,0,21806,Paul Gow,37.50,6,16,E
9,0,08057,Brian Wilson,37.50,12,32,-0.417
11,0,23621,Rory Sabbatini,36.84,21,57,-0.190
12,0,06514,Kevin Johnson,36.36,4,11,-0.750
12,0,22046,Geoff Ogilvy,36.36,8,22,-0.125
14,0,06595,Kevin Sutherland,35.56,16,45,-0.375
15,0,12645,Brent Geiberger,34.29,12,35,-0.167
16,0,24357,K.J. Choi,33.33,4,12,E
16,0,22051,Ben Ferguson,33.33,4,12,+0.250
16,0,22892,Jason Gore,33.33,7,21,-0.286
16,0,12705,Cliff Kresge,33.33,4,12,+0.500
16,0,01943,Chris Perry,33.33,4,12,E
16,0,02279,Mark Wiebe,33.33,1,3,E
22,0,01945,Kenny Perry,32.86,23,70,-0.174
23,0,06527,Steve Stricker,32.14,9,28,+0.444
24,0,10885,Robert Allenby,31.67,19,60,-0.211
25,0,01920,Craig Parry,31.58,6,19,E
26,0,06034,Marco Dawson,30.77,8,26,-0.125
26,0,06522,Ernie Els,30.77,12,39,-0.250
28,0,02106,Chris Smith,30.43,7,23,-0.286
28,0,20566,Kaname Yokoo,30.43,14,46,-0.429
30,0,01200,Keith Clearwater,30.00,3,10,-0.333
30,0,01685,J.L. Lewis,30.00,15,50,-0.067
30,0,06613,Tommy Tolles,30.00,3,10,E
33,0,09011,David Duval,28.85,15,52,-0.267
34,0,06350,Bob May,28.57,6,21,+0.167
35,0,06004,Stephen Ames,27.27,9,33,+0.111
