RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,39977,Max Homa,477,Sentry,3,7,656
2,0,57366,Cameron Young,470,Sentry,3,7,656
3,0,25900,Lucas Glover,465,Sentry,3,7,656
4,0,49947,Taylor Moore,464,Sentry,3,7,656
5,0,34099,Harris English,463,Sentry,3,7,656
6,0,51634,Sahith Theegala,452,Sentry,3,7,656
7,0,50525,Collin Morikawa,451,Sentry,3,18,656
8,0,58168,Davis Thompson,444,Valero,4,4,770
9,0,34256,Andrew Putnam,443,Sentry,3,7,656
10,0,47347,Adam Schenk,441,Sentry,3,18,656
11,0,56630,Akshay Bhatia,440,Sentry,3,7,656
12,0,52955,Ludvig Åberg,437,Sentry,3,18,656
13,0,47504,Sam Burns,436,BMW Championship,3,9,406
14,0,33948,Byeong Hun An,434,Sentry,2,6,656
15,0,48117,Kurt Kitayama,431,Sentry,3,12,656
15,0,30927,Brendon Todd,431,Sentry,3,7,656
17,0,46717,Viktor Hovland,430,Sentry,3,12,656
18,0,39067,MJ Daffue,429,ISCO Championship,4,5,884
18,0,46046,Scottie Scheffler,429,Sentry,3,12,656
20,0,33399,Adam Hadwin,428,Sentry,1,6,656
20,0,30926,Chris Kirk,428,Sentry,3,12,656
20,0,47993,Denny McCarthy,428,Sentry,3,7,656
20,0,28252,Seamus Power,428,Sentry,3,7,656
20,0,36699,Patrick Rodgers,428,Sentry,2,6,656
20,0,48081,Xander Schauffele,428,Sentry,1,7,656
26,0,39997,Corey Conners,427,Sentry,3,7,656
26,0,45157,Cam Davis,427,Sentry,3,18,656
26,0,31646,Emiliano Grillo,427,Sentry,3,18,656
26,0,39971,Sungjae Im,427,Sentry,3,7,656
30,0,29725,Tony Finau,426,Sentry,3,12,656
30,0,24502,Adam Scott,426,BMW Championship,1,10,406
30,0,48887,Matt Wallace,426,Sentry,3,12,656
33,0,34098,Russell Henley,425,Sentry,3,7,656
33,0,27770,Camilo Villegas,425,Sentry,3,18,656
35,0,51766,Wyndham Clark,424,Sentry,3,7,656
35,0,54422,Christo Lamprecht,424,Shriners Children's Open,2,13,538
37,0,33141,Keegan Bradley,423,Sentry,3,7,656
37,0,28237,Rory McIlroy,423,BMW Championship,3,18,406
37,0,40115,Adam Svensson,423,Sentry,3,7,656
40,0,30911,Tommy Fleetwood,422,Sentry,1,18,656
40,0,55182,Tom Kim,422,Sentry,3,18,656
42,0,37212,Paul Barjon,421,Shriners Children's Open,2,4,538
42,0,27129,Luke List,421,Sentry,2,6,656
42,0,47995,Davis Riley,421,Sentry,1,7,656
42,0,27064,Jhonattan Vegas,421,Shriners Children's Open,2,4,538
42,0,31323,Gary Woodland,421,Charles Schwab,4,7,021
47,0,40250,Taylor Pendrith,420,Valero,1,11,770
47,0,46340,Alex Smalley,420,Shriners Children's Open,2,4,538
47,0,51894,Vince Whaley,420,Shriners Children's Open,2,4,538
50,0,35450,Patrick Cantlay,418,Sentry,3,18,656
50,0,59836,Pierceson Coody,418,ISCO Championship,4,5,884
50,0,54628,Lee Hodges,418,Sentry,3,18,656
53,0,28089,Jason Day,417,Sentry,3,7,656
54,0,51349,Nico Echavarria,415,Sentry,3,7,656
54,0,46442,Maverick McNealy,415,Shriners Children's Open,2,4,538
54,0,40006,Erik van Rooyen,415,Sentry,3,7,656
57,0,40098,Matt Fitzpatrick,413,Sentry,1,6,656
57,0,65994,Joe Sullivan,413,Valero,2,18,770
59,0,52514,Trace Crowe,412,Shriners Children's Open,3,4,538
59,0,49771,J.T. Poston,412,Sentry,2,18,656
61,0,32070,Rafael Campos,411,Shriners Children's Open,1,4,538
61,0,32366,Kevin Chappell,411,Procore,4,6,926
61,0,32102,Rickie Fowler,411,Sentry,1,7,656
61,0,60767,Blaine Hale Jr.,411,Shriners Children's Open,2,4,538
61,0,46113,Ryan McCormick,411,ISCO Championship,4,5,884
66,0,47988,Nick Hardy,410,Sentry,3,18,656
66,0,39324,J.J. Spaun,410,Shriners Children's Open,2,4,538
66,0,25493,Nick Taylor,410,Sentry,1,12,656
69,0,59095,Chris Gotterup,409,Shriners Children's Open,2,4,538
69,0,33204,Shane Lowry,409,BMW Championship,1,14,406
69,0,32839,Hideki Matsuyama,409,Sentry,1,7,656
69,0,51070,Vincent Norrman,409,Sentry,1,18,656
69,0,46414,Aaron Rai,409,BMW Championship,1,14,406
69,0,33448,Justin Thomas,409,BMW Championship,4,1,406
75,0,51977,Max Greyserman,408,BMW Championship,1,1,406
75,0,34363,Tyrrell Hatton,408,Sentry,3,12,656
75,0,51696,Rico Hoey,408,Houston Open,2,3,897
75,0,49960,Sepp Straka,408,Sentry,1,18,656
79,0,47591,Eric Cole,407,Sentry,2,18,656
79,0,60067,Joe Highsmith,407,Valero,4,4,770
79,0,35461,Beau Hossler,407,Shriners Children's Open,2,4,538
79,0,30163,Henrik Norlander,407,Shriners Children's Open,2,4,538
79,0,34046,Jordan Spieth,407,Sentry,1,7,656
84,0,56149,Wilson Furr,406,Shriners Children's Open,3,4,538
84,0,52453,Nicolai Højgaard,406,Valero,3,18,770
84,0,22405,Justin Rose,406,Sentry,1,18,656
84,0,47483,Will Zalatoris,406,BMW Championship,1,10,406
88,0,52372,Cameron Champ,405,Valero,1,18,770
88,0,59866,Nick Dunlap,405,BMW Championship,1,10,406
88,0,56762,Will Gordon,405,Black Desert,1,11,930
88,0,27644,Brian Harman,405,BMW Championship,1,10,406
88,0,37455,Si Woo Kim,405,Sentry,3,7,656
88,0,51997,Andrew Novak,405,Shriners Children's Open,2,4,538
88,0,48153,Matthieu Pavon,405,BMW Championship,4,1,406
88,0,55454,Carl Yuan,405,Black Desert,1,7,930
96,0,66743,Luke Clanton,404,ISCO Championship,4,5,884
96,0,57975,Harry Hall,404,ISCO Championship,4,5,884
96,0,32757,Patton Kizzire,404,ISCO Championship,4,5,884
99,0,45609,Tyler Duncan,403,Shriners Children's Open,3,4,538
100,0,29420,Billy Horschel,402,BMW Championship,4,10,406
100,0,37378,Min Woo Lee,402,ZOZO CHAMPIONSHIP,1,12,875
100,0,36326,David Lipsky,402,Shriners Children's Open,3,4,538
100,0,39546,Keith Mitchell,402,Shriners Children's Open,1,2,538
100,0,32333,Kevin Tway,402,Charles Schwab,4,11,021
105,0,35506,Mackenzie Hughes,401,Sentry,2,18,656
105,0,35314,Andy Sullivan,401,ISCO Championship,4,5,884
105,0,57364,Michael Thorbjornsen,401,ISCO Championship,2,5,884
108,0,34310,Alexander Björk,400,Shriners Children's Open,2,4,538
108,0,54591,Ben Griffin,400,Sony Open,1,15,006
110,0,60369,Sam Bairstow,399,ISCO Championship,4,5,884
110,0,36799,Stephan Jaeger,399,BMW Championship,1,14,406
110,0,34466,Peter Malnati,399,Shriners Children's Open,2,4,538
113,0,38991,Alejandro Tosti,398,Black Desert,1,7,930
113,0,45242,Kevin Yu,398,Corales Puntacana,1,12,244
115,0,34255,Joseph Bramlett,397,Shriners Children's Open,3,4,538
115,0,35310,Lanto Griffin,397,Shriners Children's Open,1,4,538
115,0,35532,Tom Hoge,397,Sentry,3,12,656
115,0,34587,Chan Kim,397,Sanderson Farms,4,18,746
119,0,48084,Wesley Bryan,396,Black Desert,3,7,930
119,0,47663,Kevin Dougherty,396,Black Desert,1,18,930
119,0,29936,Ryan Fox,396,Shriners Children's Open,1,2,538
119,0,54421,Garrick Higgo,396,Shriners Children's Open,2,1,538
123,0,65426,Caden Fioroni,395,Shriners Children's Open,2,4,538
123,0,36871,Matt NeSmith,395,ISCO Championship,3,5,884
125,0,28420,Ryan Brehm,394,Myrtle Beach,2,16,925
125,0,54370,Erik Matthewson,394,Shriners Children's Open,2,13,538
125,0,29289,S.Y. Noh,394,ISCO Championship,4,5,884
125,0,55893,Sam Stevens,394,Shriners Children's Open,1,2,538
125,0,48319,Tom Whitney,394,Shriners Children's Open,2,1,538
130,0,59141,Matt McCarty,393,Shriners Children's Open,2,4,538
130,0,46601,Trey Mullinax,393,Shriners Children's Open,2,4,538
130,0,29221,Webb Simpson,393,Shriners Children's Open,2,4,538
133,0,57321,Matthew Anderson,392,RBC Canadian,1,14,874
133,0,33653,Thomas Detry,392,BMW Championship,1,10,406
133,0,39975,Michael Kim,392,Shriners Children's Open,2,1,538
133,0,55940,Andrew Wilson,392,ISCO Championship,3,5,884
137,0,32686,Takahiro Hataji,390,ZOZO CHAMPIONSHIP,3,12,875
138,0,54576,Patrick Fishburn,389,Houston Open,2,16,897
138,0,52375,Doug Ghim,389,Shriners Children's Open,1,11,538
140,0,25198,Francesco Molinari,388,Shriners Children's Open,2,4,538
141,0,60004,Jacob Bridgeman,387,Black Desert,4,11,930
141,0,59497,Jake Lane,387,RBC Canadian,1,17,874
141,0,27214,Kevin Streelman,387,Shriners Children's Open,2,4,538
144,0,45522,Christiaan Bezuidenhout,386,BMW Championship,3,10,406
144,0,57362,Austin Eckroat,386,BMW Championship,1,1,406
144,0,24980,Scott Gutschewski,386,Sanderson Farms,2,18,746
144,0,34563,Chesson Hadley,386,Black Desert,1,7,930
144,0,55955,Matthew Jordan,386,The Open,2,2,709
144,0,32791,K.H. Lee,386,Shriners Children's Open,2,4,538
144,0,27349,Alex Noren,386,BMW Championship,4,1,406
144,0,25632,Jimmy Walker,386,Valero,2,9,770
152,0,57330,Matthis Besard,385,ISCO Championship,3,5,884
152,0,40162,Justin Lower,385,Shriners Children's Open,2,4,538
152,0,32640,Troy Merritt,385,Black Desert,1,11,930
155,0,33408,Tyson Alexander,384,Black Desert,2,11,930
155,0,12716,Charley Hoffman,384,Shriners Children's Open,2,13,538
155,0,50188,S.H. Kim,384,ZOZO CHAMPIONSHIP,1,12,875
155,0,54813,Philip Knowles,384,Black Desert,2,11,930
155,0,48699,Callum Tarren,384,Black Desert,2,18,930
160,0,64594,Angel Hidalgo Portillo,383,ISCO Championship,4,5,884
160,0,34431,Robert Streb,383,Sony Open,1,10,006
162,0,24494,Erik Compton,382,Corales Puntacana,2,12,244
162,0,25818,Scott Piercy,382,Shriners Children's Open,2,4,538
162,0,50484,Hayden Springer,382,Shriners Children's Open,2,4,538
165,0,37446,Jacques Kruyswijk,381,ISCO Championship,4,4,884
