RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER TEE SHOT,TOTAL TEE SHOTS
1,0,25804,Bubba Watson,156.8,4020159.000,712
2,0,30925,Dustin Johnson,157.1,4919124.000,870
3,0,27141,J.B. Holmes,157.8,4778361.000,841
4,0,35300,Andrew Loupe,159.7,5215650.000,907
5,0,29725,Tony Finau,162.3,6230031.000,1066
6,0,36689,Brooks Koepka,163.3,4898020.000,833
7,0,28237,Rory McIlroy,163.4,3918058.000,666
8,0,36699,Patrick Rodgers,164.3,5760934.000,974
9,0,27129,Luke List,164.6,5272404.000,890
10,0,24358,Robert Garrigus,165.1,4493401.000,756
11,0,23320,Ryan Palmer,165.5,6429085.000,1079
12,0,28089,Jason Day,165.6,4447288.000,746
13,0,46440,Smylie Kaufman,166.7,5953278.000,992
13,0,29461,Jamie Lovemark,166.7,6806550.000,1134
13,0,33448,Justin Thomas,166.7,6138242.000,1023
16,0,30944,Jason Kokrak,166.9,6189866.000,1030
17,0,24140,Sean O'Hair,167.0,6942435.000,1155
18,0,32618,Rhein Gibson,167.3,3632592.000,603
19,0,34264,Hudson Swafford,167.9,7586287.000,1255
20,0,33410,Andrew Landry,168.0,2763369.000,457
21,0,35451,Scott Pinckney,168.2,5963427.000,985
21,0,24502,Adam Scott,168.2,4697979.000,776
23,0,25632,Jimmy Walker,168.6,5948153.000,980
24,0,31323,Gary Woodland,168.9,6488654.000,1067
25,0,37273,Derek Ernst,169.2,3611616.000,593
25,0,32102,Rickie Fowler,169.2,5410217.000,888
27,0,20691,Greg Owen,169.5,5815448.000,953
27,0,25818,Scott Piercy,169.5,5474711.000,897
29,0,20229,Stewart Cink,169.7,4092847.000,670
29,0,33667,Carlos Ortiz,169.7,5033769.000,824
31,0,21961,Charles Howell III,169.9,6628940.000,1084
32,0,27064,Jhonattan Vegas,170.1,6864736.000,1121
33,0,34098,Russell Henley,170.7,5812124.000,946
33,0,37189,Harold Varner III,170.7,6792043.000,1105
35,0,28158,Steve Marino,170.9,4731270.000,769
36,0,37455,Si Woo Kim,171.2,8429274.000,1368
36,0,28114,Dawie van der Walt,171.2,4763671.000,773
