RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,27649,Brandt Snedeker,102.40,876,42,855
2,0,26329,Louis Oosthuizen,102.29,699,27,688
3,0,23541,Ben Crane,102.21,859,50,828
4,0,31202,William McGirt,101.79,1115,45,1090
5,0,20623,Gavin Coles,101.78,786,31,769
6,0,27797,Derek Lamely,101.42,772,35,748
7,0,27895,Jonas Blixt,101.38,867,33,846
8,0,22621,Ben Curtis,101.34,672,27,654
9,0,01810,Phil Mickelson,101.33,830,34,807
10,0,24138,Ian Poulter,101.30,538,16,529
11,0,23623,Bo Van Pelt,101.26,870,26,855
12,0,23983,Luke Donald,101.22,657,22,643
13,0,08793,Tiger Woods,101.17,682,28,662
14,0,28500,Martin Flores,101.16,1124,46,1091
14,0,21209,Sergio Garcia,101.16,606,16,597
16,0,23108,Matt Kuchar,100.97,932,35,906
17,0,26951,Johnson Wagner,100.86,1044,36,1017
18,0,28089,Jason Day,100.77,648,21,632
18,0,29221,Webb Simpson,100.77,910,39,878
20,0,23409,James Driscoll,100.71,992,40,959
20,0,27644,Brian Harman,100.71,1266,52,1223
22,0,19846,Brian Gay,100.65,1080,30,1057
22,0,26758,David Hearn,100.65,1224,40,1192
24,0,33141,Keegan Bradley,100.61,989,37,958
25,0,34174,John Huh,100.59,1196,41,1162
26,0,20593,Greg Chalmers,100.58,1038,29,1015
27,0,32150,Michael Thompson,100.56,899,34,870
28,0,25686,Jason Dufner,100.55,911,40,876
29,0,25818,Scott Piercy,100.50,1190,44,1152
30,0,24940,Edward Loar,100.49,608,20,591
30,0,29289,S.Y. Noh,100.49,1223,41,1188
32,0,23638,Brendon de Jonge,100.48,1444,57,1394
33,0,28475,Jeff Overton,100.46,1299,43,1262
34,0,23320,Ryan Palmer,100.41,981,31,954
35,0,24502,Adam Scott,100.34,588,26,564
36,0,10809,Jim Furyk,100.32,924,18,909
36,0,24781,Hunter Mahan,100.32,939,30,912
38,0,06573,Brandt Jobe,100.31,648,21,629
39,0,24490,George McNeill,100.30,1004,38,969
39,0,27064,Jhonattan Vegas,100.30,990,36,957
41,0,29420,Billy Horschel,100.29,699,27,674
41,0,20160,Charlie Wi,100.29,1030,38,995
43,0,23135,Tim Clark,100.28,706,25,683
44,0,27936,Martin Laird,100.27,749,19,732
45,0,20229,Stewart Cink,100.26,779,30,751
46,0,24925,Jonathan Byrd,100.25,797,30,769
47,0,30750,Tommy Gainey,100.24,1265,52,1216
48,0,30927,Brendon Todd,100.23,878,31,849
49,0,01249,John Daly,100.20,510,17,494
49,0,23800,Bryce Molder,100.20,989,34,957
51,0,30852,Ryo Ishikawa,100.19,537,16,522
52,0,28308,Troy Kelly,100.13,742,33,710
53,0,24024,Zach Johnson,100.10,1026,32,995
54,0,27141,J.B. Holmes,100.09,1141,40,1102
54,0,25345,Carl Pettersson,100.09,1115,29,1087
56,0,20104,Ken Duke,100.00,1266,50,1216
56,0,08725,Tom Gillis,100.00,966,30,936
56,0,29222,Billy Hurley III,100.00,793,22,771
