RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,30925,Dustin Johnson,67.48,1687,25
2,0,33448,Justin Thomas,68.82,2271,33
3,0,46970,Jon Rahm,68.89,1860,27
4,0,32102,Rickie Fowler,68.96,1793,26
5,0,30911,Tommy Fleetwood,68.97,2000,29
6,0,36689,Brooks Koepka,69.14,2005,29
7,0,24024,Zach Johnson,69.19,2906,42
8,0,22405,Justin Rose,69.22,1592,23
9,0,29221,Webb Simpson,69.23,2700,39
10,0,29725,Tony Finau,69.27,2840,41
11,0,21528,Henrik Stenson,69.29,1663,24
12,0,08793,Tiger Woods,69.31,1802,26
13,0,28089,Jason Day,69.32,1941,28
14,0,47993,Denny McCarthy,69.36,1942,28
15,0,32839,Hideki Matsuyama,69.39,2498,36
16,0,34046,Jordan Spieth,69.42,2638,38
17,0,47959,Bryson DeChambeau,69.47,3265,47
18,0,28252,Seamus Power,69.48,2918,42
19,0,25364,Paul Casey,69.50,2641,38
20,0,29420,Billy Horschel,69.53,2503,36
21,0,35450,Patrick Cantlay,69.54,2434,35
22,0,29908,C.T. Pan,69.55,3408,49
23,0,27129,Luke List,69.60,2923,42
24,0,31323,Gary Woodland,69.71,2858,41
25,0,20472,Alex Cejka,69.76,2930,42
25,0,34174,John Huh,69.76,3418,49
25,0,32150,Michael Thompson,69.76,2023,29
28,0,25396,Kevin Na,69.77,3070,44
29,0,29268,Bronson Burgoon,69.84,2584,37
29,0,30944,Jason Kokrak,69.84,3841,55
29,0,24781,Hunter Mahan,69.84,2235,32
32,0,27649,Brandt Snedeker,69.85,2794,40
33,0,27349,Alex Noren,69.87,2096,30
33,0,23621,Rory Sabbatini,69.87,3214,46
35,0,25818,Scott Piercy,69.88,2865,41
36,0,26951,Johnson Wagner,69.89,2656,38
37,0,21961,Charles Howell III,69.94,3497,50
38,0,26499,Rafa Cabrera Bello,69.97,2239,32
38,0,23108,Matt Kuchar,69.97,2449,35
40,0,35421,Brandon Harkins,69.98,3709,53
40,0,35461,Beau Hossler,69.98,3079,44
40,0,34466,Peter Malnati,69.98,3289,47
43,0,19846,Brian Gay,70.00,3430,49
43,0,23320,Ryan Palmer,70.00,1960,28
43,0,29223,Sam Saunders,70.00,2660,38
46,0,29484,Peter Uihlein,70.02,2941,42
47,0,34363,Tyrrell Hatton,70.04,1891,27
48,0,35532,Tom Hoge,70.06,3433,49
48,0,25493,Nick Taylor,70.06,3293,47
50,0,40026,Daniel Berger,70.07,3013,43
50,0,32448,James Hahn,70.07,3153,45
50,0,26476,Chez Reavie,70.07,3153,45
53,0,39997,Corey Conners,70.08,3644,52
53,0,23325,Vaughn Taylor,70.08,2803,40
55,0,46435,Austin Cook,70.09,4556,65
56,0,29478,Kevin Kisner,70.14,2525,36
57,0,25198,Francesco Molinari,70.15,2385,34
58,0,27095,Nick Watney,70.16,3859,55
59,0,35545,Blayne Barber,70.17,2526,36
59,0,28775,Nate Lashley,70.17,1614,23
61,0,40058,Zac Blair,70.19,2176,31
62,0,20229,Stewart Cink,70.21,3019,43
63,0,22056,Cameron Percy,70.22,1896,27
64,0,26851,Marc Leishman,70.23,3020,43
64,0,28237,Rory McIlroy,70.23,1826,26
64,0,01810,Phil Mickelson,70.23,3090,44
67,0,32757,Patton Kizzire,70.25,3653,52
68,0,26300,Matt Jones,70.26,2178,31
68,0,32333,Kevin Tway,70.26,3794,54
70,0,25804,Bubba Watson,70.27,2600,37
71,0,31560,Brian Stuard,70.28,3303,47
72,0,27936,Martin Laird,70.29,2179,31
72,0,46501,Ollie Schniederjans,70.29,3374,48
74,0,34256,Andrew Putnam,70.30,3093,44
75,0,39546,Keith Mitchell,70.31,3656,52
75,0,30692,Scott Stallings,70.31,2953,42
75,0,30110,Kyle Stanley,70.31,2531,36
78,0,49771,J.T. Poston,70.32,2391,34
79,0,19803,Ryan Armour,70.33,4079,58
79,0,24846,Ricky Barnes,70.33,2110,30
79,0,29974,Branden Grace,70.33,2532,36
82,0,12716,Charley Hoffman,70.34,2673,38
82,0,34409,David Lingmerth,70.34,3095,44
82,0,39324,J.J. Spaun,70.34,3095,44
85,0,22371,Aaron Baddeley,70.36,2955,42
85,0,24358,Robert Garrigus,70.36,2744,39
85,0,31646,Emiliano Grillo,70.36,3166,45
85,0,49964,Aaron Wise,70.36,3096,44
89,0,33948,Byeong Hun An,70.37,3237,46
89,0,34076,Joel Dahmen,70.37,2674,38
89,0,26758,David Hearn,70.37,2111,30
89,0,37278,Nicholas Lindheim,70.37,2674,38
89,0,29461,Jamie Lovemark,70.37,3237,46
94,0,26329,Louis Oosthuizen,70.38,1478,21
95,0,32640,Troy Merritt,70.39,3238,46
96,0,37275,Sam Ryder,70.41,2887,41
97,0,30926,Chris Kirk,70.42,4014,57
97,0,24361,Pat Perez,70.42,2535,36
97,0,35891,Cameron Smith,70.42,2676,38
97,0,27214,Kevin Streelman,70.42,3521,50
101,0,40009,Dominic Bozzelli,70.43,2465,35
101,0,33410,Andrew Landry,70.43,2958,42
103,0,35310,Lanto Griffin,70.44,2747,39
103,0,24138,Ian Poulter,70.44,2254,32
105,0,10809,Jim Furyk,70.46,1691,24
105,0,33399,Adam Hadwin,70.46,3664,52
