"playerId","tourCode","events","wins","winsTitle","internationalWins","majorWins","cutsMade","runnerUp","second","third","top10","top25","officialMoney"
"29289","R","242","1","PGA TOUR WINS","2","","147/242","","","1","13","43","$8,086,211"
"24511","R","70","","PGA TOUR WINS","19","","45/70","","","","3","8","$650,556"
"13398","R","130","","PGA TOUR WINS","0","","123/130","","","1","10","51","$16,836"
"35300","R","95","","PGA TOUR WINS","0","","34/95","","","1","7","11","$2,102,211"
"19795","R","26","","PGA TOUR WINS","0","","5/26","","","","","","$59,553"
"30944","R","277","3","PGA TOUR WINS","0","","184/277","3","3","3","33","90","$20,437,410"
"37278","R","86","","PGA TOUR WINS","0","","34/86","","","","1","6","$1,274,153"
"46442","R","142","1","PGA TOUR WINS","0","","100/142","2","2","1","18","43","$12,192,800"
"01063","R","122","","PGA TOUR WINS","0","","65/122","","","","3","13","$882,422"
"01599","R","449","8","PGA TOUR WINS","0","","279/449","3","3","3","44","116","$6,519,451"
"23542","R","30","","PGA TOUR WINS","0","","11/30","","","","","","$107,266"
"54185","R","1","","PGA TOUR WINS","2","","","","","","","",""
"01960","R","544","2","PGA TOUR WINS","0","","354/544","6","6","7","80","162","$3,296,615"
"05470","R","137","","PGA TOUR WINS","0","","101/137","","","","3","22","$25,701"
"05535","R","90","","PGA TOUR WINS","0","","54/90","1","1","","3","12","$10,983"
"01825","R","26","","PGA TOUR WINS","0","","5/26","","","","","","$4,854"
"46507","R","34","","PGA TOUR WINS","0","","10/34","","","","1","1","$412,892"
"60065","R","4","","PGA TOUR WINS","0","","1/4","","","","","1","$68,020"
"01576","R","526","10","PGA TOUR WINS","0","","465/526","17","17","17","145","286","$1,140,925"
"06319","R","50","","PGA TOUR WINS","0","","22/50","1","1","","3","5","$15,455"
"54869","R","8","","PGA TOUR WINS","0","","3/8","","","","","","$86,548"
"16964","R","118","","PGA TOUR WINS","0","","103/118","","","","7","27","$14,665"
"20505","R","26","","PGA TOUR WINS","0","","6/26","","","","","","$15,707"
"28135","R","40","","PGA TOUR WINS","0","","10/40","","","","2","3","$600,433"
"01258","R","39","","PGA TOUR WINS","0","","4/39","","","","","","$4,292"
"18583","R","10","3","PGA TOUR WINS","0","","9/10","2","2","","7","9",""
"07363","R","152","","PGA TOUR WINS","0","","54/152","","","","2","10","$1,278,048"
"13770","R","28","","PGA TOUR WINS","0","","23/28","","","","2","15","$275"
"02161","R","37","","PGA TOUR WINS","0","","15/37","","","","","","$4,921"
"28420","R","146","1","PGA TOUR WINS","0","","60/146","","","1","2","11","$2,731,195"
"06088","R","90","","PGA TOUR WINS","0","","37/90","","","","1","4","$164,203"
"06122","R","58","","PGA TOUR WINS","0","","14/58","","","","","2","$57,869"
"11034","R","61","","PGA TOUR WINS","0","","46/61","","","","7","11","$43,375"
"05427","R","28","","PGA TOUR WINS","0","","13/28","","","","","","$195"
"21528","R","241","6","PGA TOUR WINS","14","","175/241","10","10","10","48","102","$32,224,921"
"11937","R","29","","PGA TOUR WINS","0","","17/29","","","","","2","$826"
"27556","R","192","2","PGA TOUR WINS","0","","81/192","","","","8","24","$6,194,109"
"46045","R","5","","PGA TOUR WINS","0","","1/5","","","","","","$10,180"
"23903","R","61","","PGA TOUR WINS","0","","22/61","","","","","3","$342,187"
"52513","R","66","","PGA TOUR WINS","0","","34/66","1","1","1","5","14","$3,645,338"
"50484","R","30","","PGA TOUR WINS","0","","13/30","","","1","4","4","$1,149,279"
"46550","R","129","","PGA TOUR WINS","0","","57/129","1","1","","4","18","$3,295,457"
"56100","R","1","","PGA TOUR WINS","2","","1/1","","","","","1","$79,560"
"01872","R","142","","PGA TOUR WINS","0","","76/142","","","","2","14","$119,416"
"30786","R","27","","PGA TOUR WINS","0","","7/27","","","","","2","$220,016"
"05132","R","74","","PGA TOUR WINS","0","","57/74","","","","2","19","$10,960"
"02198","R","62","","PGA TOUR WINS","0","","21/62","","","","1","2","$19,512"
"19384","R","141","8","PGA TOUR WINS","0","","136/141","5","5","9","68","105","$11,074"
"02032","R","505","5","PGA TOUR WINS","0","","409/505","7","7","9","95","233","$557,820"
"55940","R","4","","PGA TOUR WINS","0","","2/4","","","","","","$65,638"
