"id","isActive","firstName","lastName","shortName","displayName","alphaSort","country","countryFlag","headshot","age","education","turnedPro"
"01001","False","Tommy","Aaron","T Aaron","Tommy Aaron","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_01001.jpg","87","",""
"66415","False","Ryan","Abbate","R Abbate","Ryan Abbate","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_66415.jpg","43","",""
"12855","False","Jerry","Abbott","J Abbott","Jerry Abbott","A","","","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_12855.jpg","","",""
"12856","False","Pat","Abbott","P Abbott","Pat Abbott","A","","","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_12856.jpg","","",""
"01003","False","Bob","Ackerman","B Ackerman","Bob Ackerman","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_01003.jpg","71","",""
"20051","False","Joe","Acosta, Jr.","J Acosta, Jr.","Joe Acosta, Jr.","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_20051.jpg","51","",""
"11249","False","Rick","Acton","R Acton","Rick Acton","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_11249.jpg","","",""
"23778","False","Brad","Adamonis","B Adamonis","Brad Adamonis","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_23778.jpg","51","Miami","1996"
"01005","False","Adam","Adams","A Adams","Adam Adams","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_01005.jpg","68","",""
"29910","False","Blake","Adams","B Adams","Blake Adams","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_29910.jpg","49","Georgia Southern University","2001"
"01006","False","John","Adams","J Adams","John Adams","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_01006.jpg","70","",""
"01007","False","Sam","Adams","S Adams","Sam Adams","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_01007.jpg","78","",""
"06142","False","Mitch","Adcock","M Adcock","Mitch Adcock","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_06142.jpg","69","",""
"51856","False","Tom","Adrounie","T Adrounie","Tom Adrounie","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_51856.jpg","35","",""
"27796","False","Joe","Affrunti","J Affrunti","Joe Affrunti","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_27796.jpg","43","University of Illinois","2004"
"12891","False","Jim","Ahern","J Ahern","Jim Ahern","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_12891.jpg","75","",""
"24461","False","Thomas","Aiken","T Aiken","Thomas Aiken","A","South Africa","RSA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_24461.jpg","41","","2002"
"64267","False","Blaze","Akana","B Akana","Blaze Akana","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_64267.jpg","22","",""
"67118","False","Kihei","Akina","K Akina","Kihei Akina","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_67118.jpg","","",""
"01011","False","Rafael","Alarcon","R Alarcon","Rafael Alarcon","A","Mexico","MEX","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_01011.jpg","66","",""
"49303","True","Anders","Albertson","A Albertson","Anders Albertson","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_49303.jpg","31","Georgia Tech","2015"
"01012","False","Jim","Albus","J Albus","Jim Albus","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_01012.jpg","84","Bucknell","1968"
"29745","False","Tyler","Aldridge","T Aldridge","Tyler Aldridge","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_29745.jpg","40","Boise State University","2004"
"12914","False","Skip","Alexander","S Alexander","Skip Alexander","A","","","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_12914.jpg","","",""
"33408","True","Tyson","Alexander","T Alexander","Tyson Alexander","A","United States","USA","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_33408.jpg","36","University of Florida","2010"
"20771","False","Steven","Alker","S Alker","Steven Alker","A","New Zealand","NZL","https://pga-tour-res.cloudinary.com/image/upload/c_thumb,g_face,w_280,h_350,z_0.7/headshots_20771.jpg","53","New Zealand education","1995"
