"playerId","year","cutsMade","displaySeason","events","officialMoney","second","standingsPoints","standingsRank","third","top10","top25","tourCode","wins","withdrawn"
"01001","2005","-","2005","1","-","-","-","-","-","-","-","R","-","-"
"01001","2004","-","2004","1","-","-","-","-","-","-","-","R","-","-"
"01001","2003","-","2003","1","-","-","-","-","-","-","-","R","-","-"
"01001","2002","-","2002","1","-","-","-","-","-","-","-","R","-","-"
"01001","2001","-","2001","1","-","-","-","-","-","-","-","R","-","-"
"01001","2000","1","2000","1","10,488","-","-","-","-","-","-","R","-","-"
"01001","1999","-","1999","1","-","-","-","-","-","-","-","R","-","-"
"01001","1998","-","1998","1","-","-","-","-","-","-","-","R","-","-"
"01001","1997","-","1997","1","-","-","-","-","-","-","-","R","-","-"
"01001","1996","-","1996","1","-","-","-","-","-","-","-","R","-","-"
"01001","1994","-","1994","1","-","-","-","-","-","-","-","R","-","-"
"01001","1993","-","1993","1","-","-","-","-","-","-","-","R","-","-"
"01001","1992","1","1992","1","3,440","-","-","-","-","-","-","R","-","-"
"01001","1991","1","1991","1","3,533","-","-","-","-","-","-","R","-","-"
"01001","1990","-","1990","1","-","-","-","-","-","-","-","R","-","-"
"01001","1989","1","1989","1","4,900","-","-","-","-","-","-","R","-","-"
"01001","1988","-","1988","2","-","-","-","-","-","-","-","R","-","-"
"01001","1987","1","1987","2","2,200","-","-","-","-","-","-","R","-","-"
"01001","1986","2","1986","7","1,622","-","-","-","-","-","-","R","-","-"
"01001","1985","-","1985","3","-","-","-","-","-","-","-","R","-","-"
"01001","1984","2","1984","5","1,474","-","-","-","-","-","-","R","-","1"
"01001","1983","-","1983","7","-","-","-","-","-","-","-","R","-","-"
"01001","1982","2","1982","14","2,775","-","-","-","-","-","-","R","-","-"
"01001","1981","12","1981","22","16,747","-","-","-","-","-","1","R","-","1"
"01001","1980","9","1980","27","6,791","-","-","-","-","-","-","R","-","-"
"01001","1979","22","1979","31","62,814","-","-","-","-","2","8","R","-","1"
"01001","1978","17","1978","25","24,560","-","-","-","-","-","5","R","-","1"
"01001","1977","17","1977","24","14,008","-","-","-","-","1","2","R","-","-"
"01001","1976","18","1976","23","24,061","-","-","-","-","1","6","R","-","-"
"01001","1975","14","1975","22","29,613","-","-","-","1","2","6","R","-","1"
"01001","1974","22","1974","30","27,464","-","-","-","-","2","6","R","-","-"
"01001","1973","18","1973","21","60,489","-","-","-","-","4","7","R","1","1"
"01001","1972","25","1972","29","115,122","4","-","-","1","9","16","R","-","-"
"01001","1971","28","1971","32","66,719","-","-","-","3","6","17","R","-","-"
"01001","1970","25","1970","29","90,371","1","-","-","-","9","14","R","1","1"
"01001","1969","27","1969","27","85,689","2","-","-","3","9","17","R","-","-"
"01001","1968","28","1968","29","64,103","-","-","-","1","12","18","R","-","-"
"01001","1967","28","1967","30","38,076","-","-","-","-","7","14","R","-","1"
"01001","1966","23","1966","23","35,492","1","-","-","2","7","12","R","-","1"
"01001","1965","29","1965","29","44,829","1","-","-","1","8","17","R","-","1"
"01001","1964","26","1964","27","17,985","-","-","-","1","6","12","R","-","2"
"01001","1963","29","1963","32","32,385","4","-","-","1","10","13","R","-","1"
"01001","1962","19","1962","19","9,319","-","-","-","1","5","10","R","-","-"
"01001","1961","28","1961","32","11,731","-","-","-","-","6","14","R","-","-"
"01001","1960","4","1960","4","150","-","-","-","-","-","1","R","-","-"
"01001","1960","1","1960 (a)","1","-","-","-","-","-","-","1","R","-","-"
"01001","1959","-","1959 (a)","1","-","-","-","-","-","-","-","R","-","-"
"66415","2024","-","2024 (a)","1","-","-","-","-","-","-","-","R","-","-"
"12855","1972","13","1972","17","8,716","-","-","-","-","-","3","R","-","-"
"12855","1971","14","1971","18","8,704","-","-","-","-","-","5","R","-","-"
"12855","1970","11","1970","19","9,566","-","-","-","-","1","4","R","-","1"
