RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS > 25',TOTAL 3 PUTTS
1,0,39546,Keith Mitchell,46,53
2,0,54628,Lee Hodges,42,52
2,0,27095,Nick Watney,42,48
4,0,32757,Patton Kizzire,40,50
5,0,49298,Kramer Hickok,39,47
5,0,27129,Luke List,39,57
5,0,49947,Taylor Moore,39,42
8,0,36799,Stephan Jaeger,38,47
8,0,32791,K.H. Lee,38,39
8,0,29518,Brendan Steele,38,39
11,0,25900,Lucas Glover,37,58
12,0,24924,Bill Haas,36,41
12,0,35532,Tom Hoge,36,38
12,0,48822,Sebastián Muñoz,36,45
15,0,34255,Joseph Bramlett,35,45
15,0,46550,Brandon Hagy,35,44
15,0,30692,Scott Stallings,35,43
15,0,32333,Kevin Tway,35,37
19,0,55708,Hayden Buckley,34,42
19,0,34076,Joel Dahmen,34,40
19,0,29908,C.T. Pan,34,37
19,0,40250,Taylor Pendrith,34,39
19,0,37275,Sam Ryder,34,44
19,0,31560,Brian Stuard,34,39
19,0,25493,Nick Taylor,34,43
26,0,49766,Hank Lebioda,33,38
26,0,51997,Andrew Novak,33,38
26,0,47529,Mito Pereira,33,36
26,0,34256,Andrew Putnam,33,41
26,0,57366,Cameron Young,33,39
31,0,52375,Doug Ghim,32,38
31,0,33122,Russell Knox,32,37
31,0,27936,Martin Laird,32,39
31,0,26476,Chez Reavie,32,42
35,0,39971,Sungjae Im,31,33
35,0,27974,Sung Kang,31,40
35,0,37455,Si Woo Kim,31,42
35,0,49771,J.T. Poston,31,36
35,0,36699,Patrick Rodgers,31,33
35,0,49964,Aaron Wise,31,40
41,0,29535,Brice Garnett,30,36
41,0,47993,Denny McCarthy,30,35
41,0,36871,Matthew NeSmith,30,39
41,0,30163,Henrik Norlander,30,33
41,0,33486,Roger Sloan,30,37
41,0,46340,Alex Smalley,30,37
41,0,34431,Robert Streb,30,30
41,0,40115,Adam Svensson,30,42
49,0,37212,Paul Barjon,29,35
49,0,29970,Dylan Frittelli,29,35
49,0,35449,Adam Long,29,39
49,0,34466,Peter Malnati,29,36
49,0,46442,Maverick McNealy,29,30
49,0,50095,Austin Smotherman,29,32
49,0,39324,J.J. Spaun,29,36
56,0,36326,David Lipsky,28,40
56,0,47983,Chad Ramey,28,31
56,0,47347,Adam Schenk,28,34
56,0,49960,Sepp Straka,28,34
60,0,29725,Tony Finau,27,30
60,0,21961,Charles Howell III,27,32
60,0,32640,Troy Merritt,27,35
60,0,25818,Scott Piercy,27,35
60,0,53165,Doc Redman,27,27
60,0,47856,Seth Reeves,27,29
60,0,48699,Callum Tarren,27,30
60,0,32150,Michael Thompson,27,35
60,0,30927,Brendon Todd,27,29
69,0,20229,Stewart Cink,26,36
69,0,46717,Viktor Hovland,26,30
69,0,35506,Mackenzie Hughes,26,28
69,0,46414,Aaron Rai,26,31
69,0,51634,Sahith Theegala,26,41
69,0,27064,Jhonattan Vegas,26,30
75,0,45609,Tyler Duncan,25,28
75,0,32662,Michael Gligic,25,30
75,0,34563,Chesson Hadley,25,28
75,0,33399,Adam Hadwin,25,31
75,0,39977,Max Homa,25,26
75,0,46601,Trey Mullinax,25,27
75,0,47995,Davis Riley,25,37
75,0,51890,Greyson Sigg,25,28
75,0,28114,Dawie van der Walt,25,34
84,0,52372,Cameron Champ,24,28
84,0,39997,Corey Conners,24,33
84,0,31646,Emiliano Grillo,24,31
84,0,34098,Russell Henley,24,31
84,0,33597,Harry Higgs,24,29
84,0,46046,Scottie Scheffler,24,30
84,0,27214,Kevin Streelman,24,33
84,0,34264,Hudson Swafford,24,31
84,0,33419,Cameron Tringale,24,31
84,0,45540,Jared Wolfe,24,29
94,0,27644,Brian Harman,23,28
94,0,28237,Rory McIlroy,23,28
94,0,45486,Joaquin Niemann,23,28
94,0,34046,Jordan Spieth,23,31
94,0,10381,Curtis Thompson,23,24
94,0,47128,Richy Werenski,23,29
100,0,34174,John Huh,22,30
100,0,36852,Jim Knous,22,23
100,0,26851,Marc Leishman,22,24
100,0,46970,Jon Rahm,22,25
100,0,37189,Harold Varner III,22,27
105,0,25686,Jason Dufner,21,31
105,0,29974,Branden Grace,21,24
105,0,35310,Lanto Griffin,21,26
105,0,32448,James Hahn,21,22
105,0,31557,Jim Herman,21,24
105,0,29478,Kevin Kisner,21,27
105,0,48117,Kurt Kitayama,21,26
105,0,23108,Matt Kuchar,21,24
105,0,31420,Anirban Lahiri,21,24
105,0,23320,Ryan Palmer,21,28
105,0,39953,Chase Seiffert,21,28
105,0,35617,Martin Trainer,21,30
117,0,33141,Keegan Bradley,20,22
117,0,51766,Wyndham Clark,20,27
117,0,45157,Cam Davis,20,28
117,0,40098,Matt Fitzpatrick,20,23
117,0,24980,Scott Gutschewski,20,21
117,0,54421,Garrick Higgo,20,22
117,0,26300,Matt Jones,20,28
117,0,30926,Chris Kirk,20,23
117,0,29289,S.Y. Noh,20,23
117,0,33667,Carlos Ortiz,20,23
117,0,24361,Pat Perez,20,24
117,0,28252,Seamus Power,20,26
117,0,23621,Rory Sabbatini,20,27
117,0,27649,Brandt Snedeker,20,24
117,0,52374,Brandon Wu,20,25
117,0,54783,Dylan Wu,20,25
133,0,47504,Sam Burns,19,24
133,0,46435,Austin Cook,19,22
133,0,23983,Luke Donald,19,25
133,0,12716,Charley Hoffman,19,27
133,0,29420,Billy Horschel,19,21
133,0,36689,Brooks Koepka,19,20
133,0,33204,Shane Lowry,19,22
133,0,34610,Matthias Schwab,19,26
133,0,24502,Adam Scott,19,25
133,0,23325,Vaughn Taylor,19,22
143,0,32366,Kevin Chappell,18,23
143,0,47988,Nick Hardy,18,19
143,0,35461,Beau Hossler,18,21
143,0,36801,Mark Hubbard,18,21
143,0,36884,Ben Kohles,18,22
143,0,40162,Justin Lower,18,26
143,0,51950,Max McGreevy,18,21
143,0,25198,Francesco Molinari,18,20
143,0,40006,Erik van Rooyen,18,22
143,0,47483,Will Zalatoris,18,24
153,0,35879,Kelly Kraft,17,18
153,0,28775,Nate Lashley,17,24
153,0,32839,Hideki Matsuyama,17,24
153,0,34360,Patrick Reed,17,19
153,0,48081,Xander Schauffele,17,18
158,0,28089,Jason Day,16,20
158,0,32102,Rickie Fowler,16,21
158,0,27139,David Skinns,16,21
158,0,33448,Justin Thomas,16,23
158,0,48887,Matt Wallace,16,23
158,0,51894,Vince Whaley,16,18
158,0,31323,Gary Woodland,16,26
165,0,45522,Christiaan Bezuidenhout,15,19
165,0,27895,Jonas Blixt,15,19
165,0,35450,Patrick Cantlay,15,18
165,0,35110,Brett Drewitt,15,23
165,0,30911,Tommy Fleetwood,15,17
165,0,24024,Zach Johnson,15,20
165,0,30944,Jason Kokrak,15,17
165,0,29926,Danny Lee,15,21
165,0,27770,Camilo Villegas,15,20
165,0,32139,Danny Willett,15,20
175,0,50525,Collin Morikawa,14,19
175,0,27349,Alex Noren,14,15
175,0,29221,Webb Simpson,14,26
178,0,24925,Jonathan Byrd,13,17
178,0,33490,Bo Hoag,13,17
178,0,24138,Ian Poulter,13,18
181,0,45526,Abraham Ancer,12,13
