RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS 15'-20',TOTAL 3 PUTTS
1,0,51634,Sahith Theegala,8,41
2,0,25900,Lucas Glover,7,58
2,0,27129,Luke List,7,57
4,0,25686,Jason Dufner,6,31
4,0,36326,David Lipsky,6,40
4,0,29221,Webb Simpson,6,26
7,0,35617,Martin Trainer,5,30
8,0,48084,Wesley Bryan,4,22
8,0,55708,Hayden Buckley,4,42
8,0,48822,Sebastián Muñoz,4,45
8,0,23320,Ryan Palmer,4,28
8,0,46046,Scottie Scheffler,4,30
8,0,46340,Alex Smalley,4,37
14,0,39997,Corey Conners,3,33
14,0,35110,Brett Drewitt,3,23
14,0,32102,Rickie Fowler,3,21
14,0,32662,Michael Gligic,3,30
14,0,27644,Brian Harman,3,28
14,0,32839,Hideki Matsuyama,3,24
14,0,32640,Troy Merritt,3,35
14,0,24361,Pat Perez,3,24
14,0,26476,Chez Reavie,3,42
14,0,23621,Rory Sabbatini,3,27
14,0,47347,Adam Schenk,3,34
14,0,39953,Chase Seiffert,3,28
14,0,39324,J.J. Spaun,3,36
14,0,34046,Jordan Spieth,3,31
14,0,28114,Dawie van der Walt,3,34
29,0,30978,Kiradech Aphibarnrat,2,13
29,0,34255,Joseph Bramlett,2,45
29,0,24925,Jonathan Byrd,2,17
29,0,20229,Stewart Cink,2,36
29,0,45609,Tyler Duncan,2,28
29,0,40098,Matt Fitzpatrick,2,23
29,0,30911,Tommy Fleetwood,2,17
29,0,29970,Dylan Frittelli,2,35
29,0,31646,Emiliano Grillo,2,31
29,0,34563,Chesson Hadley,2,28
29,0,46550,Brandon Hagy,2,44
29,0,54421,Garrick Higgo,2,22
29,0,33597,Harry Higgs,2,29
29,0,54628,Lee Hodges,2,52
29,0,35532,Tom Hoge,2,38
29,0,35461,Beau Hossler,2,21
29,0,35506,Mackenzie Hughes,2,28
29,0,34174,John Huh,2,30
29,0,26300,Matt Jones,2,28
29,0,30926,Chris Kirk,2,23
29,0,29478,Kevin Kisner,2,27
29,0,48117,Kurt Kitayama,2,26
29,0,32757,Patton Kizzire,2,50
29,0,28775,Nate Lashley,2,24
29,0,40162,Justin Lower,2,26
29,0,34466,Peter Malnati,2,36
29,0,28237,Rory McIlroy,2,28
29,0,39546,Keith Mitchell,2,53
29,0,25198,Francesco Molinari,2,20
29,0,50525,Collin Morikawa,2,19
29,0,36871,Matthew NeSmith,2,39
29,0,45486,Joaquin Niemann,2,28
29,0,29289,S.Y. Noh,2,23
29,0,51997,Andrew Novak,2,38
29,0,28252,Seamus Power,2,26
29,0,34256,Andrew Putnam,2,41
29,0,46970,Jon Rahm,2,25
29,0,46414,Aaron Rai,2,31
29,0,47995,Davis Riley,2,37
29,0,34610,Matthias Schwab,2,26
29,0,24502,Adam Scott,2,25
29,0,30692,Scott Stallings,2,43
29,0,49960,Sepp Straka,2,34
29,0,27214,Kevin Streelman,2,33
29,0,31560,Brian Stuard,2,39
29,0,33448,Justin Thomas,2,23
29,0,32150,Michael Thompson,2,35
29,0,33419,Cameron Tringale,2,31
29,0,37189,Harold Varner III,2,27
29,0,48887,Matt Wallace,2,23
29,0,32139,Danny Willett,2,20
29,0,49964,Aaron Wise,2,40
29,0,31323,Gary Woodland,2,26
29,0,52374,Brandon Wu,2,25
29,0,57366,Cameron Young,2,39
84,0,19803,Ryan Armour,1,13
84,0,37212,Paul Barjon,1,35
84,0,45522,Christiaan Bezuidenhout,1,19
84,0,47504,Sam Burns,1,24
84,0,35450,Patrick Cantlay,1,18
84,0,52372,Cameron Champ,1,28
84,0,51766,Wyndham Clark,1,27
84,0,46435,Austin Cook,1,22
84,0,39436,Joshua Creel,1,19
84,0,34076,Joel Dahmen,1,40
84,0,28089,Jason Day,1,20
84,0,29535,Brice Garnett,1,36
84,0,46402,Talor Gooch,1,14
84,0,24924,Bill Haas,1,41
84,0,33399,Adam Hadwin,1,31
84,0,34098,Russell Henley,1,31
84,0,33490,Bo Hoag,1,17
84,0,12716,Charley Hoffman,1,27
84,0,39977,Max Homa,1,26
84,0,29420,Billy Horschel,1,21
84,0,21961,Charles Howell III,1,32
84,0,36801,Mark Hubbard,1,21
84,0,39971,Sungjae Im,1,33
84,0,36799,Stephan Jaeger,1,47
84,0,24024,Zach Johnson,1,20
84,0,27974,Sung Kang,1,40
84,0,37455,Si Woo Kim,1,42
84,0,33122,Russell Knox,1,37
84,0,32816,Satoshi Kodaira,1,17
84,0,31420,Anirban Lahiri,1,24
84,0,27936,Martin Laird,1,39
84,0,29926,Danny Lee,1,21
84,0,35449,Adam Long,1,39
84,0,47993,Denny McCarthy,1,35
84,0,46442,Maverick McNealy,1,30
84,0,49947,Taylor Moore,1,42
84,0,29908,C.T. Pan,1,37
84,0,47529,Mito Pereira,1,36
84,0,25818,Scott Piercy,1,35
84,0,47856,Seth Reeves,1,29
84,0,22405,Justin Rose,1,15
84,0,37275,Sam Ryder,1,44
84,0,51890,Greyson Sigg,1,28
84,0,27139,David Skinns,1,21
84,0,33486,Roger Sloan,1,37
84,0,27649,Brandt Snedeker,1,24
84,0,40115,Adam Svensson,1,42
84,0,25493,Nick Taylor,1,43
84,0,23325,Vaughn Taylor,1,22
84,0,40006,Erik van Rooyen,1,22
84,0,27064,Jhonattan Vegas,1,30
84,0,27095,Nick Watney,1,48
84,0,47128,Richy Werenski,1,29
84,0,45540,Jared Wolfe,1,29
84,0,56278,Matthew Wolff,1,18
84,0,47483,Will Zalatoris,1,24
