RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,25364,Paul Casey,7,3,4
2,0,30946,Alex Prugh,8,5,3
3,0,39997,Corey Conners,11,10,1
3,0,29518,Brendan Steele,11,1,10
5,0,36689,Brooks Koepka,23,12,11
6,0,21961,Charles Howell III,24,17,7
7,0,49960,Sepp Straka,30,4,26
7,0,31323,Gary Woodland,30,2,28
9,0,25818,Scott Piercy,35,26,9
10,0,27936,Martin Laird,40,26,14
11,0,30944,Jason Kokrak,41,9,32
12,0,46970,Jon Rahm,44,15,29
12,0,27214,Kevin Streelman,44,29,15
14,0,31646,Emiliano Grillo,46,12,34
15,0,28237,Rory McIlroy,47,8,39
16,0,28089,Jason Day,48,32,16
17,0,33141,Keegan Bradley,51,11,40
18,0,32839,Hideki Matsuyama,53,33,20
19,0,25686,Jason Dufner,56,51,5
20,0,49964,Aaron Wise,62,24,38
21,0,49766,Hank Lebioda,65,40,25
22,0,25900,Lucas Glover,70,20,50
22,0,33448,Justin Thomas,70,64,6
22,0,27064,Jhonattan Vegas,70,47,23
25,0,29535,Brice Garnett,71,53,18
25,0,32640,Troy Merritt,71,40,31
27,0,29268,Bronson Burgoon,72,18,54
28,0,24781,Hunter Mahan,77,31,46
29,0,48081,Xander Schauffele,81,38,43
30,0,33667,Carlos Ortiz,87,29,58
31,0,28679,Fabián Gómez,88,37,51
31,0,45486,Joaquin Niemann,88,35,53
33,0,45157,Cam Davis,89,56,33
33,0,23108,Matt Kuchar,89,69,20
35,0,47347,Adam Schenk,91,55,36
35,0,37340,Chase Wright,91,35,56
37,0,39971,Sungjae Im,93,26,67
38,0,52372,Cameron Champ,94,72,22
39,0,33418,Shawn Stefani,95,83,12
40,0,45609,Tyler Duncan,97,56,41
41,0,32102,Rickie Fowler,99,40,59
41,0,35732,Wes Roach,99,34,65
43,0,29970,Dylan Frittelli,104,56,48
44,0,49298,Kramer Hickok,105,23,82
45,0,26476,Chez Reavie,106,49,57
46,0,33399,Adam Hadwin,107,38,69
47,0,27330,Josh Teater,108,100,8
48,0,30911,Tommy Fleetwood,109,22,87
48,0,26329,Louis Oosthuizen,109,16,93
50,0,45526,Abraham Ancer,110,14,96
51,0,34098,Russell Henley,113,62,51
52,0,39546,Keith Mitchell,118,43,75
53,0,47959,Bryson DeChambeau,119,6,113
53,0,27095,Nick Watney,119,83,36
55,0,10809,Jim Furyk,120,96,24
55,0,37275,Sam Ryder,120,66,54
57,0,34076,Joel Dahmen,121,20,101
58,0,33948,Byeong Hun An,124,64,60
58,0,23320,Ryan Palmer,124,79,45
58,0,30110,Kyle Stanley,124,51,73
61,0,40115,Adam Svensson,125,106,19
62,0,24502,Adam Scott,126,96,30
63,0,26596,Ryan Moore,127,78,49
63,0,33419,Cameron Tringale,127,110,17
65,0,34099,Harris English,135,44,91
66,0,33122,Russell Knox,136,110,26
