RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
133,0,40115,Adam Svensson,3.148,192,61
133,0,25493,Nick Taylor,3.148,277,88
137,0,21731,Freddie Jacobson,3.150,126,40
138,0,34021,Bud Cauley,3.151,230,73
138,0,28089,Jason Day,3.151,167,53
138,0,27141,J.B. Holmes,3.151,167,53
141,0,28775,Nate Lashley,3.154,205,65
142,0,28259,Sangmoon Bae,3.157,161,51
142,0,34360,Patrick Reed,3.157,281,89
144,0,47504,Sam Burns,3.158,240,76
145,0,39327,Ben Silverman,3.159,199,63
146,0,34264,Hudson Swafford,3.161,177,56
146,0,27064,Jhonattan Vegas,3.161,196,62
148,0,40098,Matt Fitzpatrick,3.163,136,43
149,0,52372,Cameron Champ,3.164,231,73
149,0,39997,Corey Conners,3.164,231,73
149,0,35879,Kelly Kraft,3.164,212,67
149,0,26476,Chez Reavie,3.164,231,73
153,0,27649,Brandt Snedeker,3.165,307,97
154,0,45526,Abraham Ancer,3.167,228,72
154,0,35449,Adam Long,3.167,209,66
156,0,25572,Graeme McDowell,3.169,206,65
157,0,23320,Ryan Palmer,3.170,149,47
157,0,36699,Patrick Rodgers,3.170,149,47
159,0,35450,Patrick Cantlay,3.172,184,58
159,0,49298,Kramer Hickok,3.172,184,58
161,0,26329,Louis Oosthuizen,3.179,178,56
162,0,34099,Harris English,3.180,283,89
162,0,39954,Cody Gribble,3.180,194,61
164,0,47959,Bryson DeChambeau,3.181,229,72
165,0,25818,Scott Piercy,3.182,245,77
166,0,29420,Billy Horschel,3.183,226,71
167,0,32816,Satoshi Kodaira,3.188,153,48
168,0,25686,Jason Dufner,3.190,185,58
168,0,29223,Sam Saunders,3.190,252,79
170,0,34076,Joel Dahmen,3.191,217,68
171,0,30110,Kyle Stanley,3.193,182,57
172,0,34098,Russell Henley,3.200,192,60
173,0,27129,Luke List,3.203,189,59
174,0,33448,Justin Thomas,3.214,180,56
175,0,36852,Jim Knous,3.217,148,46
176,0,21209,Sergio Garcia,3.220,132,41
177,0,34261,Scott Langley,3.221,219,68
178,0,32139,Danny Willett,3.222,203,63
179,0,29484,Peter Uihlein,3.224,187,58
180,0,26499,Rafa Cabrera Bello,3.226,171,53
181,0,32058,José de Jesús Rodríguez,3.232,181,56
182,0,46523,Joey Garber,3.235,165,51
183,0,01810,Phil Mickelson,3.246,185,57
184,0,37380,Curtis Luck,3.286,161,49
184,0,25396,Kevin Na,3.286,138,42
186,0,35617,Martin Trainer,3.339,207,62
187,0,27349,Alex Noren,3.375,135,40
188,0,30786,Brady Schnell,3.381,142,42
