RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,32102,Rickie Fowler,68.64,1922,28
2,0,25364,Paul Casey,69.03,2347,34
3,0,26851,Marc Leishman,69.09,3040,44
4,0,34098,Russell Henley,69.11,3041,44
5,0,34046,Jordan Spieth,69.13,2143,31
6,0,21209,Sergio Garcia,69.27,2078,30
7,0,29725,Tony Finau,69.32,3674,53
8,0,28237,Rory McIlroy,69.40,1388,20
9,0,27649,Brandt Snedeker,69.42,1319,19
10,0,22405,Justin Rose,69.50,1946,28
11,0,33141,Keegan Bradley,69.59,3549,51
12,0,25198,Francesco Molinari,69.61,2297,33
13,0,20229,Stewart Cink,69.71,3416,49
14,0,23621,Rory Sabbatini,69.74,2162,31
14,0,27963,Chris Stroud,69.74,2162,31
16,0,27129,Luke List,69.77,3698,53
17,0,26476,Chez Reavie,69.80,3071,44
18,0,30925,Dustin Johnson,69.81,2164,31
18,0,29223,Sam Saunders,69.81,2234,32
20,0,24924,Bill Haas,69.84,2654,38
21,0,25900,Lucas Glover,69.86,3004,43
22,0,48081,Xander Schauffele,69.87,3214,46
23,0,28252,Seamus Power,69.90,2796,40
24,0,34021,Bud Cauley,69.91,3006,43
25,0,29221,Webb Simpson,69.92,3566,51
26,0,12510,Chad Campbell,69.96,3148,45
27,0,28089,Jason Day,69.97,2169,31
28,0,30110,Kyle Stanley,69.98,3849,55
29,0,29720,Andres Gonzales,70.03,2381,34
29,0,01810,Phil Mickelson,70.03,2731,39
29,0,46970,Jon Rahm,70.03,2661,38
32,0,24361,Pat Perez,70.07,3013,43
33,0,27644,Brian Harman,70.08,3434,49
34,0,35891,Cameron Smith,70.10,2874,41
35,0,31646,Emiliano Grillo,70.15,3367,48
36,0,23108,Matt Kuchar,70.19,2948,42
37,0,25686,Jason Dufner,70.22,2528,36
37,0,24138,Ian Poulter,70.22,2598,37
39,0,35450,Patrick Cantlay,70.24,1475,21
40,0,27974,Sung Kang,70.26,3794,54
41,0,49771,J.T. Poston,70.28,3233,46
41,0,34360,Patrick Reed,70.28,3514,50
43,0,30191,Julián Etulain,70.29,2390,34
44,0,28500,Martin Flores,70.30,2812,40
44,0,34174,John Huh,70.30,3515,50
44,0,34431,Robert Streb,70.30,3515,50
47,0,46550,Brandon Hagy,70.31,2953,42
48,0,25191,Gonzalo Fernandez-Castaño,70.33,2110,30
48,0,34264,Hudson Swafford,70.33,3165,45
50,0,39324,J.J. Spaun,70.37,2885,41
51,0,33461,Morgan Hoffmann,70.38,3167,45
52,0,33418,Shawn Stefani,70.39,2886,41
53,0,27936,Martin Laird,70.40,2957,42
53,0,29518,Brendan Steele,70.40,2816,40
55,0,27770,Camilo Villegas,70.41,2605,37
56,0,27958,Ryan Blaum,70.42,4014,57
56,0,28132,Tyrone Van Aswegen,70.42,3662,52
58,0,36689,Brooks Koepka,70.43,2465,35
59,0,32839,Hideki Matsuyama,70.44,2395,34
60,0,32333,Kevin Tway,70.45,3452,49
61,0,29479,Scott Brown,70.46,3241,46
61,0,19846,Brian Gay,70.46,2748,39
61,0,29461,Jamie Lovemark,70.46,3523,50
64,0,33413,Ben Martin,70.49,2749,39
65,0,40026,Daniel Berger,70.50,2538,36
65,0,24358,Robert Garrigus,70.50,2679,38
65,0,31420,Anirban Lahiri,70.50,2397,34
65,0,30692,Scott Stallings,70.50,2679,38
65,0,33448,Justin Thomas,70.50,1974,28
65,0,25632,Jimmy Walker,70.50,2397,34
71,0,23325,Vaughn Taylor,70.52,3667,52
72,0,26300,Matt Jones,70.53,2257,32
73,0,46601,Trey Mullinax,70.55,2963,42
74,0,34099,Harris English,70.56,2752,39
74,0,31323,Gary Woodland,70.56,3387,48
76,0,39975,Michael Kim,70.57,3811,54
76,0,37189,Harold Varner III,70.57,3952,56
