RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,29454,Bernd Wiesberger,428,WGC-Bridgestone,4,16,036
2,0,26851,Marc Leishman,410,WGC-Bridgestone,4,16,036
3,0,28089,Jason Day,409,Hyundai T of C,1,12,656
3,0,22046,Geoff Ogilvy,409,Hyundai T of C,1,7,656
5,0,30925,Dustin Johnson,406,WGC-Bridgestone,2,16,036
6,0,30927,Brendon Todd,404,Hyundai T of C,1,7,656
7,0,21209,Sergio Garcia,403,Honda Classic,1,6,734
8,0,27770,Camilo Villegas,402,Hyundai T of C,1,18,656
8,0,25804,Bubba Watson,402,PGA Championshi,4,13,706
10,0,20645,John Senden,401,Hyundai T of C,1,7,656
10,0,30692,Scott Stallings,401,Hyundai T of C,1,7,656
10,0,33418,Shawn Stefani,401,Frys.com Open,4,13,552
13,0,28500,Martin Flores,400,Zurich Classic,2,10,714
13,0,34098,Russell Henley,400,Hyundai T of C,1,7,656
13,0,12716,Charley Hoffman,400,Hyundai T of C,1,7,656
16,0,27141,J.B. Holmes,399,Hyundai T of C,3,6,656
16,0,32839,Hideki Matsuyama,399,Hyundai T of C,4,17,656
16,0,34360,Patrick Reed,399,Hyundai T of C,1,7,656
19,0,26300,Matt Jones,398,Hyundai T of C,1,7,656
19,0,23481,Marcel Siem,398,WGC-Bridgestone,4,16,036
21,0,23108,Matt Kuchar,397,Hyundai T of C,3,6,656
22,0,34099,Harris English,396,Phoenix Open,3,15,510
22,0,33413,Ben Martin,396,Hyundai T of C,3,6,656
22,0,40250,Taylor Pendrith,396,Canadian Open,2,18,032
25,0,31323,Gary Woodland,395,Texas Open,1,10,770
26,0,25892,Steve Wheatcroft,394,Canadian Open,3,11,032
27,0,29974,Branden Grace,393,WGC-Bridgestone,4,9,036
27,0,34431,Robert Streb,393,Hyundai T of C,3,6,656
27,0,27214,Kevin Streelman,393,Hyundai T of C,1,7,656
27,0,25632,Jimmy Walker,393,Hyundai T of C,1,18,656
31,0,28259,Sangmoon Bae,391,Hyundai T of C,4,6,656
31,0,34563,Chesson Hadley,391,Hyundai T of C,4,17,656
31,0,23353,J.J. Henry,391,Shell Houston,2,8,729
34,0,40026,Daniel Berger,390,The Barclays,2,12,781
34,0,32448,James Hahn,390,WGC-Bridgestone,3,16,036
34,0,29289,S.Y. Noh,390,Hyundai T of C,1,18,656
37,0,25274,Steven Bowditch,389,Hyundai T of C,2,7,656
37,0,27644,Brian Harman,389,Hyundai T of C,1,7,656
37,0,26596,Ryan Moore,389,Hyundai T of C,1,18,656
40,0,32102,Rickie Fowler,388,WGC-Bridgestone,2,2,036
40,0,30926,Chris Kirk,388,Hyundai T of C,1,17,656
40,0,25493,Nick Taylor,388,Hyundai T of C,3,17,656
40,0,26951,Johnson Wagner,388,Texas Open,1,17,770
44,0,29720,Andres Gonzales,386,The Barclays,2,2,781
44,0,21961,Charles Howell III,386,The Barclays,1,2,781
44,0,24781,Hunter Mahan,386,The Barclays,2,7,781
44,0,28475,Jeff Overton,386,The Barclays,2,2,781
48,0,25290,Kurt Barnes,385,U.S. Open,2,18,100
49,0,30946,Alex Prugh,384,Canadian Open,3,18,032
49,0,34046,Jordan Spieth,384,WGC-Bridgestone,4,16,036
51,0,29725,Tony Finau,383,Canadian Open,1,18,032
51,0,33461,Morgan Hoffmann,383,The Barclays,1,2,781
51,0,22405,Justin Rose,383,WGC-Bridgestone,4,16,036
51,0,26331,Charl Schwartzel,383,WGC-Bridgestone,4,16,036
51,0,34264,Hudson Swafford,383,Canadian Open,2,18,032
56,0,29420,Billy Horschel,382,Hyundai T of C,1,12,656
56,0,36689,Brooks Koepka,382,Canadian Open,3,3,032
58,0,23320,Ryan Palmer,381,The Barclays,4,2,781
59,0,20848,Ángel Cabrera,380,Hyundai T of C,2,18,656
59,0,23541,Ben Crane,380,Hyundai T of C,4,17,656
59,0,35451,Scott Pinckney,380,Valspar Champ,2,1,665
62,0,25364,Paul Casey,379,WGC-Bridgestone,4,16,036
62,0,32366,Kevin Chappell,379,The Barclays,1,2,781
62,0,39470,Richard Jung,379,Canadian Open,1,8,032
62,0,39251,Ryan Ruffels,379,Canadian Open,2,18,032
62,0,21528,Henrik Stenson,379,The Barclays,4,2,781
67,0,33948,Byeong Hun An,378,U.S. Open,2,18,100
67,0,48135,Blair Hamilton,378,Canadian Open,1,8,032
67,0,24024,Zach Johnson,378,Hyundai T of C,1,7,656
67,0,46569,Bradley Neil,378,U.S. Open,1,1,818
71,0,33141,Keegan Bradley,377,BMW Champ,1,16,789
71,0,24494,Erik Compton,377,Canadian Open,3,18,032
73,0,32334,Charlie Beljan,376,Honda Classic,1,6,734
73,0,35300,Andrew Loupe,376,Texas Open,2,18,770
73,0,25818,Scott Piercy,376,Canadian Open,3,18,032
73,0,27330,Josh Teater,376,Canadian Open,1,18,032
77,0,46550,Brandon Hagy,375,Texas Open,1,2,770
77,0,26758,David Hearn,375,The Barclays,1,7,781
77,0,30944,Jason Kokrak,375,Texas Open,1,14,770
77,0,34644,Josh Persons,375,U.S. Open,2,18,100
77,0,25841,Marc Warren,375,WGC-Bridgestone,4,9,036
82,0,28307,Matt Every,374,Hyundai T of C,3,17,656
82,0,31646,Emiliano Grillo,374,Canadian Open,2,18,032
82,0,27408,Martin Kaymer,374,WGC-Bridgestone,4,16,036
82,0,24140,Sean O'Hair,374,The Barclays,1,7,781
82,0,33448,Justin Thomas,374,The Barclays,2,2,781
87,0,27436,Graham DeLaet,373,The Barclays,2,7,781
87,0,37273,Derek Ernst,373,Canadian Open,1,8,032
87,0,31420,Anirban Lahiri,373,WGC-Bridgestone,3,8,036
87,0,26329,Louis Oosthuizen,373,WGC-Bridgestone,3,8,036
87,0,24502,Adam Scott,373,WGC-Bridgestone,3,8,036
87,0,39324,J.J. Spaun,373,Canadian Open,1,18,032
87,0,34265,Will Wilcox,373,Zurich Classic,1,2,714
94,0,47986,Rich Berberian Jr.,372,U.S. Open,2,18,100
94,0,27064,Jhonattan Vegas,372,Canadian Open,1,16,032
94,0,36685,Cameron Wilson,372,Frys.com Open,4,13,552
94,0,46932,Gunn Yang,372,The Open,1,1,668
98,0,24956,Mikko Ilonen,371,WGC-Bridgestone,4,16,036
98,0,36699,Patrick Rodgers,371,Canadian Open,2,8,032
98,0,37076,Marcelo Rozo,371,Canadian Open,1,10,032
98,0,29518,Brendan Steele,371,Shriners Hosp.,1,9,538
98,0,27963,Chris Stroud,371,The Barclays,2,2,781
103,0,24358,Robert Garrigus,370,Canadian Open,1,8,032
103,0,24924,Bill Haas,370,The Barclays,1,7,781
103,0,25240,D.A. Points,370,Honda Classic,1,18,734
103,0,48095,Garrett Rank,370,Canadian Open,1,18,032
103,0,29221,Webb Simpson,370,The Barclays,1,7,781
103,0,26679,Kevin Stadler,370,Hyundai T of C,1,12,656
109,0,24507,Jason Bohn,369,Shriners Hosp.,4,11,538
109,0,20157,Retief Goosen,369,Frys.com Open,4,13,552
109,0,20766,Padraig Harrington,369,WGC-Bridgestone,1,8,036
112,0,20229,Stewart Cink,368,The Barclays,2,2,781
112,0,25720,Chad Collins,368,The Barclays,2,12,781
112,0,27936,Martin Laird,368,Canadian Open,2,18,032
112,0,33204,Shane Lowry,368,WGC-Bridgestone,4,8,036
112,0,29476,Kyle Reifers,368,The Barclays,1,7,781
117,0,36983,Matt Dobyns,367,PGA Championshi,2,15,706
117,0,20104,Ken Duke,367,Canadian Open,2,11,032
117,0,33667,Carlos Ortiz,367,The Barclays,2,2,781
117,0,25562,Andres Romero,367,Texas Open,3,8,770
117,0,23621,Rory Sabbatini,367,The Barclays,2,7,781
122,0,23048,Eric Axley,366,Texas Open,1,17,770
122,0,27895,Jonas Blixt,366,Canadian Open,2,3,032
122,0,27776,Pelle Edberg,366,The Open,1,1,668
122,0,27747,Hiroshi Iwata,366,The Open,2,1,668
122,0,29670,Pablo Larrazabal,366,WGC-Bridgestone,4,9,036
122,0,01706,Davis Love III,366,The Barclays,1,2,781
122,0,32640,Troy Merritt,366,Texas Open,1,14,770
122,0,01810,Phil Mickelson,366,The Barclays,2,2,781
122,0,48119,Ben Taylor,366,The Open,1,1,668
131,0,10885,Robert Allenby,365,Texas Open,1,10,770
131,0,28339,Victor Dubuisson,365,WGC-Bridgestone,2,8,036
131,0,06522,Ernie Els,365,PGA Championshi,4,16,706
131,0,22056,Cameron Percy,365,Frys.com Open,4,9,552
131,0,35541,John Peterson,365,The Barclays,1,2,781
131,0,34256,Andrew Putnam,365,Texas Open,3,8,770
137,0,24846,Ricky Barnes,364,Canadian Open,2,18,032
137,0,31557,Jim Herman,364,Canadian Open,1,18,032
137,0,27466,Spencer Levin,364,The Barclays,2,12,781
137,0,28237,Rory McIlroy,364,Wells Fargo,4,16,698
137,0,32139,Danny Willett,364,WGC-Bridgestone,2,8,036
142,0,29479,Scott Brown,363,The Barclays,1,7,781
142,0,23638,Brendon de Jonge,363,Canadian Open,1,18,032
142,0,39977,Max Homa,363,Sony Open,1,12,006
142,0,27899,Rikard Karlberg,363,The Open,1,1,668
142,0,33486,Roger Sloan,363,Byron Nelson,1,4,019
147,0,35540,Albin Choi,362,Canadian Open,2,3,032
147,0,01200,Keith Clearwater,362,Barbasol Champ,1,14,819
147,0,10809,Jim Furyk,362,U.S. Open,2,18,100
147,0,24490,George McNeill,362,The Barclays,1,7,781
147,0,27119,Koumei Oda,362,WGC-Bridgestone,4,16,036
152,0,29223,Sam Saunders,361,Canadian Open,1,18,032
152,0,20396,Lee Westwood,361,WGC-Bridgestone,4,8,036
154,0,25369,Jamie Donaldson,360,WGC-Bridgestone,3,16,036
154,0,25900,Lucas Glover,360,Canadian Open,2,16,032
154,0,29926,Danny Lee,360,WGC-Bridgestone,4,8,036
154,0,25396,Kevin Na,360,WGC-Bridgestone,1,8,036
154,0,46501,Ollie Schniederjans,360,Quicken Loans,4,14,616
154,0,24459,Richard Sterne,360,Canadian Open,1,8,032
154,0,32150,Michael Thompson,360,Phoenix Open,1,5,510
161,0,33399,Adam Hadwin,359,Canadian Open,1,16,032
161,0,01761,Len Mattiace,359,Canadian Open,2,18,032
161,0,20691,Greg Owen,359,Canadian Open,1,18,032
161,0,34130,Sung Joon Park,359,Canadian Open,1,18,032
161,0,24138,Ian Poulter,359,WGC-Bridgestone,4,8,036
161,0,27095,Nick Watney,359,Canadian Open,1,8,032
161,0,21878,Mark Wilson,359,The Barclays,1,7,781
161,0,08793,Tiger Woods,359,The Greenbrier,2,13,771
169,0,34314,Sebastian Cappelen,358,Sanderson Farms,1,16,746
169,0,20472,Alex Cejka,358,The Barclays,2,2,781
