RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,33448,Justin Thomas,45.63,94,206,-0.22
2,0,32334,Charlie Beljan,43.28,58,134,-0.17
3,0,36699,Patrick Rodgers,42.31,44,104,-0.14
4,0,27436,Graham DeLaet,41.94,52,124,-0.35
5,0,29518,Brendan Steele,41.57,69,166,-0.20
6,0,33141,Keegan Bradley,40.91,63,154,-0.38
7,0,24358,Robert Garrigus,40.63,52,128,-0.12
8,0,27064,Jhonattan Vegas,40.51,64,158,-0.34
9,0,21961,Charles Howell III,40.38,84,208,-0.35
10,0,30944,Jason Kokrak,40.34,71,176,-0.27
11,0,28089,Jason Day,39.58,57,144,-0.28
12,0,30925,Dustin Johnson,39.13,54,138,-0.22
13,0,27141,J.B. Holmes,38.96,60,154,-0.17
14,0,24502,Adam Scott,38.64,34,88,-0.12
15,0,28500,Martin Flores,37.50,66,176,-0.17
16,0,25900,Lucas Glover,37.34,59,158,-0.32
17,0,31323,Gary Woodland,37.30,47,126,-0.19
18,0,33667,Carlos Ortiz,36.67,66,180,-0.23
19,0,36689,Brooks Koepka,36.54,57,156,-0.21
20,0,25274,Steven Bowditch,36.46,70,192,-0.26
21,0,29725,Tony Finau,35.92,74,206,-0.34
22,0,34264,Hudson Swafford,35.87,66,184,-0.38
23,0,40026,Daniel Berger,35.64,67,188,-0.25
24,0,22371,Aaron Baddeley,35.62,52,146,-0.23
25,0,34099,Harris English,35.35,70,198,-0.29
26,0,34265,Will Wilcox,35.11,33,94,-0.06
27,0,30692,Scott Stallings,34.62,36,104,-0.31
28,0,22405,Justin Rose,33.87,42,124,-0.21
29,0,27936,Martin Laird,33.55,51,152,-0.22
30,0,25818,Scott Piercy,33.33,60,180,-0.33
31,0,24140,Sean O'Hair,33.14,57,172,-0.09
32,0,27095,Nick Watney,32.95,58,176,-0.29
33,0,01810,Phil Mickelson,32.14,45,140,-0.27
34,0,20848,Ángel Cabrera,32.08,34,106,-0.15
35,0,37273,Derek Ernst,31.62,43,136,-0.21
36,0,26851,Marc Leishman,31.15,38,122,-0.18
37,0,33418,Shawn Stefani,30.85,58,188,-0.38
38,0,20396,Lee Westwood,30.68,27,88,-0.04
39,0,29720,Andres Gonzales,30.59,52,170,-0.40
40,0,24781,Hunter Mahan,30.52,47,154,-0.32
41,0,33486,Roger Sloan,30.39,31,102,-0.10
42,0,26331,Charl Schwartzel,30.19,32,106,-0.16
43,0,32102,Rickie Fowler,30.15,41,136,-0.10
44,0,25562,Andres Romero,30.00,39,130,-0.18
45,0,25191,Gonzalo Fernandez-Castaño,29.73,44,148,-0.36
46,0,33461,Morgan Hoffmann,29.38,47,160,-0.36
47,0,20766,Padraig Harrington,29.17,35,120,-0.11
48,0,25345,Carl Pettersson,29.13,60,206,-0.28
49,0,30946,Alex Prugh,29.11,46,158,-0.35
50,0,26951,Johnson Wagner,29.10,39,134,-0.28
51,0,20691,Greg Owen,29.09,32,110,-0.06
52,0,01706,Davis Love III,28.72,27,94,-0.04
53,0,29289,S.Y. Noh,28.69,35,122,-0.34
54,0,26300,Matt Jones,28.67,43,150,-0.33
55,0,23320,Ryan Palmer,28.57,40,140,-0.35
56,0,29223,Sam Saunders,28.21,44,156,-0.14
57,0,31557,Jim Herman,27.91,48,172,+0.04
58,0,34431,Robert Streb,27.73,61,220,-0.23
59,0,12716,Charley Hoffman,27.47,50,182,-0.12
60,0,25804,Bubba Watson,27.34,35,128,-0.26
61,0,27770,Camilo Villegas,27.11,45,166,-0.24
62,0,28023,Byron Smith,26.85,29,108,-0.34
63,0,32366,Kevin Chappell,26.83,44,164,-0.23
64,0,20157,Retief Goosen,26.71,39,146,-0.21
65,0,32839,Hideki Matsuyama,26.51,44,166,-0.32
66,0,29420,Billy Horschel,26.14,46,176,-0.13
67,0,20229,Stewart Cink,26.03,38,146,-0.08
67,0,39977,Max Homa,26.03,38,146,-0.16
69,0,34098,Russell Henley,25.97,40,154,+0.08
70,0,25632,Jimmy Walker,25.95,41,158,-0.05
71,0,34360,Patrick Reed,25.54,47,184,-0.09
72,0,22892,Jason Gore,25.35,36,142,-0.44
73,0,34046,Jordan Spieth,25.31,41,162,-0.12
74,0,32448,James Hahn,25.29,44,174,E
75,0,25686,Jason Dufner,25.00,31,124,-0.32
75,0,21528,Henrik Stenson,25.00,28,112,-0.54
77,0,23353,J.J. Henry,24.72,44,178,-0.23
78,0,25364,Paul Casey,24.36,38,156,-0.29
78,0,35532,Tom Hoge,24.36,38,156,-0.34
80,0,23048,Eric Axley,24.07,26,108,-0.35
81,0,21209,Sergio Garcia,23.96,23,96,-0.48
82,0,24924,Bill Haas,23.78,39,164,-0.08
83,0,24494,Erik Compton,23.49,39,166,-0.28
84,0,22046,Geoff Ogilvy,23.40,22,94,-0.18
85,0,26289,Boo Weekley,23.29,34,146,-0.56
86,0,29478,Kevin Kisner,23.08,48,208,-0.23
87,0,35451,Scott Pinckney,22.94,39,170,-0.23
88,0,25493,Nick Taylor,22.53,41,182,-0.20
89,0,31416,Derek Fathauer,22.37,34,152,-0.32
90,0,34563,Chesson Hadley,22.16,43,194,-0.37
91,0,28780,Nicholas Thompson,22.15,35,158,-0.26
92,0,35541,John Peterson,22.02,37,168,-0.30
93,0,27649,Brandt Snedeker,21.59,38,176,-0.08
94,0,24490,George McNeill,20.97,39,186,-0.41
95,0,22056,Cameron Percy,20.90,28,134,-0.39
96,0,06522,Ernie Els,20.75,22,106,-0.09
96,0,28132,Tyrone Van Aswegen,20.75,22,106,-0.14
98,0,29535,Brice Garnett,20.67,31,150,-0.06
98,0,06567,Vijay Singh,20.67,31,150,-0.19
100,0,34409,David Lingmerth,20.59,35,170,-0.29
101,0,28307,Matt Every,20.16,25,124,E
102,0,28259,Sangmoon Bae,19.89,37,186,-0.19
103,0,35545,Blayne Barber,19.59,29,148,-0.24
104,0,33399,Adam Hadwin,19.44,35,180,-0.23
105,0,27214,Kevin Streelman,19.28,32,166,-0.13
106,0,32150,Michael Thompson,19.23,30,156,-0.03
107,0,29476,Kyle Reifers,19.10,34,178,-0.24
108,0,30852,Ryo Ishikawa,19.05,32,168,-0.13
109,0,23623,Bo Van Pelt,18.83,29,154,+0.17
110,0,20645,John Senden,18.75,24,128,-0.29
111,0,26329,Louis Oosthuizen,18.64,22,118,-0.36
112,0,29479,Scott Brown,18.62,35,188,-0.29
113,0,25369,Jamie Donaldson,18.60,16,86,E
114,0,29221,Webb Simpson,18.59,29,156,-0.07
115,0,28486,Michael Putnam,18.35,29,158,-0.10
116,0,12510,Chad Campbell,18.23,35,192,-0.43
117,0,23108,Matt Kuchar,17.58,32,182,-0.41
118,0,24925,Jonathan Byrd,17.24,20,116,-0.05
118,0,27644,Brian Harman,17.24,30,174,-0.43
120,0,27933,John Merrick,16.90,24,142,-0.33
121,0,29425,Andrew Svoboda,16.88,26,154,-0.46
122,0,24138,Ian Poulter,16.39,20,122,-0.20
123,0,33122,Russell Knox,16.15,31,192,-0.32
124,0,33413,Ben Martin,16.11,29,180,-0.17
125,0,25198,Francesco Molinari,16.04,17,106,-0.12
126,0,30926,Chris Kirk,15.94,22,138,-0.64
127,0,24361,Pat Perez,15.76,29,184,-0.45
128,0,34358,Jonathan Randolph,15.67,21,134,-0.43
129,0,23548,Bill Lunde,15.56,14,90,-0.14
130,0,32640,Troy Merritt,15.52,27,174,-0.11
131,0,25892,Steve Wheatcroft,15.43,25,162,-0.28
132,0,20472,Alex Cejka,15.22,28,184,-0.50
133,0,30736,Oscar Fraustro,15.09,16,106,-0.25
134,0,29926,Danny Lee,15.04,34,226,-0.29
135,0,26596,Ryan Moore,15.00,21,140,-0.29
136,0,37454,Whee Kim,14.93,20,134,-0.25
137,0,28475,Jeff Overton,14.71,25,170,-0.40
138,0,24024,Zach Johnson,14.29,24,168,-0.33
139,0,23621,Rory Sabbatini,14.19,21,148,-0.33
140,0,24846,Ricky Barnes,13.70,20,146,-0.35
141,0,23638,Brendon de Jonge,13.64,27,198,-0.26
142,0,27895,Jonas Blixt,13.49,17,126,-0.24
143,0,28679,Fabián Gómez,13.41,22,164,-0.50
144,0,25834,Daniel Summerhays,13.37,27,202,-0.48
145,0,10809,Jim Furyk,13.28,17,128,-0.47
146,0,27963,Chris Stroud,13.13,21,160,-0.38
147,0,31193,Jim Renner,13.08,17,130,-0.06
148,0,26476,Chez Reavie,12.73,14,110,-0.29
149,0,33419,Cameron Tringale,12.50,24,192,-0.50
150,0,25240,D.A. Points,12.32,17,138,-0.29
151,0,27466,Spencer Levin,12.23,23,188,-0.13
152,0,34174,John Huh,11.73,23,196,-0.26
153,0,25349,Tim Wilkinson,11.36,15,132,-0.27
154,0,35539,Luke Guthrie,11.33,17,150,-0.12
155,0,34256,Andrew Putnam,11.11,14,126,-0.29
156,0,23800,Bryce Molder,10.71,18,168,-0.33
157,0,31202,William McGirt,10.68,22,206,-0.09
158,0,20104,Ken Duke,10.47,18,172,E
159,0,23983,Luke Donald,10.45,14,134,-0.21
160,0,25396,Kevin Na,10.34,18,174,-0.33
161,0,32200,Roberto Castro,10.23,9,88,-0.78
162,0,10885,Robert Allenby,10.19,11,108,-0.36
163,0,34261,Scott Langley,9.89,18,182,-0.11
164,0,34130,Sung Joon Park,9.46,14,148,-0.14
165,0,08075,Jerry Kelly,9.21,14,152,-0.29
166,0,31560,Brian Stuard,9.09,16,176,-0.31
167,0,34262,Jon Curran,8.55,13,152,-0.46
168,0,30927,Brendon Todd,8.52,15,176,-0.20
169,0,26758,David Hearn,8.25,16,194,-0.25
170,0,21878,Mark Wilson,7.65,13,170,-0.54
171,0,24507,Jason Bohn,7.37,14,190,-0.43
172,0,22293,Heath Slocum,7.29,7,96,-0.29
173,0,30711,Colt Knost,7.23,12,166,-0.42
174,0,21753,Brian Davis,7.05,11,156,-0.09
175,0,40058,Zac Blair,6.93,14,202,-0.36
176,0,24357,K.J. Choi,6.90,8,116,-0.13
177,0,20771,Steven Alker,6.78,8,118,-0.25
178,0,25720,Chad Collins,6.58,10,152,-0.40
179,0,20593,Greg Chalmers,6.38,6,94,-0.17
180,0,36801,Mark Hubbard,4.05,6,148,E
181,0,23541,Ben Crane,3.51,4,114,-0.75
182,0,29222,Billy Hurley III,3.42,5,146,-0.40
183,0,10860,Justin Leonard,3.28,4,122,-0.75
184,0,02206,David Toms,2.59,3,116,E
