RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,01161,Mark Calcavecchia,76.92,10,13
2,0,01577,Lee Janzen,72.73,8,11
3,0,21209,Sergio Garcia,71.43,5,7
3,0,01457,Jay Haas,71.43,5,7
5,0,24980,Scott Gutschewski,66.67,6,9
5,0,08545,Glen Hnatiuk,66.67,6,9
5,0,24024,Zach Johnson,66.67,8,12
5,0,20572,Rod Pampling,66.67,2,3
9,0,22405,Justin Rose,64.71,11,17
10,0,21731,Freddie Jacobson,62.50,5,8
11,0,19824,Craig Barlow,60.00,3,5
11,0,23725,Brendan Jones,60.00,6,10
11,0,22046,Geoff Ogilvy,60.00,9,15
11,0,20663,Brenden Pappas,60.00,3,5
11,0,24502,Adam Scott,60.00,3,5
16,0,10423,Mike Weir,58.33,7,12
17,0,12602,Dean Wilson,57.89,11,19
18,0,06004,Stephen Ames,57.14,4,7
18,0,21350,Ryuji Imada,57.14,4,7
18,0,08385,Omar Uresti,57.14,8,14
21,0,10809,Jim Furyk,54.55,6,11
21,0,08793,Tiger Woods,54.55,6,11
23,0,10117,Bob Heintz,53.85,7,13
24,0,19881,Robert Damron,52.94,9,17
25,0,01024,Billy Andrade,52.38,11,21
26,0,24507,Jason Bohn,50.00,3,6
26,0,01226,Fred Couples,50.00,1,2
26,0,22621,Ben Curtis,50.00,4,8
26,0,23409,James Driscoll,50.00,4,8
26,0,06599,John Elliott,50.00,6,12
26,0,12823,Carlos Franco,50.00,3,6
26,0,12782,Tim Herron,50.00,7,14
26,0,01761,Len Mattiace,50.00,13,26
26,0,06515,Shaun Micheel,50.00,5,10
26,0,25396,Kevin Na,50.00,4,8
26,0,21949,Joe Ogilvie,50.00,10,20
26,0,06373,José María Olazábal,50.00,3,6
26,0,20127,Chris Riley,50.00,1,2
26,0,23621,Rory Sabbatini,50.00,4,8
26,0,27095,Nick Watney,50.00,7,14
41,0,20850,Daniel Chopra,47.62,10,21
42,0,22371,Aaron Baddeley,47.06,8,17
42,0,12652,Cameron Beckman,47.06,8,17
42,0,23623,Bo Van Pelt,47.06,8,17
45,0,23135,Tim Clark,46.67,7,15
45,0,01329,Brad Faxon,46.67,7,15
45,0,24604,Hunter Haas,46.67,7,15
45,0,24140,Sean O'Hair,46.67,7,15
45,0,07749,Brett Quigley,46.67,7,15
50,0,06575,Dudley Hart,46.15,6,13
50,0,20691,Greg Owen,46.15,6,13
52,0,21633,Steve Allan,45.45,5,11
52,0,08993,Franklin Langham,45.45,5,11
52,0,25345,Carl Pettersson,45.45,5,11
52,0,24138,Ian Poulter,45.45,5,11
56,0,20502,Michael Long,44.44,4,9
56,0,01927,Dennis Paulson,44.44,4,9
56,0,02214,Kirk Triplett,44.44,4,9
56,0,20160,Charlie Wi,44.44,4,9
60,0,19972,José Coceres,43.75,7,16
60,0,01619,Skip Kendall,43.75,7,16
62,0,20098,Stuart Appleby,42.86,3,7
62,0,06251,Chris DiMarco,42.86,3,7
62,0,01677,Tom Lehman,42.86,3,7
62,0,02010,Loren Roberts,42.86,3,7
62,0,06567,Vijay Singh,42.86,9,21
62,0,02104,Jeff Sluman,42.86,6,14
62,0,02246,Duffy Waldorf,42.86,6,14
62,0,21878,Mark Wilson,42.86,6,14
70,0,01473,Todd Hamilton,41.67,5,12
71,0,01157,Tom Byrum,41.18,7,17
71,0,20229,Stewart Cink,41.18,7,17
73,0,23497,Tag Ridings,40.91,9,22
74,0,08931,Glen Day,40.00,4,10
74,0,06573,Brandt Jobe,40.00,4,10
74,0,01948,Tim Petrovic,40.00,6,15
74,0,20396,Lee Westwood,40.00,2,5
78,0,01766,Billy Mayfair,38.89,7,18
79,0,06332,Neal Lancaster,37.50,6,16
80,0,06621,Joe Durant,36.84,7,19
81,0,10201,Matt Gogel,36.36,4,11
81,0,10733,Kent Jones,36.36,4,11
81,0,01706,Davis Love III,36.36,4,11
81,0,02206,David Toms,36.36,4,11
85,0,23320,Ryan Palmer,35.29,6,17
86,0,23540,Jason Allred,33.33,5,15
86,0,01035,Tommy Armour III,33.33,3,9
86,0,21407,Arjun Atwal,33.33,5,15
86,0,23614,Rich Beem,33.33,3,9
86,0,24290,D.J. Brigman,33.33,5,15
86,0,24925,Jonathan Byrd,33.33,6,18
86,0,21753,Brian Davis,33.33,2,6
86,0,23983,Luke Donald,33.33,1,3
86,0,12645,Brent Geiberger,33.33,4,12
86,0,25900,Lucas Glover,33.33,7,21
86,0,01487,Jeff Hart,33.33,2,6
86,0,24912,Will MacKenzie,33.33,3,9
86,0,24781,Hunter Mahan,33.33,6,18
86,0,01797,Rocco Mediate,33.33,2,6
86,0,01887,Mark O'Meara,33.33,3,9
86,0,06527,Steve Stricker,33.33,3,9
86,0,23325,Vaughn Taylor,33.33,6,18
103,0,02106,Chris Smith,31.25,5,16
104,0,06197,Michael Allen,30.77,4,13
104,0,21961,Charles Howell III,30.77,4,13
104,0,20094,Jonathan Kaye,30.77,4,13
104,0,08075,Jerry Kelly,30.77,4,13
104,0,21951,Joey Snyder III,30.77,4,13
109,0,08123,Jeff Brehaut,30.00,3,10
109,0,20645,John Senden,30.00,3,10
109,0,23788,D.J. Trahan,30.00,6,20
112,0,07223,Brian Bateman,29.41,5,17
112,0,21805,Harrison Frazar,29.41,5,17
114,0,24227,Justin Bolli,28.57,4,14
114,0,28088,Matt Davidson,28.57,2,7
114,0,21806,Paul Gow,28.57,4,14
114,0,20628,Arron Oberholser,28.57,2,7
114,0,02223,Bob Tway,28.57,4,14
114,0,10425,Jay Williamson,28.57,2,7
120,0,20472,Alex Cejka,27.27,3,11
120,0,23063,Scott Hend,27.27,6,22
