RANK,MOVEMENT,PLAYER_ID,PLAYER,RTP SCORE
1,0,22371,Aaron Baddeley,-.112
2,0,21961,Charles Howell III,-.088
3,0,06527,Steve Stricker,-.076
4,0,32102,Rickie Fowler,-.069
5,0,27141,J.B. Holmes,-.055
6,0,11123,Chris Couch,-.038
7,0,22378,Trevor Immelman,-.031
8,0,20229,Stewart Cink,-.019
9,0,23320,Ryan Palmer,-.017
10,0,01706,Davis Love III,-.009
11,0,28158,Steve Marino,-.008
11,0,01810,Phil Mickelson,-.008
13,0,24925,Jonathan Byrd,E
13,0,27936,Martin Laird,E
13,0,22913,John Rollins,E
13,0,06567,Vijay Singh,E
13,0,27649,Brandt Snedeker,E
18,0,27095,Nick Watney,+.008
19,0,25396,Kevin Na,+.012
20,0,08375,Paul Stankowski,+.019
21,0,24358,Robert Garrigus,+.020
22,0,23541,Ben Crane,+.024
23,0,20766,Padraig Harrington,+.025
24,0,21350,Ryuji Imada,+.026
25,0,30750,Tommy Gainey,+.027
25,0,23108,Matt Kuchar,+.027
27,0,19846,Brian Gay,+.031
27,0,23623,Bo Van Pelt,+.031
29,0,24663,Y.E. Yang,+.032
30,0,30926,Chris Kirk,+.033
31,0,22405,Justin Rose,+.036
32,0,28089,Jason Day,+.037
32,0,26851,Marc Leishman,+.037
32,0,31202,William McGirt,+.037
35,0,23409,James Driscoll,+.038
36,0,29718,Anthony Kim,+.039
37,0,24781,Hunter Mahan,+.043
37,0,06515,Shaun Micheel,+.043
39,0,10885,Robert Allenby,+.044
39,0,23800,Bryce Molder,+.044
41,0,08537,J.P. Hayes,+.047
42,0,27770,Camilo Villegas,+.050
43,0,20498,Briny Baird,+.051
43,0,10585,Scott McCarron,+.051
43,0,29221,Webb Simpson,+.051
43,0,27064,Jhonattan Vegas,+.051
47,0,20472,Alex Cejka,+.052
47,0,24924,Bill Haas,+.052
47,0,35087,Bio Kim,+.052
50,0,12652,Cameron Beckman,+.054
51,0,24361,Pat Perez,+.055
52,0,21209,Sergio Garcia,+.056
53,0,27963,Chris Stroud,+.058
54,0,23983,Luke Donald,+.059
54,0,25804,Bubba Watson,+.059
56,0,23638,Brendon de Jonge,+.061
56,0,32150,Michael Thompson,+.061
58,0,26300,Matt Jones,+.067
58,0,22046,Geoff Ogilvy,+.067
58,0,02206,David Toms,+.067
61,0,06004,Stephen Ames,+.069
62,0,31557,Jim Herman,+.073
63,0,08075,Jerry Kelly,+.074
63,0,27466,Spencer Levin,+.074
65,0,25345,Carl Pettersson,+.075
66,0,24502,Adam Scott,+.077
66,0,23788,D.J. Trahan,+.077
68,0,23353,J.J. Henry,+.078
68,0,30110,Kyle Stanley,+.078
70,0,10505,Shane Bertsch,+.080
70,0,20848,Ángel Cabrera,+.080
70,0,27214,Kevin Streelman,+.080
70,0,26668,Marc Turnesa,+.080
74,0,25818,Scott Piercy,+.081
75,0,20593,Greg Chalmers,+.082
76,0,34255,Joseph Bramlett,+.083
77,0,24846,Ricky Barnes,+.085
77,0,01313,Steve Elkington,+.085
79,0,31323,Gary Woodland,+.086
80,0,27120,Troy Matteson,+.088
80,0,01766,Billy Mayfair,+.088
82,0,06643,Paul Goydos,+.089
83,0,25686,Jason Dufner,+.090
83,0,23718,Nathan Green,+.090
85,0,12716,Charley Hoffman,+.091
86,0,24024,Zach Johnson,+.092
87,0,33419,Cameron Tringale,+.093
88,0,26758,David Hearn,+.095
88,0,06573,Brandt Jobe,+.095
90,0,24290,D.J. Brigman,+.096
91,0,06251,Chris DiMarco,+.097
92,0,23673,Michael Connell,+.098
92,0,23497,Tag Ridings,+.098
92,0,20645,John Senden,+.098
92,0,26287,Roland Thatcher,+.098
96,0,24357,K.J. Choi,+.099
97,0,30925,Dustin Johnson,+.100
98,0,01116,Michael Bradley,+.101
98,0,06522,Ernie Els,+.101
100,0,22621,Ben Curtis,+.103
100,0,24140,Sean O'Hair,+.103
102,0,25274,Steven Bowditch,+.108
102,0,25572,Graeme McDowell,+.108
102,0,28486,Michael Putnam,+.108
105,0,32640,Troy Merritt,+.110
106,0,24138,Ian Poulter,+.111
107,0,24507,Jason Bohn,+.112
107,0,30692,Scott Stallings,+.112
109,0,29420,Billy Horschel,+.113
110,0,12782,Tim Herron,+.115
111,0,28087,Kris Blanks,+.116
111,0,26596,Ryan Moore,+.116
111,0,26476,Chez Reavie,+.116
114,0,25900,Lucas Glover,+.117
114,0,28679,Fabián Gómez,+.117
116,0,21753,Brian Davis,+.119
117,0,24490,George McNeill,+.120
118,0,21407,Arjun Atwal,+.121
118,0,25562,Andres Romero,+.121
120,0,29910,Blake Adams,+.125
121,0,29518,Brendan Steele,+.126
122,0,24604,Hunter Haas,+.127
123,0,26420,Richard Johnson,+.130
123,0,27330,Josh Teater,+.130
125,0,27974,Sung Kang,+.131
125,0,23548,Bill Lunde,+.131
127,0,21731,Freddie Jacobson,+.133
127,0,27797,Derek Lamely,+.133
127,0,23325,Vaughn Taylor,+.133
130,0,19970,Robert Karlsson,+.135
130,0,21949,Joe Ogilvie,+.135
132,0,22293,Heath Slocum,+.136
133,0,12510,Chad Campbell,+.142
134,0,20572,Rod Pampling,+.143
135,0,26951,Johnson Wagner,+.144
136,0,22348,Nick O'Hern,+.145
137,0,08725,Tom Gillis,+.146
138,0,22961,David Mathis,+.147
138,0,23621,Rory Sabbatini,+.147
138,0,21878,Mark Wilson,+.147
141,0,20070,Matt Bettencourt,+.155
141,0,10860,Justin Leonard,+.155
143,0,31401,Zack Miller,+.156
144,0,26331,Charl Schwartzel,+.160
144,0,20160,Charlie Wi,+.160
146,0,01948,Tim Petrovic,+.162
147,0,07867,Woody Austin,+.163
147,0,25834,Daniel Summerhays,+.163
149,0,21805,Harrison Frazar,+.165
149,0,26289,Boo Weekley,+.165
151,0,29720,Andres Gonzales,+.171
152,0,33413,Ben Martin,+.173
153,0,20157,Retief Goosen,+.175
154,0,32366,Kevin Chappell,+.176
154,0,20436,Garrett Willis,+.176
156,0,28475,Jeff Overton,+.178
157,0,10733,Kent Jones,+.179
158,0,27933,John Merrick,+.183
159,0,09011,David Duval,+.187
159,0,25457,Alexandre Rocha,+.187
161,0,34072,Will Strickler,+.189
162,0,23614,Rich Beem,+.190
163,0,29478,Kevin Kisner,+.192
164,0,30711,Colt Knost,+.193
164,0,12602,Dean Wilson,+.193
166,0,25632,Jimmy Walker,+.196
167,0,26679,Kevin Stadler,+.200
168,0,10809,Jim Furyk,+.202
169,0,27939,Matt McQuillan,+.208
170,0,25240,D.A. Points,+.209
171,0,26881,Jarrod Lyle,+.211
172,0,31193,Jim Renner,+.212
173,0,20127,Chris Riley,+.214
174,0,20098,Stuart Appleby,+.215
174,0,25444,Justin Hicks,+.215
176,0,07457,Steve Flesch,+.219
177,0,01797,Rocco Mediate,+.233
178,0,33911,Nate Smith,+.238
179,0,01577,Lee Janzen,+.241
180,0,28620,Aron Price,+.243
181,0,32698,Bobby Gates,+.246
182,0,33141,Keegan Bradley,+.267
182,0,24980,Scott Gutschewski,+.267
184,0,06621,Joe Durant,+.282
185,0,32876,Martin Piller,+.284
186,0,30946,Alex Prugh,+.292
