RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
1,0,23623,Bo Van Pelt,22' 8",14041.917,619
2,0,24502,Adam Scott,23' 4",9666.750,415
3,0,24663,Y.E. Yang,23' 5",8465.583,361
4,0,01810,Phil Mickelson,23' 6",10071.667,428
5,0,28158,Steve Marino,23' 7",12149.083,516
6,0,25900,Lucas Glover,23' 8",12316.083,521
6,0,27095,Nick Watney,23' 8",11678.333,494
8,0,21731,Freddie Jacobson,23' 9",14153.417,596
8,0,34072,Will Strickler,23' 9",8101.167,341
10,0,21961,Charles Howell III,23' 10",17051.917,716
11,0,32366,Kevin Chappell,23' 11",11563.917,484
11,0,23983,Luke Donald,23' 11",11347.083,475
11,0,02206,David Toms,23' 11",13643.417,570
14,0,06567,Vijay Singh,24' 0",14089.333,588
15,0,06621,Joe Durant,24' 1",15876.167,660
15,0,21949,Joe Ogilvie,24' 1",11315.833,470
17,0,08075,Jerry Kelly,24' 2",16551.000,686
17,0,25562,Andres Romero,24' 2",12937.917,536
17,0,27770,Camilo Villegas,24' 2",10986.250,455
17,0,21878,Mark Wilson,24' 2",15641.917,647
21,0,21209,Sergio Garcia,24' 3",8827.750,364
22,0,20472,Alex Cejka,24' 4",10330.083,424
23,0,29420,Billy Horschel,24' 5",13909.333,570
23,0,31193,Jim Renner,24' 5",10387.000,426
23,0,27649,Brandt Snedeker,24' 5",14333.500,588
26,0,08725,Tom Gillis,24' 6",10676.833,436
26,0,26679,Kevin Stadler,24' 6",15384.250,628
28,0,21753,Brian Davis,24' 7",22176.750,903
28,0,21805,Harrison Frazar,24' 7",7431.583,302
28,0,29478,Kevin Kisner,24' 7",11761.417,479
28,0,30946,Alex Prugh,24' 7",13550.750,552
32,0,12782,Tim Herron,24' 8",14916.917,605
32,0,10733,Kent Jones,24' 8",15141.333,614
32,0,26476,Chez Reavie,24' 8",18597.833,755
35,0,30750,Tommy Gainey,24' 9",18215.333,735
35,0,25444,Justin Hicks,24' 9",10505.333,425
35,0,31202,William McGirt,24' 9",19119.833,772
35,0,23621,Rory Sabbatini,24' 9",11819.333,478
39,0,27974,Sung Kang,24' 10",10830.500,436
39,0,26289,Boo Weekley,24' 10",12996.167,523
41,0,22961,David Mathis,24' 11",16228.750,651
42,0,22621,Ben Curtis,25' 0",15502.750,621
42,0,30925,Dustin Johnson,25' 0",10508.250,420
42,0,33413,Ben Martin,25' 0",14204.833,569
42,0,28475,Jeff Overton,25' 0",14816.500,592
42,0,29518,Brendan Steele,25' 0",16835.917,674
