RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,34431,Robert Streb,27.3,48,176,+2.08
2,0,33204,Shane Lowry,30.8,56,182,-0.18
3,0,01810,Phil Mickelson,36.3,85,234,-0.12
4,0,21407,Arjun Atwal,38.1,37,97,+2.70
5,0,23108,Matt Kuchar,38.3,85,222,+1.41
6,0,52375,Doug Ghim,38.4,53,138,+2.26
7,1,35617,Martin Trainer,40.3,106,263,+3.49
8,-1,29478,Kevin Kisner,40.5,107,264,+1.12
9,0,29908,C.T. Pan,40.6,88,217,+3.52
10,0,48119,Ben Taylor,41.1,69,168,+1.88
11,0,39546,Keith Mitchell,41.2,112,272,+2.68
12,0,27064,Jhonattan Vegas,41.8,79,189,+0.89
13,0,33419,Cameron Tringale,41.9,135,322,+0.37
14,0,22056,Cameron Percy,42.1,80,190,+0.25
15,0,28420,Ryan Brehm,42.2,92,218,+0.22
16,1,28775,Nate Lashley,42.6,101,237,+1.58
17,1,33449,Zack Sucher,42.8,65,152,+1.54
18,1,27556,Ted Potter Jr.,42.9,82,191,+1.22
19,1,56762,Will Gordon,43.7,52,119,+0.96
19,1,24024,Zach Johnson,43.7,118,270,+1.86
21,1,35450,Patrick Cantlay,43.8,103,235,+0.97
22,-6,29420,Billy Horschel,44.1,132,299,+2.05
23,0,46441,Robby Shelton,44.4,131,295,+2.06
23,0,29484,Peter Uihlein,44.4,104,234,+2.60
25,0,39977,Max Homa,44.5,142,319,+1.06
26,0,56278,Matthew Wolff,44.8,146,326,+0.68
27,0,25364,Paul Casey,45.0,91,202,+0.55
28,0,27214,Kevin Streelman,45.2,118,261,+1.53
29,0,21209,Sergio Garcia,45.5,75,165,+1.07
30,1,30163,Henrik Norlander,46.2,109,236,+0.55
31,1,23788,D.J. Trahan,46.3,76,164,+2.63
32,-2,30925,Dustin Johnson,46.5,119,256,+0.59
32,1,29926,Danny Lee,46.5,148,318,+2.57
34,0,46550,Brandon Hagy,46.7,112,240,+1.25
35,2,35891,Cameron Smith,46.8,156,333,+0.77
36,-1,34563,Chesson Hadley,46.9,97,207,+1.96
37,-1,26596,Ryan Moore,47.0,71,151,+1.13
38,7,48081,Xander Schauffele,47.3,150,317,+0.40
38,1,32150,Michael Thompson,47.3,122,258,+1.80
38,1,23623,Bo Van Pelt,47.3,79,167,+3.42
41,-4,48822,Sebastián Muñoz,47.4,188,397,+1.01
42,-1,40098,Matt Fitzpatrick,47.5,95,200,+1.26
42,-1,25493,Nick Taylor,47.5,121,255,+2.40
44,-1,46435,Austin Cook,47.6,99,208,+1.92
44,-1,26476,Chez Reavie,47.6,111,233,+1.17
46,2,47959,Bryson DeChambeau,47.7,156,327,+0.13
47,-2,48045,Michael Gellerman,48.1,75,156,+0.93
48,-1,27649,Brandt Snedeker,48.2,123,255,+0.33
49,6,46970,Jon Rahm,48.5,133,274,+1.58
50,4,34099,Harris English,48.6,171,352,+0.47
50,-1,33486,Roger Sloan,48.6,104,214,+0.87
52,-1,30944,Jason Kokrak,48.8,138,283,+1.96
53,-1,36871,Matthew NeSmith,48.9,132,270,+1.14
53,-1,24502,Adam Scott,48.9,85,174,E
55,22,46046,Scottie Scheffler,49.0,178,363,+1.07
56,23,46717,Viktor Hovland,49.3,148,300,+1.42
56,0,26329,Louis Oosthuizen,49.3,104,211,+0.77
56,12,29221,Webb Simpson,49.3,107,217,+1.68
59,-1,35732,Wes Roach,49.5,54,109,+3.70
59,-1,32139,Danny Willett,49.5,91,184,+2.09
61,-1,28252,Seamus Power,49.6,58,117,+1.55
61,-1,27330,Josh Teater,49.6,61,123,+3.93
63,-1,25572,Graeme McDowell,49.7,94,189,+1.81
64,0,34255,Joseph Bramlett,49.8,113,227,+1.86
64,0,29479,Scott Brown,49.8,109,219,+2.39
64,0,32791,K.H. Lee,49.8,136,273,+1.47
64,0,53165,Doc Redman,49.8,151,303,+1.79
64,-2,33448,Justin Thomas,49.8,163,327,-0.61
69,-1,31646,Emiliano Grillo,50.0,114,228,+1.14
69,-1,23325,Vaughn Taylor,50.0,103,206,+1.36
69,-1,37189,Harold Varner III,50.0,141,282,+2.48
69,-1,47128,Richy Werenski,50.0,142,284,+2.32
73,8,25396,Kevin Na,50.2,145,289,+1.52
73,0,34046,Jordan Spieth,50.2,147,293,+1.97
73,-16,30927,Brendon Todd,50.2,144,287,+1.74
76,-2,49298,Kramer Hickok,50.3,77,153,+1.56
77,-2,30911,Tommy Fleetwood,50.4,70,139,+1.71
78,15,35506,Mackenzie Hughes,50.7,185,365,+1.89
78,-3,45486,Joaquin Niemann,50.7,185,365,+0.97
80,0,33141,Keegan Bradley,50.8,153,301,+2.61
81,0,19803,Ryan Armour,50.9,82,161,+2.68
81,0,32757,Patton Kizzire,50.9,144,283,+0.76
83,1,33490,Bo Hoag,51.0,126,247,+1.27
84,1,25686,Jason Dufner,51.1,135,264,+1.70
84,-7,28237,Rory McIlroy,51.1,145,284,+1.59
84,1,39953,Chase Seiffert,51.1,96,188,+1.67
84,1,25804,Bubba Watson,51.1,157,307,+0.51
88,0,27129,Luke List,51.2,166,324,+0.24
89,0,28307,Matt Every,51.3,118,230,+1.95
89,0,27644,Brian Harman,51.3,175,341,+1.60
91,0,36699,Patrick Rodgers,51.4,236,459,+1.06
92,1,51766,Wyndham Clark,51.5,155,301,+0.77
92,1,24361,Pat Perez,51.5,102,198,+0.98
92,11,34360,Patrick Reed,51.5,191,371,+1.05
95,1,46402,Talor Gooch,51.6,220,426,+1.86
96,-5,52372,Cameron Champ,51.7,181,350,+1.82
97,1,33399,Adam Hadwin,51.8,132,255,+1.59
98,1,25349,Tim Wilkinson,51.9,70,135,+1.43
99,1,35449,Adam Long,52.0,196,377,+0.92
99,1,33667,Carlos Ortiz,52.0,206,396,+1.07
101,1,28089,Jason Day,52.1,122,234,+1.48
102,1,22405,Justin Rose,52.5,93,177,+1.40
103,2,34076,Joel Dahmen,52.7,157,298,+1.78
103,8,29725,Tony Finau,52.7,195,370,-0.31
105,1,47347,Adam Schenk,52.8,143,271,+1.54
106,1,31560,Brian Stuard,52.9,137,259,+1.75
107,1,32366,Kevin Chappell,53.0,96,181,+2.29
108,1,29970,Dylan Frittelli,53.1,189,356,+1.11
109,1,27936,Martin Laird,53.2,75,141,+1.47
110,1,47993,Denny McCarthy,53.3,172,323,+1.74
110,1,48887,Matt Wallace,53.3,131,246,+2.29
112,2,27974,Sung Kang,53.4,194,363,+1.29
113,2,33120,Mark Anderson,53.5,108,202,+0.93
113,2,37455,Si Woo Kim,53.5,176,329,+1.53
115,2,33948,Byeong Hun An,53.6,193,360,+2.23
116,2,29535,Brice Garnett,53.7,123,229,+1.38
116,2,34466,Peter Malnati,53.7,153,285,+1.11
116,2,31323,Gary Woodland,53.7,154,287,+2.47
119,2,27554,Scott Harrington,53.8,154,286,+2.53
119,2,30692,Scott Stallings,53.8,155,288,+2.06
121,2,32618,Rhein Gibson,53.9,117,217,+0.85
121,2,29518,Brendan Steele,53.9,165,306,+1.58
123,10,34363,Tyrrell Hatton,54.1,98,181,+0.92
123,2,34098,Russell Henley,54.1,145,268,+0.76
123,2,37275,Sam Ryder,54.1,153,283,+0.85
126,2,36689,Brooks Koepka,54.3,132,243,+0.23
127,3,35230,Nelson Ledesma,54.4,87,160,+2.53
128,3,39324,J.J. Spaun,54.5,145,266,+2.00
128,3,35658,Kris Ventura,54.5,84,154,+1.79
130,4,50525,Collin Morikawa,54.6,179,328,+1.56
131,3,35310,Lanto Griffin,54.8,247,451,+0.61
132,4,32102,Rickie Fowler,55.0,105,191,+2.10
132,4,32333,Kevin Tway,55.0,122,222,+1.48
134,4,26300,Matt Jones,55.1,190,345,+0.89
134,4,31420,Anirban Lahiri,55.1,70,127,+0.57
136,4,35461,Beau Hossler,55.5,166,299,+1.81
136,4,40042,Tyler McCumber,55.5,127,229,+1.65
138,12,32839,Hideki Matsuyama,55.6,193,347,+0.31
138,4,27095,Nick Watney,55.6,120,216,+1.58
140,3,27942,Rob Oppenheim,55.7,128,230,+2.89
141,-16,26851,Marc Leishman,55.8,179,321,+2.51
141,4,51894,Vince Whaley,55.8,91,163,+1.10
143,0,39971,Sungjae Im,55.9,204,365,+1.62
144,2,32448,James Hahn,56.0,70,125,+1.29
145,2,19846,Brian Gay,56.1,161,287,+2.36
146,2,31557,Jim Herman,56.2,122,217,+2.87
147,2,49766,Hank Lebioda,56.3,129,229,+2.02
148,4,34021,Bud Cauley,56.6,184,325,+1.41
148,4,26758,David Hearn,56.6,90,159,+1.22
150,4,45609,Tyler Duncan,56.7,166,293,+2.41
150,4,49960,Sepp Straka,56.7,187,330,+1.93
152,4,40009,Dominic Bozzelli,56.8,88,155,+1.93
153,4,21961,Charles Howell III,57.1,180,315,+1.78
153,4,34213,Grayson Murray,57.1,109,191,+0.83
155,5,36801,Mark Hubbard,57.4,209,364,+1.72
156,6,20229,Stewart Cink,57.6,152,264,+0.99
157,6,24138,Ian Poulter,57.7,120,208,+1.50
158,6,26499,Rafa Cabrera Bello,58.4,118,202,+2.03
159,6,34256,Andrew Putnam,58.5,110,188,+1.09
160,-1,23320,Ryan Palmer,58.7,189,322,+1.27
161,5,24924,Bill Haas,58.8,110,187,+0.91
162,5,49771,J.T. Poston,59.0,181,307,+1.44
163,5,49964,Aaron Wise,59.1,107,181,+1.50
164,5,45157,Cam Davis,59.2,148,250,+2.09
164,5,25900,Lucas Glover,59.2,138,233,+2.32
164,5,32254,Xinjun Zhang,59.2,196,331,+1.58
167,5,22371,Aaron Baddeley,59.4,126,212,+0.95
168,5,40058,Zac Blair,59.5,153,257,+2.29
169,5,33597,Harry Higgs,59.8,210,351,+0.95
169,5,33413,Ben Martin,59.8,61,102,+2.62
171,6,25632,Jimmy Walker,59.9,179,299,+1.96
172,6,23621,Rory Sabbatini,60.0,153,255,+1.57
173,6,39997,Corey Conners,60.1,158,263,+2.15
174,6,32640,Troy Merritt,60.2,162,269,+2.10
174,6,27963,Chris Stroud,60.2,118,196,+1.69
176,6,33122,Russell Knox,60.4,154,255,+1.75
177,7,33410,Andrew Landry,60.8,160,263,+1.69
177,7,46442,Maverick McNealy,60.8,211,347,+1.42
179,7,32662,Michael Gligic,60.9,106,174,+1.32
180,7,28679,Fabián Gómez,61.1,110,180,+1.18
181,7,29268,Bronson Burgoon,61.2,153,250,+1.50
181,7,12716,Charley Hoffman,61.2,172,281,+0.29
183,8,10809,Jim Furyk,61.4,78,127,+1.28
184,8,34314,Sebastian Cappelen,61.7,137,222,+1.75
185,8,35532,Tom Hoge,61.8,220,356,+1.09
186,8,29974,Branden Grace,62.0,129,208,-0.08
187,8,33404,Chris Baker,62.2,84,135,+2.38
