RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,19803,Ryan Armour,20.32,103,507,+2.14
2,0,32816,Satoshi Kodaira,20.95,119,568,+1.85
3,0,27936,Martin Laird,21.63,183,846,+1.09
4,0,24138,Ian Poulter,21.80,114,523,+0.44
5,0,31560,Brian Stuard,21.92,208,949,+1.73
6,0,27214,Kevin Streelman,21.99,243,1105,+0.41
7,0,45526,Abraham Ancer,22.27,143,642,+2.03
8,0,26476,Chez Reavie,23.16,239,1032,+1.63
9,0,25900,Lucas Glover,23.34,274,1174,+1.57
10,0,33122,Russell Knox,23.38,252,1078,+1.07
11,0,30927,Brendon Todd,23.43,227,969,+0.70
12,0,52375,Doug Ghim,23.69,235,992,+1.19
13,0,34076,Joel Dahmen,23.81,251,1054,+1.55
14,0,39997,Corey Conners,23.87,248,1039,+0.73
15,0,30978,Kiradech Aphibarnrat,24.04,125,520,+0.64
16,0,45609,Tyler Duncan,24.25,217,895,+1.15
17,0,55708,Hayden Buckley,24.55,262,1067,+1.87
18,0,34098,Russell Henley,24.60,216,878,+0.14
19,0,46435,Austin Cook,24.62,180,731,+0.83
20,0,31646,Emiliano Grillo,24.97,240,961,E
21,0,50525,Collin Morikawa,25.00,174,696,+0.69
22,0,32150,Michael Thompson,25.02,256,1023,+0.74
23,0,39546,Keith Mitchell,25.10,263,1048,-0.08
24,0,29535,Brice Garnett,25.15,210,835,+1.00
25,0,30926,Chris Kirk,25.16,233,926,+0.43
25,0,32640,Troy Merritt,25.16,271,1077,+1.55
27,0,29478,Kevin Kisner,25.26,193,764,+1.40
28,0,46414,Aaron Rai,25.28,246,973,+0.65
29,0,31557,Jim Herman,25.46,151,593,+1.85
30,0,35879,Kelly Kraft,25.61,200,781,+1.35
31,0,49298,Kramer Hickok,25.66,261,1017,+0.92
32,0,35449,Adam Long,25.86,271,1048,+0.92
33,0,29420,Billy Horschel,25.88,207,800,+1.01
34,0,23108,Matt Kuchar,25.93,229,883,+0.09
35,0,54421,Garrick Higgo,26.00,143,550,+2.38
36,0,40006,Erik van Rooyen,26.03,152,584,+1.05
37,0,27644,Brian Harman,26.07,281,1078,+0.57
38,0,21961,Charles Howell III,26.11,170,651,+0.29
39,0,22405,Justin Rose,26.12,151,578,+1.46
40,0,23325,Vaughn Taylor,26.32,145,551,+1.24
41,0,48081,Xander Schauffele,26.63,225,845,+0.49
42,0,34256,Andrew Putnam,26.65,299,1122,+0.50
43,0,39324,J.J. Spaun,26.67,283,1061,+1.45
44,0,47993,Denny McCarthy,26.71,321,1202,+0.93
44,0,27649,Brandt Snedeker,26.71,180,674,+1.94
46,0,30911,Tommy Fleetwood,26.79,161,601,+0.31
46,0,50095,Austin Smotherman,26.79,232,866,+1.42
48,0,40098,Matt Fitzpatrick,26.85,192,715,+0.42
49,0,24925,Jonathan Byrd,26.95,159,590,+0.75
50,0,36871,Matthew NeSmith,27.03,299,1106,+1.64
51,0,32791,K.H. Lee,27.06,332,1227,+0.60
52,0,37455,Si Woo Kim,27.09,314,1159,+1.02
53,0,46970,Jon Rahm,27.11,222,819,+0.72
54,0,33399,Adam Hadwin,27.31,287,1051,+0.87
55,0,23621,Rory Sabbatini,27.34,190,695,+0.79
56,0,36326,David Lipsky,27.42,280,1021,+1.32
57,0,34610,Matthias Schwab,27.43,209,762,-0.29
58,0,28775,Nate Lashley,27.45,230,838,+0.04
59,0,29974,Branden Grace,27.54,179,650,+0.34
60,0,46442,Maverick McNealy,27.55,294,1067,+0.48
61,0,28089,Jason Day,27.56,194,704,+1.08
62,0,39436,Joshua Creel,27.59,141,511,+1.28
