RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
60,0,36326,David Lipsky,49.8,155,311,+0.97
60,0,55893,Sam Stevens,49.8,224,450,+0.18
64,0,51349,Nico Echavarria,50.2,166,331,+0.36
65,0,55789,Taylor Montgomery,50.3,170,338,+1.65
66,0,31646,Emiliano Grillo,50.4,182,361,+1.65
66,0,48319,Tom Whitney,50.4,125,248,+2.32
68,0,55708,Hayden Buckley,50.5,141,279,+1.77
68,0,39977,Max Homa,50.5,200,396,+1.30
68,0,35506,Mackenzie Hughes,50.5,248,491,+0.69
68,0,36799,Stephan Jaeger,50.5,186,368,+0.91
72,0,29936,Ryan Fox,50.6,217,429,+1.11
72,0,28252,Seamus Power,50.6,207,409,+1.69
74,0,52513,Carson Young,50.7,153,302,+2.22
75,0,56630,Akshay Bhatia,50.8,187,368,+1.12
76,0,47679,Victor Perez,50.9,170,334,+1.53
76,0,48867,Matti Schmid,50.9,169,332,+1.01
78,0,26476,Chez Reavie,51.0,129,253,+1.63
79,0,34466,Peter Malnati,51.2,217,424,+2.26
80,0,60004,Jacob Bridgeman,51.3,176,343,+0.63
80,0,27770,Camilo Villegas,51.3,136,265,+1.69
82,0,37275,Sam Ryder,51.4,152,296,+0.86
83,0,52955,Ludvig Åberg,51.6,173,335,+0.92
83,0,60767,Blaine Hale Jr.,51.6,129,250,+1.47
83,0,40250,Taylor Pendrith,51.6,207,401,+1.40
83,0,38991,Alejandro Tosti,51.6,194,376,+2.16
87,0,33948,Byeong Hun An,51.8,214,413,+0.51
88,0,29908,C.T. Pan,51.9,140,270,+1.00
89,0,52453,Nicolai Højgaard,52.0,146,281,+2.12
90,0,33968,Thorbjørn Olesen,52.1,125,240,+0.56
91,0,30926,Chris Kirk,52.4,163,311,+0.67
91,0,51890,Greyson Sigg,52.4,165,315,+0.85
93,0,22371,Aaron Baddeley,52.6,179,340,+1.40
94,0,45157,Cam Davis,52.7,197,374,+2.94
95,0,37455,Si Woo Kim,52.8,182,345,+0.71
95,0,36871,Matt NeSmith,52.8,171,324,+1.23
97,0,57362,Austin Eckroat,52.9,175,331,+2.06
98,0,54628,Lee Hodges,53.0,204,385,+1.91
98,0,57366,Cameron Young,53.0,205,387,+1.22
100,0,34076,Joel Dahmen,53.1,173,326,+1.68
100,0,25493,Nick Taylor,53.1,203,382,+0.74
102,0,33408,Tyson Alexander,53.2,202,380,+2.18
102,0,29535,Brice Garnett,53.2,92,173,+2.07
104,0,47504,Sam Burns,53.7,180,335,+1.89
104,0,35310,Lanto Griffin,53.7,165,307,+0.97
104,0,40115,Adam Svensson,53.7,252,469,+1.47
107,0,59866,Nick Dunlap,53.9,208,386,+2.16
107,0,50095,Austin Smotherman,53.9,103,191,+1.07
109,0,46414,Aaron Rai,54.0,142,263,+1.06
109,0,48119,Ben Taylor,54.0,182,337,+1.10
111,0,25900,Lucas Glover,54.1,173,320,+0.87
112,0,46441,Robby Shelton,54.4,197,362,+0.96
112,0,27214,Kevin Streelman,54.4,154,283,+0.65
114,0,47806,Raul Pereda,54.5,121,222,+1.82
114,0,34256,Andrew Putnam,54.5,188,345,+0.85
116,0,52215,Robert MacIntyre,54.6,194,355,+0.82
116,0,47983,Chad Ramey,54.6,184,337,+1.14
118,0,34099,Harris English,54.7,203,371,+1.97
118,0,36699,Patrick Rodgers,54.7,268,490,+1.01
120,0,51997,Andrew Novak,54.8,224,409,+1.21
121,0,32366,Kevin Chappell,54.9,130,237,+0.92
121,0,49960,Sepp Straka,54.9,146,266,+1.44
121,0,52666,Sami Valimaki,54.9,162,295,+1.73
124,0,49947,Taylor Moore,55.0,263,478,+0.68
124,0,40006,Erik van Rooyen,55.0,209,380,+0.86
126,0,51977,Max Greyserman,55.2,206,373,+0.83
126,0,46442,Maverick McNealy,55.2,232,420,+1.08
128,0,34021,Bud Cauley,55.3,145,262,+0.55
128,0,48081,Xander Schauffele,55.3,193,349,E
128,0,46340,Alex Smalley,55.3,177,320,+0.85
128,0,35617,Martin Trainer,55.3,141,255,+0.99
132,0,29478,Kevin Kisner,55.4,134,242,+2.69
132,0,47347,Adam Schenk,55.4,240,433,+2.46
134,0,31323,Gary Woodland,55.5,231,416,+1.82
135,0,59836,Pierceson Coody,55.6,202,363,+2.03
135,0,39327,Ben Silverman,55.6,198,356,+1.01
137,0,54421,Garrick Higgo,56.0,204,364,+1.86
137,0,22405,Justin Rose,56.0,150,268,+1.40
137,0,34046,Jordan Spieth,56.0,169,302,+1.48
137,0,51634,Sahith Theegala,56.0,261,466,+0.73
137,0,45242,Kevin Yu,56.0,200,357,+1.15
142,0,28237,Rory McIlroy,56.1,175,312,+0.57
142,0,30163,Henrik Norlander,56.1,125,223,+0.72
144,0,50484,Hayden Springer,56.4,180,319,+0.83
145,0,54591,Ben Griffin,56.5,281,497,+0.46
146,0,59095,Chris Gotterup,56.9,242,425,+0.17
147,0,51070,Vincent Norrman,57.0,146,256,+2.33
147,0,49771,J.T. Poston,57.0,207,363,+1.64
147,0,39324,J.J. Spaun,57.0,216,379,+1.20
150,0,24024,Zach Johnson,57.1,112,196,+1.88
151,0,48699,Callum Tarren,57.2,219,383,+1.32
152,0,28089,Jason Day,57.3,173,302,+0.46
152,0,32839,Hideki Matsuyama,57.3,200,349,+0.40
154,0,32102,Rickie Fowler,57.5,199,346,+1.11
155,0,55182,Tom Kim,57.8,193,334,+1.19
156,0,46717,Viktor Hovland,57.9,158,273,+0.76
156,0,48117,Kurt Kitayama,57.9,209,361,+0.48
158,0,51766,Wyndham Clark,58.0,202,348,+0.89
158,0,12716,Charley Hoffman,58.0,211,364,+1.56
160,0,35532,Tom Hoge,58.1,288,496,+0.97
160,0,33486,Roger Sloan,58.1,161,277,+1.06
162,0,37212,Paul Barjon,58.5,152,260,+1.45
163,0,54576,Patrick Fishburn,58.6,177,302,+0.17
164,0,24502,Adam Scott,58.7,202,344,+0.64
165,0,37378,Min Woo Lee,58.8,197,335,+1.12
166,0,51287,Ryo Hisatsune,58.9,195,331,+1.28
166,0,47993,Denny McCarthy,58.9,231,392,+1.73
168,0,50525,Collin Morikawa,59.1,159,269,+1.26
169,0,33653,Thomas Detry,59.3,213,359,+1.88
170,0,51696,Rico Hoey,59.4,202,340,+1.04
171,0,50493,Justin Suh,60.2,192,319,+1.88
172,0,32757,Patton Kizzire,60.5,164,271,-0.18
173,0,30911,Tommy Fleetwood,60.7,150,247,+1.80
173,0,47483,Will Zalatoris,60.7,184,303,+1.90
175,0,39997,Corey Conners,61.1,226,370,+1.02
176,0,47663,Kevin Dougherty,61.5,174,283,+1.15
176,0,47988,Nick Hardy,61.5,257,418,+1.28
178,0,32640,Troy Merritt,61.8,175,283,+1.09
179,0,27330,Josh Teater,61.9,125,202,+1.44
180,0,45609,Tyler Duncan,62.2,163,262,+2.02
181,0,52374,Brandon Wu,63.5,216,340,+0.79
182,0,36801,Mark Hubbard,64.8,252,389,+1.23
183,0,40026,Daniel Berger,65.0,156,240,+1.28
184,0,40058,Zac Blair,67.5,222,329,+0.59
