RANK,MOVEMENT,PLAYER_ID,PLAYER,RTP SCORE
1,0,47856,Seth Reeves,-.094
2,0,28237,Rory McIlroy,-.089
3,0,24502,Adam Scott,-.066
4,0,33448,Justin Thomas,-.054
5,0,34363,Tyrrell Hatton,-.051
6,0,30926,Chris Kirk,-.049
7,0,34046,Jordan Spieth,-.048
8,0,45486,Joaquin Niemann,-.042
8,0,49964,Aaron Wise,-.042
10,0,21961,Charles Howell III,-.041
11,0,29725,Tony Finau,-.040
12,0,30911,Tommy Fleetwood,-.038
12,0,46046,Scottie Scheffler,-.038
14,0,27064,Jhonattan Vegas,-.035
15,0,24138,Ian Poulter,-.033
16,0,28775,Nate Lashley,-.032
16,0,27349,Alex Noren,-.032
18,0,32366,Kevin Chappell,-.028
19,0,35450,Patrick Cantlay,-.018
19,0,29974,Branden Grace,-.018
19,0,28252,Seamus Power,-.018
22,0,30978,Kiradech Aphibarnrat,-.016
22,0,51634,Sahith Theegala,-.016
24,0,23108,Matt Kuchar,-.015
24,0,39546,Keith Mitchell,-.015
26,0,36852,Jim Knous,-.014
26,0,31323,Gary Woodland,-.014
28,0,24924,Bill Haas,-.006
29,0,34563,Chesson Hadley,E
29,0,32839,Hideki Matsuyama,E
29,0,23621,Rory Sabbatini,E
32,0,33419,Cameron Tringale,+.006
33,0,36801,Mark Hubbard,+.007
34,0,46402,Talor Gooch,+.008
35,0,34610,Matthias Schwab,+.009
36,0,28089,Jason Day,+.010
37,0,40115,Adam Svensson,+.011
38,0,51997,Andrew Novak,+.013
38,0,32150,Michael Thompson,+.013
40,0,32757,Patton Kizzire,+.014
41,0,22056,Cameron Percy,+.015
42,0,51766,Wyndham Clark,+.016
42,0,29289,S.Y. Noh,+.016
42,0,34256,Andrew Putnam,+.016
42,0,53165,Doc Redman,+.016
42,0,36699,Patrick Rodgers,+.016
47,0,31646,Emiliano Grillo,+.017
47,0,34098,Russell Henley,+.017
49,0,39971,Sungjae Im,+.018
50,0,27644,Brian Harman,+.020
51,0,19803,Ryan Armour,+.021
52,0,46435,Austin Cook,+.022
52,0,35617,Martin Trainer,+.022
54,0,24925,Jonathan Byrd,+.024
54,0,34466,Peter Malnati,+.024
56,0,39977,Max Homa,+.025
57,0,33486,Roger Sloan,+.026
58,0,30944,Jason Kokrak,+.028
58,0,48699,Callum Tarren,+.028
58,0,47128,Richy Werenski,+.028
61,0,36689,Brooks Koepka,+.030
61,0,56278,Matthew Wolff,+.030
63,0,35461,Beau Hossler,+.032
63,0,27139,David Skinns,+.032
65,0,52374,Brandon Wu,+.033
66,0,34360,Patrick Reed,+.036
66,0,37189,Harold Varner III,+.036
68,0,29535,Brice Garnett,+.037
69,0,46601,Trey Mullinax,+.038
69,0,49771,J.T. Poston,+.038
69,0,32333,Kevin Tway,+.038
72,0,47504,Sam Burns,+.040
72,0,36884,Ben Kohles,+.040
74,0,35532,Tom Hoge,+.042
75,0,34255,Joseph Bramlett,+.043
76,0,35891,Cameron Smith,+.044
77,0,29970,Dylan Frittelli,+.045
78,0,27095,Nick Watney,+.048
79,0,26300,Matt Jones,+.049
80,0,27974,Sung Kang,+.050
80,0,47529,Mito Pereira,+.050
82,0,23983,Luke Donald,+.051
82,0,24980,Scott Gutschewski,+.051
84,0,40098,Matt Fitzpatrick,+.057
84,0,30692,Scott Stallings,+.057
84,0,25493,Nick Taylor,+.057
87,0,27895,Jonas Blixt,+.062
87,0,29221,Webb Simpson,+.062
89,0,32448,James Hahn,+.063
89,0,37455,Si Woo Kim,+.063
91,0,27936,Martin Laird,+.064
92,0,35310,Lanto Griffin,+.065
92,0,34174,John Huh,+.065
94,0,32139,Danny Willett,+.066
95,0,49766,Hank Lebioda,+.067
96,0,35110,Brett Drewitt,+.069
96,0,24361,Pat Perez,+.069
98,0,33667,Carlos Ortiz,+.073
98,0,34431,Robert Streb,+.073
100,0,48117,Kurt Kitayama,+.075
101,0,12716,Charley Hoffman,+.077
101,0,35506,Mackenzie Hughes,+.077
103,0,47483,Will Zalatoris,+.079
104,0,35449,Adam Long,+.082
104,0,46340,Alex Smalley,+.082
106,0,32662,Michael Gligic,+.084
107,0,46717,Viktor Hovland,+.085
107,0,46442,Maverick McNealy,+.085
109,0,27129,Luke List,+.086
109,0,57366,Cameron Young,+.086
111,0,20229,Stewart Cink,+.087
111,0,33597,Harry Higgs,+.087
113,0,32791,K.H. Lee,+.088
114,0,26851,Marc Leishman,+.089
114,0,51890,Greyson Sigg,+.089
116,0,33399,Adam Hadwin,+.093
117,0,33204,Shane Lowry,+.096
118,0,48081,Xander Schauffele,+.097
119,0,45540,Jared Wolfe,+.098
120,0,46414,Aaron Rai,+.099
120,0,27770,Camilo Villegas,+.099
122,0,33490,Bo Hoag,+.100
123,0,49947,Taylor Moore,+.101
124,0,39997,Corey Conners,+.103
124,0,25686,Jason Dufner,+.103
124,0,33122,Russell Knox,+.103
124,0,36326,David Lipsky,+.103
124,0,30927,Brendon Todd,+.103
129,0,36799,Stephan Jaeger,+.104
130,0,32640,Troy Merritt,+.105
130,0,29518,Brendan Steele,+.105
132,0,31420,Anirban Lahiri,+.106
133,0,47347,Adam Schenk,+.107
134,0,50095,Austin Smotherman,+.108
135,0,27214,Kevin Streelman,+.110
136,0,35879,Kelly Kraft,+.111
136,0,40162,Justin Lower,+.111
138,0,45609,Tyler Duncan,+.112
139,0,48822,Sebastián Muñoz,+.113
140,0,48887,Matt Wallace,+.116
141,0,46970,Jon Rahm,+.119
142,0,45157,Cam Davis,+.120
143,0,37212,Paul Barjon,+.122
143,0,32102,Rickie Fowler,+.122
143,0,40250,Taylor Pendrith,+.122
146,0,29908,C.T. Pan,+.123
147,0,48084,Wesley Bryan,+.125
147,0,49298,Kramer Hickok,+.125
147,0,47983,Chad Ramey,+.125
150,0,29420,Billy Horschel,+.126
150,0,47993,Denny McCarthy,+.126
152,0,25818,Scott Piercy,+.127
153,0,51950,Max McGreevy,+.128
154,0,34076,Joel Dahmen,+.129
155,0,46550,Brandon Hagy,+.130
156,0,50525,Collin Morikawa,+.131
157,0,52375,Doug Ghim,+.132
158,0,34264,Hudson Swafford,+.133
159,0,26476,Chez Reavie,+.135
160,0,45522,Christiaan Bezuidenhout,+.136
161,0,54421,Garrick Higgo,+.140
161,0,29478,Kevin Kisner,+.140
163,0,55708,Hayden Buckley,+.141
