RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,06004,Stephen Ames,100.00,2,2
1,0,20099,Doug Barron,100.00,2,2
1,0,07003,David Berganio Jr.,100.00,3,3
1,0,01098,Jay Don Blake,100.00,2,2
1,0,01132,Mark Brooks,100.00,2,2
1,0,06809,Bob Burns,100.00,2,2
1,0,01157,Tom Byrum,100.00,1,1
1,0,20593,Greg Chalmers,100.00,1,1
1,0,01249,John Daly,100.00,1,1
1,0,19881,Robert Damron,100.00,2,2
1,0,07763,Doug Dunakey,100.00,1,1
1,0,12760,Danny Ellis,100.00,1,1
1,0,06522,Ernie Els,100.00,3,3
1,0,01381,Fred Funk,100.00,2,2
1,0,01487,Jeff Hart,100.00,1,1
1,0,10962,Bradley Hughes,100.00,3,3
1,0,06514,Kevin Johnson,100.00,1,1
1,0,01599,Steve Jones,100.00,4,4
1,0,07547,Craig Kanada,100.00,2,2
1,0,01619,Skip Kendall,100.00,7,7
1,0,06332,Neal Lancaster,100.00,1,1
1,0,06090,Jim McGovern,100.00,1,1
1,0,08339,Spike McRoy,100.00,2,2
1,0,01797,Rocco Mediate,100.00,1,1
1,0,01823,Larry Mize,100.00,1,1
1,0,08535,Gary Nicklaus,100.00,1,1
1,0,20095,Carl Paulson,100.00,3,3
1,0,01938,David Peoples,100.00,1,1
1,0,10912,Craig Perks,100.00,2,2
1,0,08553,Lee Porter,100.00,1,1
1,0,10213,Dicky Pride,100.00,2,2
1,0,02010,Loren Roberts,100.00,3,3
1,0,11011,Mike Sposa,100.00,2,2
1,0,06527,Steve Stricker,100.00,1,1
1,0,06078,Esteban Toledo,100.00,2,2
1,0,02239,Scott Verplank,100.00,1,1
1,0,08057,Brian Wilson,100.00,1,1
1,0,08793,Tiger Woods,100.00,2,2
39,0,06567,Vijay Singh,85.71,6,7
40,0,23621,Rory Sabbatini,83.33,5,6
41,0,01042,Paul Azinger,80.00,4,5
41,0,19972,José Coceres,80.00,4,5
41,0,01313,Steve Elkington,80.00,4,5
41,0,12680,Shigeki Maruyama,80.00,4,5
41,0,21949,Joe Ogilvie,80.00,4,5
46,0,09011,David Duval,77.78,7,9
47,0,12823,Carlos Franco,75.00,3,4
47,0,01378,David Frost,75.00,3,4
47,0,01968,Nick Price,75.00,3,4
50,0,20098,Stuart Appleby,71.43,5,7
50,0,20229,Stewart Cink,71.43,5,7
50,0,12660,Jesper Parnevik,71.43,5,7
50,0,06595,Kevin Sutherland,71.43,5,7
50,0,02218,Ted Tryba,71.43,5,7
55,0,06251,Chris DiMarco,70.00,7,10
56,0,12388,Michael Clark II,66.67,4,6
56,0,01203,Russ Cochran,66.67,4,6
56,0,08931,Glen Day,66.67,2,3
56,0,06036,Scott Dunlap,66.67,2,3
56,0,10809,Jim Furyk,66.67,2,3
56,0,10201,Matt Gogel,66.67,2,3
56,0,21007,Gabriel Hjertstedt,66.67,2,3
56,0,01527,Scott Hoch,66.67,2,3
56,0,01577,Lee Janzen,66.67,4,6
56,0,06315,Pete Jordan,66.67,2,3
56,0,01685,J.L. Lewis,66.67,2,3
56,0,11032,Frank Lickliter II,66.67,2,3
56,0,01706,Davis Love III,66.67,4,6
56,0,10585,Scott McCarron,66.67,2,3
56,0,01887,Mark O'Meara,66.67,2,3
56,0,02002,John Riegger,66.67,2,3
56,0,20127,Chris Riley,66.67,2,3
56,0,02104,Jeff Sluman,66.67,2,3
56,0,02206,David Toms,66.67,2,3
56,0,10423,Mike Weir,66.67,2,3
76,0,01307,Joel Edwards,60.00,3,5
76,0,21209,Sergio Garcia,60.00,3,5
76,0,20094,Jonathan Kaye,60.00,3,5
79,0,01175,Jim Carter,57.14,4,7
79,0,06012,Greg Kraft,57.14,4,7
81,0,01320,Bob Estes,54.55,6,11
82,0,01139,Olin Browne,50.00,3,6
82,0,01161,Mark Calcavecchia,50.00,3,6
82,0,06034,Marco Dawson,50.00,1,2
82,0,06621,Joe Durant,50.00,2,4
82,0,07457,Steve Flesch,50.00,1,2
82,0,01374,Robin Freeman,50.00,1,2
82,0,12645,Brent Geiberger,50.00,3,6
82,0,01418,Bill Glasson,50.00,1,2
82,0,20574,Mathew Goggin,50.00,1,2
82,0,22892,Jason Gore,50.00,1,2
82,0,21961,Charles Howell III,50.00,2,4
82,0,12705,Cliff Kresge,50.00,1,2
82,0,01666,Bernhard Langer,50.00,1,2
82,0,10565,Ian Leggatt,50.00,1,2
82,0,01723,Andrew Magee,50.00,1,2
82,0,01766,Billy Mayfair,50.00,3,6
82,0,01771,Blaine McCallister,50.00,1,2
82,0,06515,Shaun Micheel,50.00,2,4
82,0,10457,Frank Nobilo,50.00,1,2
82,0,01928,Corey Pavin,50.00,1,2
82,0,10649,Tom Scherrer,50.00,1,2
82,0,02214,Kirk Triplett,50.00,1,2
82,0,02223,Bob Tway,50.00,2,4
105,0,01707,Steve Lowery,45.45,5,11
106,0,01219,John Cook,40.00,2,5
106,0,01329,Brad Faxon,40.00,2,5
106,0,06617,Brian Henninger,40.00,2,5
106,0,23353,J.J. Henry,40.00,2,5
106,0,08633,Per-Ulrik Johansson,40.00,2,5
106,0,01724,Jeff Maggert,40.00,2,5
112,0,10885,Robert Allenby,33.33,2,6
112,0,24357,K.J. Choi,33.33,1,3
112,0,19846,Brian Gay,33.33,1,3
112,0,10963,Jimmy Green,33.33,1,3
112,0,01677,Tom Lehman,33.33,1,3
112,0,10860,Justin Leonard,33.33,1,3
112,0,19817,Michael Muehr,33.33,1,3
112,0,01926,Steve Pate,33.33,1,3
112,0,01941,Tom Pernice Jr.,33.33,1,3
112,0,02110,Jerry Smith,33.33,2,6
122,0,01945,Kenny Perry,28.57,2,7
123,0,01035,Tommy Armour III,25.00,1,4
123,0,23125,Brad Elder,25.00,1,4
123,0,21805,Harrison Frazar,25.00,1,4
123,0,02170,Hal Sutton,25.00,1,4
127,0,01014,Fulton Allem,.00,0,2
127,0,01024,Billy Andrade,.00,0,2
127,0,20498,Briny Baird,.00,0,3
127,0,12652,Cameron Beckman,.00,0,1
127,0,01226,Fred Couples,.00,0,1
127,0,06643,Paul Goydos,.00,0,1
127,0,08545,Glen Hnatiuk,.00,0,2
127,0,08881,Tripp Isenhour,.00,0,1
127,0,06573,Brandt Jobe,.00,0,1
127,0,08075,Jerry Kelly,.00,0,1
127,0,01761,Len Mattiace,.00,0,1
127,0,22122,Andrew McLardy,.00,0,2
127,0,12753,David Morland IV,.00,0,2
127,0,22046,Geoff Ogilvy,.00,0,1
127,0,02099,Scott Simpson,.00,0,2
127,0,02106,Chris Smith,.00,0,3
127,0,08375,Paul Stankowski,.00,0,1
127,0,02245,Grant Waite,.00,0,1
127,0,02246,Duffy Waldorf,.00,0,3
127,0,10425,Jay Williamson,.00,0,1
127,0,20436,Garrett Willis,.00,0,1
127,0,20566,Kaname Yokoo,.00,0,1
