RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,08793,Tiger Woods,$506096,10628023
2,0,20400,Michael Campbell,$317112,1585560
3,0,01810,Phil Mickelson,$271409,5699604
4,0,06567,Vijay Singh,$267244,8017335
5,0,20157,Retief Goosen,$194116,3494105
6,0,20766,Padraig Harrington,$174382,2615731
7,0,10809,Jim Furyk,$163668,4255368
8,0,21209,Sergio Garcia,$160668,3213375
9,0,08635,Colin Montgomerie,$160344,962069
10,0,02206,David Toms,$158480,3962013
11,0,01945,Kenny Perry,$156832,3607155
12,0,06251,Chris DiMarco,$148439,3562547
13,0,06522,Ernie Els,$147925,1627183
14,0,23983,Luke Donald,$137808,2480561
15,0,24502,Adam Scott,$136434,2592255
16,0,01142,Bart Bryant,$124966,3249135
17,0,19991,Peter Hedblom,$123857,123857
18,0,19825,Darren Clarke,$122160,1465921
19,0,23541,Ben Crane,$117015,2457329
20,0,10860,Justin Leonard,$111047,2665131
21,0,01706,Davis Love III,$110782,2658779
22,0,06373,José María Olazábal,$110264,1764227
23,0,22892,Jason Gore,$108891,871135
24,0,02239,Scott Verplank,$103208,2580213
25,0,11123,Chris Couch,$96666,96666
26,0,01381,Fred Funk,$94334,2830045
27,0,23135,Tim Clark,$88847,2310037
28,0,12510,Chad Campbell,$88571,2391431
29,0,20098,Stuart Appleby,$88100,2202506
30,0,24140,Sean O'Hair,$84878,2461481
31,0,01677,Tom Lehman,$82770,1655416
32,0,01226,Fred Couples,$82008,1804178
33,0,06220,Jaxon Brigman,$81480,162961
34,0,10944,Thomas Bjørn,$81408,651267
35,0,01161,Mark Calcavecchia,$80937,2185309
36,0,06573,Brandt Jobe,$79005,2133149
37,0,12782,Tim Herron,$75126,2103550
38,0,01139,Olin Browne,$74894,2171927
39,0,22046,Geoff Ogilvy,$74295,1931676
40,0,01329,Brad Faxon,$73936,1700534
41,0,24357,K.J. Choi,$73557,1765373
42,0,25900,Lucas Glover,$73216,2050067
43,0,01766,Billy Mayfair,$72143,2236455
44,0,21961,Charles Howell III,$71528,2074329
45,0,01313,Steve Elkington,$70517,1410350
46,0,01249,John Daly,$70396,1759920
47,0,20634,Peter Lonard,$70296,1897998
48,0,06036,Scott Dunlap,$68166,204500
49,0,24507,Jason Bohn,$67448,1888567
50,0,12680,Shigeki Maruyama,$66656,1933048
51,0,20229,Stewart Cink,$66655,1733048
52,0,21959,Ted Purdy,$64657,2198368
53,0,07013,Wes Short Jr.,$64352,1029640
54,0,20433,Mark Hensby,$62506,1312636
55,0,20572,Rod Pampling,$62069,1613814
56,0,21949,Joe Ogilvie,$60651,1819547
57,0,24024,Zach Johnson,$59881,1796440
58,0,10423,Mike Weir,$59281,1363466
59,0,20094,Jonathan Kaye,$59004,1416108
60,0,25345,Carl Pettersson,$58642,1993850
61,0,01975,Tom Purtzer,$58240,58240
62,0,25572,Graeme McDowell,$58168,814359
63,0,23325,Vaughn Taylor,$57111,1827573
64,0,23688,Scott Drummond,$56946,56946
64,0,27561,Nick Flanagan,$56946,56946
64,0,26808,Tadahiro Takayama,$56946,56946
67,0,21407,Arjun Atwal,$56692,963768
68,0,20691,Greg Owen,$56369,1352878
69,0,22624,Joel Kribel,$56180,112360
70,0,22293,Heath Slocum,$55385,1606185
71,0,08123,Jeff Brehaut,$55263,1271061
72,0,01948,Tim Petrovic,$53475,1711228
73,0,27702,Matt Hendrix,$51428,51428
74,0,01941,Tom Pernice Jr.,$50251,1608056
75,0,01666,Bernhard Langer,$50128,952450
76,0,26596,Ryan Moore,$49017,686249
77,0,22405,Justin Rose,$48756,1365190
78,0,23623,Bo Van Pelt,$48669,1606081
79,0,02010,Loren Roberts,$48573,874330
80,0,24138,Ian Poulter,$47344,946890
81,0,28486,Michael Putnam,$45946,229733
82,0,24361,Pat Perez,$44931,1258087
83,0,22378,Trevor Immelman,$43919,614867
84,0,20628,Arron Oberholser,$43895,921796
85,0,08075,Jerry Kelly,$43628,1352486
86,0,01024,Billy Andrade,$43109,1120834
87,0,26420,Richard Johnson,$43085,689363
88,0,02133,Craig Stadler,$42685,256110
89,0,22348,Nick O'Hern,$42346,550501
90,0,01920,Craig Parry,$41992,629886
91,0,06621,Joe Durant,$41587,1039699
92,0,02223,Bob Tway,$41245,1072387
93,0,12823,Carlos Franco,$41170,1029266
94,0,10585,Scott McCarron,$40729,977517
95,0,23320,Ryan Palmer,$40000,1280001
96,0,06004,Stephen Ames,$39986,959664
97,0,01388,Robert Gamez,$39834,1115364
98,0,07867,Woody Austin,$39236,1177094
99,0,01968,Nick Price,$39170,626735
100,0,02104,Jeff Sluman,$38839,1087506
101,0,10885,Robert Allenby,$38208,1184457
102,0,21731,Freddie Jacobson,$37761,868525
103,0,22371,Aaron Baddeley,$37259,1006005
104,0,21753,Brian Davis,$37150,854459
105,0,01326,Nick Faldo,$36929,184649
106,0,02101,Joey Sindelar,$36559,1060237
107,0,06575,Dudley Hart,$36253,1051338
108,0,01320,Bob Estes,$35659,891477
109,0,23621,Rory Sabbatini,$35422,920987
110,0,01685,J.L. Lewis,$34371,1031158
111,0,25396,Kevin Na,$34225,1095203
112,0,21951,Joey Snyder III,$33635,1042695
113,0,20396,Lee Westwood,$33417,501267
114,0,02214,Kirk Triplett,$33230,598145
115,0,24847,Michael Harris,$32715,65430
116,0,23409,James Driscoll,$32688,849890
117,0,06595,Kevin Sutherland,$32533,845875
118,0,23349,Charles Warren,$32492,1007276
119,0,06643,Paul Goydos,$32424,486361
120,0,21805,Harrison Frazar,$32228,999082
121,0,07749,Brett Quigley,$32198,998154
122,0,01928,Corey Pavin,$32022,736506
123,0,12660,Jesper Parnevik,$30535,732844
124,0,20099,Doug Barron,$30499,731990
125,0,12602,Dean Wilson,$30440,821902
126,0,01457,Jay Haas,$30319,485109
127,0,01724,Jeff Maggert,$29751,743780
128,0,01707,Steve Lowery,$29696,950274
129,0,20645,John Senden,$29493,855324
130,0,23353,J.J. Henry,$29448,942346
131,0,23481,Marcel Siem,$29150,29150
132,0,01797,Rocco Mediate,$29010,696249
133,0,07457,Steve Flesch,$28970,869106
134,0,23788,D.J. Trahan,$28796,806304
135,0,23497,Tag Ridings,$28768,891811
136,0,20812,Tjaart van der Walt,$28634,544057
137,0,22913,John Rollins,$28404,852147
138,0,19824,Craig Barlow,$27706,720362
139,0,28118,Peter Tomasulo,$27513,55027
140,0,23614,Rich Beem,$26970,701242
141,0,24924,Bill Haas,$26597,159586
142,0,19881,Robert Damron,$26422,739835
143,0,20850,Daniel Chopra,$26275,893367
144,0,21284,Hiroyuki Fujita,$26243,26243
144,0,23624,Soren Hansen,$26243,26243
144,0,24957,Simon Khan,$26243,26243
147,0,23552,Hank Kuehne,$26227,786817
148,0,20382,Stephen Leaney,$26139,758057
149,0,21350,Ryuji Imada,$26008,650221
150,0,22621,Ben Curtis,$24777,594669
151,0,12662,Thomas Levet,$24267,485343
152,0,08537,J.P. Hayes,$24168,531704
153,0,10425,Jay Williamson,$23915,382653
154,0,24925,Jonathan Byrd,$23420,726022
155,0,20569,Richard Green,$23346,256807
156,0,12461,Paul McGinley,$23169,139017
157,0,21878,Mark Wilson,$22928,573218
158,0,06034,Marco Dawson,$22881,526264
159,0,08215,Steve Schneiter,$22300,22300
160,0,20848,Ángel Cabrera,$22002,242027
161,0,01035,Tommy Armour III,$21953,636642
162,0,01553,John Huston,$21224,657969
163,0,20378,Mathias Grönberg,$21112,401139
164,0,01261,Jay Delsing,$20986,230850
165,0,19846,Brian Gay,$20904,689861
166,0,23322,Brett Wetterich,$20572,576029
167,0,20548,Hidemichi Tanaka,$20179,686113
168,0,08385,Omar Uresti,$19934,538237
169,0,20394,Steve Webster,$19793,39586
170,0,06197,Michael Allen,$19727,591829
171,0,10733,Kent Jones,$19685,629943
172,0,27095,Nick Watney,$19528,605369
173,0,25364,Paul Casey,$19519,195192
174,0,22548,Patrick Sheehan,$19286,675037
175,0,24512,Simon Dyson,$19274,38548
176,0,22295,Darron Stiles,$19224,499826
177,0,20218,Shingo Katayama,$19204,96020
178,0,23108,Matt Kuchar,$19180,402785
179,0,19904,Paul Lawrie,$19153,19153
180,0,20121,Todd Fischer,$18974,664097
