RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,27141,J.B. Holmes,66.26,2625703,396273
2,0,30925,Dustin Johnson,66.25,2708946,408880
3,0,25804,Bubba Watson,66.15,2194239,331682
4,0,35300,Andrew Loupe,65.55,2807210,428279
5,0,29725,Tony Finau,65.03,3252426,500122
5,0,28237,Rory McIlroy,65.03,2027411,311743
7,0,27129,Luke List,64.61,2680800,414933
8,0,36689,Brooks Koepka,64.52,2489616,385872
9,0,28089,Jason Day,64.36,2259135,351011
10,0,36699,Patrick Rodgers,64.34,2921058,453993
11,0,24358,Robert Garrigus,64.16,2250375,350767
12,0,23320,Ryan Palmer,64.12,3196413,498491
13,0,46440,Smylie Kaufman,64.05,2980940,465436
13,0,29461,Jamie Lovemark,64.05,3401998,531128
15,0,33448,Justin Thomas,63.95,3082071,481973
16,0,30944,Jason Kokrak,63.90,3063784,479440
16,0,24502,Adam Scott,63.90,2310949,361632
18,0,31323,Gary Woodland,63.83,3183349,498727
19,0,24140,Sean O'Hair,63.79,3420169,536150
20,0,34264,Hudson Swafford,63.67,3730156,585821
21,0,25632,Jimmy Walker,63.64,2896698,455180
22,0,32102,Rickie Fowler,63.57,2647936,416560
23,0,32618,Rhein Gibson,63.53,1781571,280430
24,0,21961,Charles Howell III,63.51,3217244,506571
25,0,35451,Scott Pinckney,63.50,2872223,452306
26,0,27064,Jhonattan Vegas,63.38,3295553,519944
27,0,25818,Scott Piercy,63.29,2645058,417923
27,0,22405,Justin Rose,63.29,2015170,318425
29,0,33667,Carlos Ortiz,63.26,2462163,389241
30,0,33410,Andrew Landry,63.24,1324673,209452
31,0,37189,Harold Varner III,63.16,3240803,513117
32,0,37273,Derek Ernst,63.13,1728956,273863
33,0,21209,Sergio Garcia,63.12,1259356,199508
33,0,20691,Greg Owen,63.12,2778832,440271
35,0,34360,Patrick Reed,63.03,3175082,503714
36,0,34046,Jordan Spieth,63.02,2359639,374422
37,0,12716,Charley Hoffman,63.01,2879947,457059
38,0,27936,Martin Laird,62.94,2860685,454490
39,0,33204,Shane Lowry,62.92,1499327,238307
40,0,20229,Stewart Cink,62.89,1949846,310028
40,0,37455,Si Woo Kim,62.89,3980445,632939
42,0,28158,Steve Marino,62.88,2234065,355275
43,0,26331,Charl Schwartzel,62.86,2265497,360422
44,0,30692,Scott Stallings,62.85,2527170,402109
44,0,25493,Nick Taylor,62.85,2646731,421123
46,0,29518,Brendan Steele,62.83,2801591,445904
47,0,33141,Keegan Bradley,62.80,2534922,403623
47,0,28114,Dawie van der Walt,62.80,2241692,356938
49,0,34098,Russell Henley,62.77,2751974,438453
50,0,29485,Brett Stegmaier,62.72,2986872,476260
51,0,33461,Morgan Hoffmann,62.68,2357485,376140
51,0,24781,Hunter Mahan,62.68,2004397,319768
53,0,34099,Harris English,62.64,2926144,467143
54,0,34563,Chesson Hadley,62.63,2675579,427179
55,0,06522,Ernie Els,62.60,2243891,358429
56,0,25274,Steven Bowditch,62.56,2204723,352442
56,0,25686,Jason Dufner,62.56,3148264,503207
58,0,40026,Daniel Berger,62.54,2897343,463280
58,0,27436,Graham DeLaet,62.54,2341312,374373
58,0,35732,Wes Roach,62.54,1714574,274175
61,0,29720,Andres Gonzales,62.53,2544993,407008
62,0,01810,Phil Mickelson,62.52,2397713,383520
63,0,32150,Michael Thompson,62.48,2137908,342151
64,0,26289,Boo Weekley,62.45,2816557,451039
65,0,25900,Lucas Glover,62.40,2669734,427830
65,0,35879,Kelly Kraft,62.40,1787909,286522
67,0,29289,S.Y. Noh,62.39,2732080,437935
68,0,27649,Brandt Snedeker,62.36,3013524,483224
69,0,32839,Hideki Matsuyama,62.35,2343634,375913
70,0,29974,Branden Grace,62.34,1679295,269368
70,0,26300,Matt Jones,62.34,2515589,403559
72,0,25364,Paul Casey,62.28,2292293,368090
73,0,31646,Emiliano Grillo,62.25,2947260,473427
74,0,29268,Bronson Burgoon,62.23,2563138,411906
74,0,20848,Ángel Cabrera,62.23,1954836,314108
76,0,29478,Kevin Kisner,62.22,2919129,469136
76,0,33418,Shawn Stefani,62.22,3048762,489981
78,0,29479,Scott Brown,62.12,2744649,441819
79,0,23621,Rory Sabbatini,62.11,1534683,247083
80,0,27974,Sung Kang,62.07,2879843,463989
81,0,35532,Tom Hoge,62.06,2483862,400265
82,0,26851,Marc Leishman,62.04,2592404,417846
83,0,20572,Rod Pampling,62.03,1468551,236738
84,0,26329,Louis Oosthuizen,62.00,1667351,268909
84,0,34431,Robert Streb,62.00,2633960,424817
86,0,34265,Will Wilcox,61.99,2244975,362172
87,0,29221,Webb Simpson,61.98,2290263,369492
88,0,32366,Kevin Chappell,61.96,3103460,500915
88,0,37454,Whee Kim,61.96,2566457,414183
90,0,32876,Martin Piller,61.95,1859495,300137
90,0,29223,Sam Saunders,61.95,2005113,323649
92,0,31420,Anirban Lahiri,61.90,1927407,311382
92,0,06567,Vijay Singh,61.90,2560453,413649
94,0,32448,James Hahn,61.87,2785603,450210
95,0,27644,Brian Harman,61.83,3648463,590099
96,0,26951,Johnson Wagner,61.78,2988844,483807
97,0,23108,Matt Kuchar,61.77,3038918,491944
98,0,22046,Geoff Ogilvy,61.76,1972388,319355
99,0,30163,Henrik Norlander,61.74,2083633,337487
100,0,29745,Tyler Aldridge,61.73,2619185,424311
101,0,31416,Derek Fathauer,61.69,2982189,483417
101,0,23353,J.J. Henry,61.69,2414501,391408
103,0,33399,Adam Hadwin,61.65,3456837,560693
103,0,30110,Kyle Stanley,61.65,3098054,502492
105,0,22892,Jason Gore,61.63,2355539,382191
105,0,20766,Padraig Harrington,61.63,1732722,281133
105,0,31557,Jim Herman,61.63,2810133,455987
108,0,35545,Blayne Barber,61.62,2902560,471074
109,0,29420,Billy Horschel,61.61,2271874,368739
110,0,24924,Bill Haas,61.58,2533492,411405
110,0,20645,John Senden,61.58,3105751,504381
110,0,27214,Kevin Streelman,61.58,2532108,411217
113,0,35539,Luke Guthrie,61.56,1761790,286196
114,0,27747,Hiroshi Iwata,61.51,2605108,423494
115,0,25834,Daniel Summerhays,61.50,3108474,505482
116,0,33122,Russell Knox,61.49,2563326,416844
116,0,27963,Chris Stroud,61.49,2701751,439384
118,0,25892,Steve Wheatcroft,61.44,2733999,444965
119,0,20472,Alex Cejka,61.43,2006411,326605
120,0,22371,Aaron Baddeley,61.42,2945983,479614
120,0,28475,Jeff Overton,61.42,2269137,369466
122,0,28679,Fabián Gómez,61.40,2898188,472023
123,0,28132,Tyrone Van Aswegen,61.38,3429885,558780
124,0,24912,Will MacKenzie,61.37,2574910,419568
125,0,32640,Troy Merritt,61.35,2557388,416863
126,0,29926,Danny Lee,61.33,2810639,458295
127,0,33413,Ben Martin,61.32,3146684,513122
128,0,34409,David Lingmerth,61.31,2375312,387406
129,0,23325,Vaughn Taylor,61.30,2627063,428573
130,0,24494,Erik Compton,61.29,2001294,326520
130,0,39975,Michael Kim,61.29,3350347,546668
132,0,31202,William McGirt,61.28,3468953,566127
133,0,35891,Cameron Smith,61.27,1790360,292192
134,0,23638,Brendon de Jonge,61.25,2542712,415121
135,0,27895,Jonas Blixt,61.24,2638061,430795
135,0,12510,Chad Campbell,61.24,3117591,509046
137,0,32757,Patton Kizzire,61.18,2936849,480002
138,0,24846,Ricky Barnes,61.17,3105765,507690
139,0,25198,Francesco Molinari,61.14,2232196,365100
139,0,26476,Chez Reavie,61.14,2957791,483743
141,0,20157,Retief Goosen,61.12,1873705,306584
141,0,27770,Camilo Villegas,61.12,2772771,453641
143,0,29476,Kyle Reifers,61.03,3788949,620870
144,0,24461,Thomas Aiken,61.02,1858583,304582
145,0,30926,Chris Kirk,61.01,2899946,475349
146,0,34261,Scott Langley,60.98,2069650,339381
147,0,32200,Roberto Castro,60.87,3435235,564388
148,0,45526,Abraham Ancer,60.85,1465392,240807
149,0,20098,Stuart Appleby,60.78,2551591,419774
150,0,34466,Peter Malnati,60.74,2872957,472991
151,0,25349,Tim Wilkinson,60.62,1925540,317657
152,0,26596,Ryan Moore,60.58,2518401,415716
153,0,28092,D.H. Lee,60.56,1778314,293644
154,0,10885,Robert Allenby,60.53,1575683,260322
154,0,20104,Ken Duke,60.53,1843977,304618
156,0,36801,Mark Hubbard,60.50,3209912,530529
157,0,24024,Zach Johnson,60.46,2830925,468254
158,0,21731,Freddie Jacobson,60.44,2757053,456154
159,0,25572,Graeme McDowell,60.36,1745282,289136
160,0,27466,Spencer Levin,60.32,3152045,522552
161,0,25240,D.A. Points,60.31,1498986,248563
162,0,08075,Jerry Kelly,60.23,2284594,379300
163,0,27942,Rob Oppenheim,60.12,1963771,326640
164,0,33419,Cameron Tringale,60.10,2709151,450748
165,0,24490,George McNeill,60.08,1757413,292502
166,0,23800,Bryce Molder,60.06,2560530,426326
167,0,23541,Ben Crane,60.00,2519196,419858
168,0,34174,John Huh,59.95,3008761,501915
169,0,26758,David Hearn,59.93,3151230,525807
170,0,10213,Dicky Pride,59.90,1559015,260265
170,0,30927,Brendon Todd,59.90,2054530,343001
172,0,29222,Billy Hurley III,59.88,2268321,378803
173,0,24507,Jason Bohn,59.87,2254397,376539
174,0,10809,Jim Furyk,59.80,1689628,282549
175,0,25720,Chad Collins,59.70,2434313,407761
176,0,21878,Mark Wilson,59.64,2075111,347918
177,0,25396,Kevin Na,59.63,2632368,441442
178,0,40058,Zac Blair,59.59,3083228,517416
179,0,23983,Luke Donald,59.56,2243457,376668
180,0,06527,Steve Stricker,59.54,1705418,286449
181,0,31560,Brian Stuard,59.41,2289693,385394
182,0,24357,K.J. Choi,58.90,2518943,427654
183,0,30711,Colt Knost,58.79,2662808,452973
184,0,02206,David Toms,58.65,2013945,343384
185,0,34262,Jon Curran,58.60,3154454,538339
