RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,25274,Steven Bowditch,9.07,70,772,+0.400
2,0,24357,K.J. Choi,9.05,84,928,+0.179
3,0,24461,Thomas Aiken,8.98,60,668,+0.100
4,0,29223,Sam Saunders,8.73,62,710,+0.113
5,0,21731,Freddie Jacobson,8.69,87,1001,+0.034
6,0,23983,Luke Donald,8.52,70,822,+0.086
7,0,34174,John Huh,8.48,93,1097,+0.226
8,0,27747,Hiroshi Iwata,8.29,77,929,+0.195
9,0,24490,George McNeill,8.28,53,640,+0.170
10,0,30711,Colt Knost,8.06,80,992,+0.100
11,0,24846,Ricky Barnes,8.05,90,1118,+0.078
12,0,21878,Mark Wilson,7.96,61,766,+0.213
13,0,34262,Jon Curran,7.67,90,1174,+0.022
14,0,34265,Will Wilcox,7.56,60,794,+0.083
15,0,06527,Steve Stricker,7.51,47,626,+0.128
16,0,10213,Dicky Pride,7.49,43,574,-0.093
17,0,40026,Daniel Berger,7.47,75,1004,+0.013
17,0,20766,Padraig Harrington,7.47,46,616,+0.065
19,0,31416,Derek Fathauer,7.45,79,1060,+0.165
20,0,22371,Aaron Baddeley,7.35,77,1048,-0.026
21,0,29268,Bronson Burgoon,7.28,66,906,+0.106
22,0,34563,Chesson Hadley,7.19,67,932,+0.119
23,0,08075,Jerry Kelly,7.18,60,836,+0.267
24,0,02206,David Toms,7.16,54,754,-0.019
25,0,24924,Bill Haas,7.14,64,896,+0.016
26,0,28132,Tyrone Van Aswegen,7.10,87,1225,+0.080
27,0,26758,David Hearn,7.07,81,1146,+0.173
27,0,27770,Camilo Villegas,7.07,70,990,+0.329
29,0,22892,Jason Gore,7.06,59,836,+0.186
29,0,31557,Jim Herman,7.06,70,992,+0.029
31,0,20848,Ángel Cabrera,7.00,48,686,+0.188
32,0,36801,Mark Hubbard,6.99,81,1158,+0.173
32,0,32757,Patton Kizzire,6.99,73,1044,+0.233
32,0,32876,Martin Piller,6.99,46,658,+0.261
35,0,26329,Louis Oosthuizen,6.85,40,584,+0.150
36,0,25720,Chad Collins,6.82,61,894,+0.361
36,0,33667,Carlos Ortiz,6.82,58,850,+0.259
38,0,29479,Scott Brown,6.80,66,970,+0.212
39,0,29485,Brett Stegmaier,6.79,71,1046,+0.099
40,0,30926,Chris Kirk,6.76,70,1036,+0.071
41,0,20157,Retief Goosen,6.74,45,668,+0.067
42,0,27942,Rob Oppenheim,6.73,48,713,+0.167
43,0,27466,Spencer Levin,6.72,77,1146,+0.026
44,0,10809,Jim Furyk,6.66,41,616,+0.146
45,0,12510,Chad Campbell,6.62,74,1118,+0.068
46,0,30163,Henrik Norlander,6.61,49,741,+0.224
47,0,27895,Jonas Blixt,6.58,62,942,+0.258
48,0,23353,J.J. Henry,6.53,56,858,+0.179
49,0,29974,Branden Grace,6.51,38,584,-0.079
49,0,34431,Robert Streb,6.51,60,922,+0.183
51,0,25572,Graeme McDowell,6.49,41,632,-0.024
52,0,29289,S.Y. Noh,6.44,62,962,+0.145
53,0,23800,Bryce Molder,6.41,60,936,+0.067
53,0,35891,Cameron Smith,6.41,41,640,+0.146
55,0,28092,D.H. Lee,6.37,41,644,+0.171
55,0,26851,Marc Leishman,6.37,58,910,+0.052
55,0,30927,Brendon Todd,6.37,48,754,+0.229
58,0,24781,Hunter Mahan,6.32,44,696,+0.273
59,0,29518,Brendan Steele,6.31,61,966,+0.311
60,0,23621,Rory Sabbatini,6.27,34,542,+0.206
61,0,32366,Kevin Chappell,6.25,68,1088,+0.118
61,0,32640,Troy Merritt,6.25,57,912,+0.053
63,0,28679,Fabián Gómez,6.24,64,1026,+0.266
