RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,27141,J.B. Holmes,314.5,46541,148
2,0,30925,Dustin Johnson,313.6,48921,156
3,0,29725,Tony Finau,312.2,56820,182
4,0,25804,Bubba Watson,310.6,40382,130
5,0,35300,Andrew Loupe,309.3,46084,149
6,0,30944,Jason Kokrak,307.4,54711,178
7,0,27129,Luke List,306.9,47257,154
7,0,34264,Hudson Swafford,306.9,61380,200
9,0,28237,Rory McIlroy,306.8,35585,116
10,0,31323,Gary Woodland,306.1,50811,166
11,0,29461,Jamie Lovemark,304.8,55160,181
12,0,23320,Ryan Palmer,304.7,52410,172
13,0,24502,Adam Scott,304.6,41422,136
14,0,27064,Jhonattan Vegas,304.4,56616,186
15,0,28089,Jason Day,304.2,41973,138
16,0,22405,Justin Rose,303.9,37687,124
17,0,21961,Charles Howell III,303.4,52788,174
18,0,24358,Robert Garrigus,303.3,39128,129
19,0,36689,Brooks Koepka,302.6,42359,140
20,0,24140,Sean O'Hair,302.2,53787,178
20,0,29518,Brendan Steele,302.2,48355,160
22,0,37189,Harold Varner III,302.0,54967,182
23,0,32102,Rickie Fowler,301.6,44029,146
24,0,33448,Justin Thomas,301.3,53034,176
24,0,25632,Jimmy Walker,301.3,49410,164
26,0,36699,Patrick Rodgers,300.5,51088,170
27,0,33141,Keegan Bradley,300.0,46794,156
28,0,21209,Sergio Garcia,299.9,25792,86
29,0,34099,Harris English,299.2,52951,177
30,0,46440,Smylie Kaufman,299.0,52632,176
31,0,33667,Carlos Ortiz,298.9,42439,142
32,0,33204,Shane Lowry,298.7,29869,100
33,0,27936,Martin Laird,298.5,46569,156
34,0,40026,Daniel Berger,298.4,48337,162
35,0,25900,Lucas Glover,298.3,44751,150
36,0,12716,Charley Hoffman,298.2,52477,176
37,0,27436,Graham DeLaet,297.9,38728,130
37,0,25818,Scott Piercy,297.9,44680,150
39,0,20691,Greg Owen,297.7,45851,154
40,0,32618,Rhein Gibson,297.5,32126,108
41,0,34360,Patrick Reed,297.4,55324,186
42,0,20229,Stewart Cink,296.9,33842,114
43,0,35451,Scott Pinckney,296.8,48085,162
44,0,26331,Charl Schwartzel,296.7,39161,132
45,0,34563,Chesson Hadley,296.5,44174,149
46,0,32366,Kevin Chappell,296.3,52737,178
47,0,25493,Nick Taylor,296.2,44429,150
48,0,29974,Branden Grace,295.6,30742,104
48,0,34098,Russell Henley,295.6,44929,152
50,0,30692,Scott Stallings,295.5,41368,140
51,0,34046,Jordan Spieth,295.4,42543,144
52,0,29289,S.Y. Noh,295.3,47834,162
52,0,29485,Brett Stegmaier,295.3,49902,169
54,0,25364,Paul Casey,295.2,38966,132
55,0,26851,Marc Leishman,295.0,46020,156
56,0,26300,Matt Jones,294.8,42153,143
56,0,24781,Hunter Mahan,294.8,33612,114
56,0,01810,Phil Mickelson,294.8,42456,144
59,0,29720,Andres Gonzales,294.7,45980,156
59,0,33410,Andrew Landry,294.7,28876,98
59,0,35732,Wes Roach,294.7,32415,110
59,0,34431,Robert Streb,294.7,44496,151
63,0,20848,Ángel Cabrera,294.6,36530,124
63,0,37273,Derek Ernst,294.6,33585,114
65,0,32839,Hideki Matsuyama,294.5,39467,134
66,0,33461,Morgan Hoffmann,294.4,37100,126
67,0,31646,Emiliano Grillo,294.3,50626,172
68,0,26329,Louis Oosthuizen,294.0,30571,104
69,0,37455,Si Woo Kim,293.5,63684,217
70,0,25686,Jason Dufner,293.2,57471,196
71,0,29268,Bronson Burgoon,293.1,46018,157
72,0,29420,Billy Horschel,293.0,41020,140
73,0,34265,Will Wilcox,292.9,38080,130
74,0,06522,Ernie Els,292.8,36310,124
75,0,27649,Brandt Snedeker,292.6,52078,178
76,0,29479,Scott Brown,292.5,49144,168
77,0,27974,Sung Kang,292.4,50873,174
78,0,33418,Shawn Stefani,292.1,50817,174
79,0,28158,Steve Marino,292.0,39415,135
80,0,22046,Geoff Ogilvy,291.9,34439,118
81,0,29223,Sam Saunders,291.8,37940,130
82,0,22371,Aaron Baddeley,291.7,51925,178
82,0,31420,Anirban Lahiri,291.7,35587,122
84,0,26289,Boo Weekley,291.5,48383,166
85,0,32150,Michael Thompson,291.4,39340,135
86,0,32757,Patton Kizzire,291.3,51848,178
87,0,31557,Jim Herman,291.1,51815,178
88,0,32448,James Hahn,290.9,46543,160
89,0,24461,Thomas Aiken,290.5,36016,124
90,0,27895,Jonas Blixt,290.3,44126,152
91,0,28114,Dawie van der Walt,290.2,40622,140
92,0,33399,Adam Hadwin,290.1,53672,185
93,0,35879,Kelly Kraft,289.8,33906,117
93,0,06567,Vijay Singh,289.8,41732,144
95,0,27644,Brian Harman,289.7,57648,199
95,0,20645,John Senden,289.7,47215,163
97,0,35545,Blayne Barber,289.6,46331,160
97,0,24924,Bill Haas,289.6,47495,164
97,0,20766,Padraig Harrington,289.6,28960,100
100,0,35532,Tom Hoge,289.5,44584,154
101,0,26951,Johnson Wagner,289.4,49779,172
102,0,35539,Luke Guthrie,289.3,31822,110
103,0,22892,Jason Gore,289.2,40486,140
104,0,27214,Kevin Streelman,289.1,47406,164
105,0,28679,Fabián Gómez,289.0,45664,158
105,0,29478,Kevin Kisner,289.0,49704,172
107,0,25274,Steven Bowditch,288.9,36398,126
