RANK,MOVEMENT,PLAYER_ID,PLAYER,%
1,0,08793,Tiger Woods,94.44
2,0,23349,Charles Warren,86.67
3,0,01928,Corey Pavin,80.00
4,0,01666,Bernhard Langer,78.57
5,0,23541,Ben Crane,77.78
6,0,08931,Glen Day,76.92
7,0,06567,Vijay Singh,76.00
8,0,22371,Aaron Baddeley,75.00
8,0,01927,Dennis Paulson,75.00
10,0,20691,Greg Owen,73.68
11,0,20094,Jonathan Kaye,73.33
11,0,25396,Kevin Na,73.33
11,0,25240,D.A. Points,73.33
14,0,01320,Bob Estes,72.73
15,0,01226,Fred Couples,71.43
15,0,01329,Brad Faxon,71.43
17,0,01219,John Cook,70.00
17,0,12645,Brent Geiberger,70.00
17,0,20766,Padraig Harrington,70.00
17,0,21961,Charles Howell III,70.00
17,0,02010,Loren Roberts,70.00
17,0,23325,Vaughn Taylor,70.00
23,0,10885,Robert Allenby,68.75
23,0,01797,Rocco Mediate,68.75
23,0,23497,Tag Ridings,68.75
23,0,08385,Omar Uresti,68.75
27,0,01810,Phil Mickelson,68.42
28,0,24925,Jonathan Byrd,68.18
28,0,06573,Brandt Jobe,68.18
28,0,12680,Shigeki Maruyama,68.18
31,0,06197,Michael Allen,66.67
31,0,01175,Jim Carter,66.67
31,0,01313,Steve Elkington,66.67
31,0,01361,Dan Forsman,66.67
31,0,19846,Brian Gay,66.67
31,0,26420,Richard Johnson,66.67
31,0,01706,Davis Love III,66.67
31,0,21949,Joe Ogilvie,66.67
31,0,02223,Bob Tway,66.67
31,0,20812,Tjaart van der Walt,66.67
41,0,01139,Olin Browne,65.00
41,0,23353,J.J. Henry,65.00
43,0,01948,Tim Petrovic,64.71
44,0,20229,Stewart Cink,63.64
44,0,01577,Lee Janzen,63.64
44,0,10425,Jay Williamson,63.64
47,0,23614,Rich Beem,62.50
47,0,19881,Robert Damron,62.50
47,0,25900,Lucas Glover,62.50
47,0,20157,Retief Goosen,62.50
47,0,08545,Glen Hnatiuk,62.50
47,0,10860,Justin Leonard,62.50
53,0,12510,Chad Campbell,61.90
54,0,08123,Jeff Brehaut,61.54
54,0,23552,Hank Kuehne,61.54
54,0,06373,José María Olazábal,61.54
54,0,10423,Mike Weir,61.54
58,0,06575,Dudley Hart,61.11
58,0,02206,David Toms,61.11
60,0,22293,Heath Slocum,60.87
61,0,01553,John Huston,60.00
61,0,08075,Jerry Kelly,60.00
61,0,21951,Joey Snyder III,60.00
61,0,26679,Kevin Stadler,60.00
61,0,20548,Hidemichi Tanaka,60.00
66,0,01381,Fred Funk,59.09
66,0,10809,Jim Furyk,59.09
66,0,12782,Tim Herron,59.09
69,0,24290,D.J. Brigman,58.33
69,0,01941,Tom Pernice Jr.,58.33
69,0,21878,Mark Wilson,58.33
72,0,01142,Bart Bryant,57.89
73,0,23135,Tim Clark,57.14
73,0,01677,Tom Lehman,57.14
75,0,01024,Billy Andrade,56.25
75,0,06251,Chris DiMarco,56.25
75,0,06621,Joe Durant,56.25
75,0,21209,Sergio Garcia,56.25
79,0,07223,Brian Bateman,55.56
79,0,24507,Jason Bohn,55.56
79,0,10117,Bob Heintz,55.56
79,0,06332,Neal Lancaster,55.56
79,0,01766,Billy Mayfair,55.56
84,0,20099,Doug Barron,54.55
84,0,23409,James Driscoll,54.55
84,0,10201,Matt Gogel,54.55
84,0,22405,Justin Rose,54.55
84,0,22548,Patrick Sheehan,54.55
89,0,01157,Tom Byrum,53.33
89,0,21753,Brian Davis,53.33
91,0,12652,Cameron Beckman,52.94
92,0,01685,J.L. Lewis,52.63
92,0,24781,Hunter Mahan,52.63
94,0,21805,Harrison Frazar,52.38
94,0,25345,Carl Pettersson,52.38
96,0,20098,Stuart Appleby,50.00
96,0,24227,Justin Bolli,50.00
96,0,01127,Danny Briggs,50.00
96,0,23983,Luke Donald,50.00
96,0,06599,John Elliott,50.00
96,0,20121,Todd Fischer,50.00
96,0,08725,Tom Gillis,50.00
96,0,24980,Scott Gutschewski,50.00
96,0,01473,Todd Hamilton,50.00
96,0,08537,J.P. Hayes,50.00
96,0,10962,Bradley Hughes,50.00
96,0,24024,Zach Johnson,50.00
96,0,23725,Brendan Jones,50.00
96,0,01619,Skip Kendall,50.00
96,0,20382,Stephen Leaney,50.00
96,0,20502,Michael Long,50.00
96,0,24140,Sean O'Hair,50.00
96,0,20628,Arron Oberholser,50.00
96,0,20663,Brenden Pappas,50.00
96,0,02104,Jeff Sluman,50.00
96,0,02239,Scott Verplank,50.00
117,0,01035,Tommy Armour III,47.83
