RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,08793,Tiger Woods,82.58,365,442
2,0,24502,Adam Scott,82.17,484,589
3,0,23353,J.J. Henry,81.62,635,778
4,0,06350,Bob May,80.68,430,533
5,0,20645,John Senden,80.55,679,843
6,0,24912,Will MacKenzie,80.52,620,770
7,0,25804,Bubba Watson,80.21,454,566
8,0,02106,Chris Smith,80.03,493,616
9,0,21646,David Branshaw,80.00,744,930
10,0,19824,Craig Barlow,79.90,473,592
10,0,24925,Jonathan Byrd,79.90,469,587
12,0,22378,Trevor Immelman,79.87,595,745
13,0,01677,Tom Lehman,79.76,406,509
14,0,20105,Jeff Gove,79.75,634,795
15,0,06515,Shaun Micheel,79.72,637,799
16,0,20157,Retief Goosen,79.58,382,480
17,0,27141,J.B. Holmes,79.25,462,583
18,0,12716,Charley Hoffman,79.19,628,793
19,0,21878,Mark Wilson,79.07,563,712
20,0,24357,K.J. Choi,79.04,660,835
21,0,20628,Arron Oberholser,79.02,546,691
22,0,01810,Phil Mickelson,78.94,446,565
22,0,06567,Vijay Singh,78.94,656,831
24,0,07749,Brett Quigley,78.86,679,861
25,0,06004,Stephen Ames,78.75,430,546
26,0,20229,Stewart Cink,78.66,575,731
27,0,06522,Ernie Els,78.60,404,514
28,0,10809,Jim Furyk,78.40,715,912
29,0,02101,Joey Sindelar,78.37,645,823
29,0,06527,Steve Stricker,78.37,453,578
31,0,20094,Jonathan Kaye,78.21,657,840
32,0,08835,Kris Cox,78.18,523,669
33,0,01666,Bernhard Langer,78.12,489,626
34,0,06595,Kevin Sutherland,77.96,672,862
35,0,28475,Jeff Overton,77.68,588,757
36,0,01320,Bob Estes,77.65,587,756
37,0,23983,Luke Donald,77.59,457,589
37,0,01619,Skip Kendall,77.59,561,723
39,0,22913,John Rollins,77.55,632,815
40,0,24024,Zach Johnson,77.54,663,855
41,0,21959,Ted Purdy,77.53,721,930
42,0,12510,Chad Campbell,77.52,562,725
43,0,01313,Steve Elkington,77.48,406,524
44,0,06573,Brandt Jobe,77.47,581,750
45,0,07223,Brian Bateman,77.45,419,541
46,0,25900,Lucas Glover,77.44,697,900
47,0,27120,Troy Matteson,77.42,648,837
48,0,20631,David McKenzie,77.36,581,751
49,0,27095,Nick Watney,77.26,632,818
50,0,24358,Robert Garrigus,77.22,512,663
51,0,10423,Mike Weir,77.21,586,759
52,0,25842,Jon Mills,77.19,406,526
53,0,01945,Kenny Perry,77.10,532,690
54,0,10885,Robert Allenby,77.08,575,746
54,0,20472,Alex Cejka,77.08,649,842
