RANK,MOVEMENT,PLAYER_ID,PLAYER,CMB RANK/FEDEX MOVEMENT,OTT RANK/PREV FEDEX RANK,PUTT RANK/CUR FEDEX RANK
1,13,52372,Cameron Champ,1,1.119,0
2,29,34360,Patrick Reed,2,.732,0
3,3,45486,Joaquin Niemann,3,.706,0
4,4,28237,Rory McIlroy,4,.564,0
5,28,48081,Xander Schauffele,5,.545,0
6,13,33448,Justin Thomas,6,.538,0
7,-5,30925,Dustin Johnson,7,.477,0
8,14,34363,Tyrrell Hatton,8,.445,0
9,17,35310,Lanto Griffin,9,.420,0
10,-3,46970,Jon Rahm,10,.412,0
11,40,50525,Collin Morikawa,11,.389,0
12,26,46717,Viktor Hovland,12,.341,0
13,1,46046,Scottie Scheffler,13,.284,0
14,7,48822,Sebastián Muñoz,14,.258,0
15,0,29221,Webb Simpson,15,.254,0
16,14,47959,Bryson DeChambeau,16,.136,0
17,24,39971,Sungjae Im,17,.079,0
18,28,23320,Ryan Palmer,18,.024,0
19,9,45526,Abraham Ancer,19,-.005,0
20,20,30927,Brendon Todd,20,-.044,0
21,-10,32839,Hideki Matsuyama,21,-.178,0
22,1,29725,Tony Finau,22,-.444,0
23,11,29420,Billy Horschel,23,-.522,0
24,24,35506,Mackenzie Hughes,24,-.725,0
25,33,25396,Kevin Na,25,-.762,0
26,-16,40026,Daniel Berger,26,-.832,0
27,16,29478,Kevin Kisner,27,-.916,0
28,33,26851,Marc Leishman,28,-1.049,0
29,-4,34099,Harris English,29,-1.091,0
30,24,35891,Cameron Smith,30,-1.153,0
