RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,23135,Tim Clark,37' 1",76,2816.083,+9.00
1,0,01320,Bob Estes,37' 1",108,4004.667,+9.00
3,0,06522,Ernie Els,37' 6",73,2737.083,+11.00
4,0,01388,Robert Gamez,37' 8",84,3165.250,+22.00
5,0,20104,Ken Duke,38' 2",114,4354.500,-3.00
6,0,07363,Craig Bowden,38' 3",98,3750.250,+8.00
7,0,29476,Kyle Reifers,38' 4",99,3797.167,+17.00
8,0,22913,John Rollins,38' 6",117,4509.167,+13.00
9,0,10117,Bob Heintz,38' 9",132,5111.750,+19.00
9,0,21660,Jason Schultz,38' 9",78,3020.500,+9.00
11,0,23983,Luke Donald,38' 10",70,2720.833,+8.00
12,0,25892,Steve Wheatcroft,39' 2",91,3562.583,+22.00
13,0,21961,Charles Howell III,39' 3",149,5847.167,+18.00
14,0,21528,Henrik Stenson,39' 4",63,2477.583,+6.00
15,0,02206,David Toms,39' 5",94,3707.500,+12.00
16,0,25273,Andrew Buckle,39' 9",119,4731.750,+21.00
16,0,26679,Kevin Stadler,39' 9",159,6320.417,+25.00
18,0,19972,José Coceres,40' 1",45,1802.583,+12.00
19,0,26881,Jarrod Lyle,40' 2",112,4502.333,+13.00
19,0,23788,D.J. Trahan,40' 2",134,5381.500,+27.00
21,0,02239,Scott Verplank,40' 3",69,2779.750,+3.00
22,0,24507,Jason Bohn,40' 4",89,3591.000,+5.00
23,0,01035,Tommy Armour III,40' 5",95,3842.917,+15.00
24,0,20859,Anders Hansen,40' 6",57,2308.167,+17.00
25,0,01473,Todd Hamilton,40' 10",91,3718.750,+21.00
25,0,22293,Heath Slocum,40' 10",118,4821.750,+5.00
27,0,28486,Michael Putnam,41' 1",155,6364.667,+23.00
27,0,06567,Vijay Singh,41' 1",147,6043.583,+16.00
29,0,08537,J.P. Hayes,41' 2",132,5432.167,+8.00
29,0,27141,J.B. Holmes,41' 2",142,5840.917,+16.00
29,0,26420,Richard Johnson,41' 2",142,5843.417,+28.00
32,0,27963,Chris Stroud,41' 4",76,3142.250,+15.00
33,0,21646,David Branshaw,41' 5",118,4889.833,+40.00
33,0,07457,Steve Flesch,41' 5",140,5801.250,+20.00
33,0,11032,Frank Lickliter II,41' 5",119,4927.583,+19.00
36,0,10213,Dicky Pride,41' 6",87,3607.583,+25.00
37,0,21209,Sergio Garcia,41' 8",133,5545.750,+4.00
37,0,21806,Paul Gow,41' 8",83,3457.583,+17.00
37,0,22212,Craig Lile,41' 8",108,4502.583,+22.00
37,0,25190,Jeff Quinney,41' 8",110,4584.917,+27.00
37,0,24457,Jaco Van Zyl,41' 8",83,3455.250,+20.00
42,0,19803,Ryan Armour,41' 10",124,5188.500,+27.00
42,0,23933,Michael Boyd,41' 10",82,3431.333,+11.00
42,0,20766,Padraig Harrington,41' 10",111,4645.500,-4.00
42,0,26289,Boo Weekley,41' 10",133,5561.167,+24.00
46,0,01132,Mark Brooks,41' 11",59,2475.417,+20.00
46,0,01945,Kenny Perry,41' 11",127,5319.333,+17.00
46,0,20160,Charlie Wi,41' 11",125,5239.417,+16.00
49,0,24361,Pat Perez,42' 0",118,4955.417,+24.00
50,0,10885,Robert Allenby,42' 1",136,5722.667,+12.00
50,0,21753,Brian Davis,42' 1",99,4167.333,+13.00
52,0,20850,Daniel Chopra,42' 2",192,8093.083,+13.00
52,0,25345,Carl Pettersson,42' 2",168,7087.583,+16.00
54,0,12652,Cameron Beckman,42' 3",121,5110.000,+10.00
54,0,06515,Shaun Micheel,42' 3",100,4224.417,+18.00
54,0,22348,Nick O'Hern,42' 3",114,4813.417,+25.00
54,0,02101,Joey Sindelar,42' 3",102,4309.917,+13.00
54,0,12714,Chris Tidland,42' 3",79,3338.667,+9.00
59,0,12782,Tim Herron,42' 4",104,4406.500,+25.00
59,0,20645,John Senden,42' 4",128,5418.667,+17.00
61,0,02223,Bob Tway,42' 5",198,8403.583,+13.00
