RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,28237,Rory McIlroy,$1905609,2344609
2,0,19825,Darren Clarke,$1452078,1491328
3,0,20396,Lee Westwood,$970446,1306946
4,0,34021,Bud Cauley,$735150,735150
5,0,20859,Anders Hansen,$617067,1195567
6,0,33399,Adam Hadwin,$440752,440752
7,0,22792,Peter Hanson,$439030,610780
8,0,10944,Thomas Bjørn,$419489,626739
9,0,23814,Edoardo Molinari,$397724,619224
10,0,27072,Alvaro Quiros,$363567,495317
11,0,27408,Martin Kaymer,$344209,1339959
12,0,28258,K.T. Kim,$291309,601809
13,0,20832,Raphael Jacquelin,$209745,209745
14,0,24512,Simon Dyson,$185833,250333
15,0,27896,Ross Fisher,$163385,299885
16,0,25198,Francesco Molinari,$158387,763887
17,0,30852,Ryo Ishikawa,$143636,580136
18,0,21284,Hiroyuki Fujita,$136800,223300
19,0,27088,Johan Edfors,$136155,136155
20,0,33199,Matteo Manassero,$133283,331783
21,0,19958,Miguel Angel Jiménez,$132723,486223
22,0,29223,Sam Saunders,$132525,132525
23,0,29289,S.Y. Noh,$119070,207070
24,0,26539,Robert Rock,$112757,112757
25,0,28937,George Coetzee,$109713,109713
26,0,28307,Matt Every,$105122,105122
27,0,24494,Erik Compton,$95542,95542
28,0,20569,Richard Green,$90352,193852
29,0,26908,Yuta Ikeda,$71647,198647
30,0,22896,Grégory Havret,$71007,71007
31,0,33461,Morgan Hoffmann,$69131,69131
32,0,29670,Pablo Larrazabal,$68634,105634
33,0,27349,Alex Noren,$64708,111208
34,0,29780,Do-Hoon Kim,$50436,50436
35,0,20378,Mathias Grönberg,$42000,42000
36,0,28259,Sangmoon Bae,$37351,37351
37,0,31640,Gary Boyd,$36302,36302
37,0,24957,Simon Khan,$36302,36302
39,0,07707,Mike Small,$27152,27152
40,0,26525,Grégory Bourdy,$23556,23556
40,0,27910,Floris De Vries,$23556,23556
40,0,25948,Richard McEvoy,$23556,23556
43,0,21207,José Manuel Lara,$23526,23526
44,0,27302,Garth Mulroy,$20800,20800
45,0,20367,Fredrik Andersson Hed,$20571,20571
45,0,20376,Stephen Gallacher,$20571,20571
47,0,34360,Patrick Reed,$20058,20058
48,0,28300,Joost Luiten,$19845,19845
48,0,24077,Matthew Millar,$19845,19845
50,0,23481,Marcel Siem,$19763,19763
51,0,19904,Paul Lawrie,$19442,19442
52,0,21461,Kenneth Ferrie,$18877,18877
53,0,34554,Jung-gon Hwang,$18716,18716
54,0,31114,Drew Weaver,$17732,17732
55,0,26500,Alejandro Cañizares,$17469,17469
56,0,26949,Josh Broadaway,$17357,17357
57,0,25109,Christo Greyling,$17178,17178
57,0,20940,Kenichi Kuboya,$17178,17178
59,0,24219,Wes Heffernan,$16539,16539
60,0,20574,Mathew Goggin,$16157,16157
61,0,32874,Erick Justesen,$16088,16088
62,0,24748,WC Liang,$15593,15593
63,0,28308,Troy Kelly,$13542,13542
64,0,21633,Steve Allan,$13380,13380
65,0,20121,Todd Fischer,$12900,12900
66,0,29222,Billy Hurley III,$12780,12780
67,0,07363,Craig Bowden,$11864,11864
68,0,28455,Will Claxton,$11275,11275
69,0,30191,Julián Etulain,$11261,11261
69,0,27037,Sal Spallone,$11261,11261
71,0,31115,Michio Matsumura,$10395,10395
72,0,29740,Brad Fritsch,$10348,10348
73,0,27386,Dustin Risdon,$10192,10192
74,0,27399,Richard Scott,$8400,8400
75,0,29546,Dave Schultz,$7035,7035
76,0,06350,Bob May,$6690,6690
77,0,25936,Alex Aragon,$5760,5760
