RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,0,02267,D.A. Weibring,19.01,165,868
2,0,01876,Greg Norman,18.34,117,638
3,0,10809,Jim Furyk,18.33,191,1042
4,0,01905,Joe Ozaki,18.29,120,656
5,0,02099,Scott Simpson,18.11,169,933
6,0,01707,Steve Lowery,18.10,204,1127
7,0,02239,Scott Verplank,18.07,163,902
8,0,02214,Kirk Triplett,17.95,187,1042
9,0,01810,Phil Mickelson,17.93,151,842
10,0,01418,Bill Glasson,17.85,138,773
11,0,01724,Jeff Maggert,17.84,154,863
12,0,06034,Marco Dawson,17.60,148,841
13,0,09011,David Duval,17.53,165,941
14,0,01706,Davis Love III,17.46,166,951
15,0,10860,Justin Leonard,17.35,202,1164
16,0,01971,Dillard Pruitt,17.31,140,809
17,0,01201,Lennie Clements,17.29,167,966
18,0,01975,Tom Purtzer,17.28,104,602
19,0,01161,Mark Calcavecchia,17.05,191,1120
20,0,06527,Steve Stricker,17.03,147,863
21,0,01006,John Adams,16.97,141,831
22,0,10585,Scott McCarron,16.96,136,802
23,0,01142,Bart Bryant,16.94,143,844
24,0,02101,Joey Sindelar,16.87,125,741
25,0,01385,Jim Gallagher Jr.,16.84,177,1051
26,0,01960,Don Pooley,16.79,136,810
27,0,02223,Bob Tway,16.76,171,1020
28,0,02321,Fuzzy Zoeller,16.75,97,579
29,0,01185,Brandel Chamblee,16.71,131,784
30,0,01203,Russ Cochran,16.67,138,828
31,0,02010,Loren Roberts,16.65,146,877
32,0,01887,Mark O'Meara,16.63,170,1022
33,0,02170,Hal Sutton,16.60,159,958
34,0,06522,Ernie Els,16.57,110,664
34,0,06575,Dudley Hart,16.57,165,996
36,0,01381,Fred Funk,16.51,193,1169
37,0,02049,Gene Sauers,16.44,133,809
38,0,01633,Tom Kite,16.40,151,921
39,0,06090,Jim McGovern,16.37,166,1014
39,0,01945,Kenny Perry,16.37,164,1002
41,0,01156,Curt Byrum,16.34,181,1108
42,0,01599,Steve Jones,16.31,137,840
43,0,02146,Payne Stewart,16.30,171,1049
44,0,01938,David Peoples,16.29,86,528
45,0,01527,Scott Hoch,16.28,174,1069
46,0,01320,Bob Estes,16.27,159,977
47,0,01132,Mark Brooks,16.26,158,972
47,0,08337,Mike Heinen,16.26,148,910
49,0,01968,Nick Price,16.25,118,726
50,0,02245,Grant Waite,16.21,142,876
51,0,01098,Jay Don Blake,16.18,144,890
52,0,01475,Donnie Hammond,16.11,136,844
53,0,01226,Fred Couples,16.07,90,560
54,0,02246,Duffy Waldorf,15.92,149,936
55,0,06124,Patrick Burke,15.91,122,767
56,0,06643,Paul Goydos,15.88,182,1146
57,0,02104,Jeff Sluman,15.87,167,1052
58,0,01388,Robert Gamez,15.85,136,858
59,0,02256,Tom Watson,15.84,96,606
60,0,01143,Brad Bryant,15.79,157,994
61,0,01766,Billy Mayfair,15.78,166,1052
62,0,01329,Brad Faxon,15.76,145,920
63,0,01577,Lee Janzen,15.74,162,1029
64,0,02180,Harry Taylor,15.73,140,890
65,0,01701,Bob Lohr,15.71,156,993
66,0,01024,Billy Andrade,15.68,149,950
67,0,01607,Brian Kamm,15.63,145,928
68,0,01553,John Huston,15.61,133,852
69,0,01331,Rick Fehr,15.57,123,790
70,0,01549,Mike Hulbert,15.53,164,1056
71,0,01313,Steve Elkington,15.49,121,781
72,0,02225,Howard Twitty,15.45,138,893
73,0,01116,Michael Bradley,15.41,143,928
74,0,01326,Nick Faldo,15.37,121,787
74,0,06577,John Wilson,15.37,150,976
76,0,01619,Skip Kendall,15.35,152,990
77,0,01040,Emlyn Aubrey,15.32,137,894
77,0,06214,Guy Boros,15.32,156,1018
79,0,07867,Woody Austin,15.29,183,1197
79,0,01374,Robin Freeman,15.29,156,1020
81,0,02159,Curtis Strange,15.26,134,878
82,0,01060,Dave Barr,15.25,124,813
83,0,01361,Dan Forsman,15.22,121,795
84,0,01783,Mark McCumber,15.17,108,712
85,0,10569,Mike Brisky,15.16,138,910
86,0,01408,Kelly Gibson,15.15,158,1043
87,0,01510,Nolan Henke,15.14,126,832
88,0,20094,Jonathan Kaye,15.12,101,668
89,0,01569,Peter Jacobsen,15.11,150,993
90,0,01093,Ronnie Black,15.10,141,934
91,0,12660,Jesper Parnevik,15.09,104,689
92,0,06617,Brian Henninger,15.01,124,826
93,0,01920,Craig Parry,14.95,119,796
94,0,08931,Glen Day,14.93,142,951
94,0,10215,Charlie Rymer,14.93,116,777
96,0,20051,Joe Acosta Jr.,14.91,113,758
96,0,01682,Wayne Levi,14.91,78,523
98,0,06332,Neal Lancaster,14.85,139,936
99,0,01219,John Cook,14.81,132,891
99,0,06315,Pete Jordan,14.81,92,621
101,0,01797,Rocco Mediate,14.80,78,527
102,0,01925,Jerry Pate,14.79,108,730
103,0,20095,Carl Paulson,14.77,95,643
104,0,01677,Tom Lehman,14.76,103,698
104,0,08563,Bruce Vaughan,14.76,142,962
106,0,01891,David Ogrin,14.74,139,943
107,0,02279,Mark Wiebe,14.71,99,673
