RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST OF APPR SHOT,TOTAL HOLES
1,0,35617,Martin Trainer,160.8,5156242.000,891
2,0,30786,Brady Schnell,161.2,4043927.000,697
3,0,33486,Roger Sloan,161.8,7274278.000,1249
4,0,30946,Alex Prugh,161.9,5926961.000,1017
5,0,39327,Ben Silverman,162.6,5816885.000,994
6,0,34466,Peter Malnati,162.9,7988123.000,1362
7,0,39975,Michael Kim,163.0,4711016.000,803
8,0,39997,Corey Conners,163.1,7243564.000,1234
9,0,19846,Brian Gay,163.2,7549634.000,1285
10,0,46601,Trey Mullinax,163.9,6621839.000,1122
10,0,27556,Ted Potter Jr.,163.9,6308014.000,1069
10,0,27330,Josh Teater,163.9,5599661.000,949
13,0,27141,J.B. Holmes,164.0,5055164.000,856
14,0,24925,Jonathan Byrd,164.2,3806179.000,644
14,0,32058,José de Jesús Rodríguez,164.2,5165395.000,874
16,0,19803,Ryan Armour,164.3,7927449.000,1340
16,0,34563,Chesson Hadley,164.3,6317297.000,1068
16,0,47990,Kyle Jones,164.3,5732715.000,969
16,0,47856,Seth Reeves,164.3,5579131.000,943
16,0,23325,Vaughn Taylor,164.3,8627641.000,1459
21,0,27095,Nick Watney,164.4,7272340.000,1229
22,0,30191,Julián Etulain,164.5,5405990.000,913
22,0,29223,Sam Saunders,164.5,7074754.000,1195
24,0,24781,Hunter Mahan,164.6,4942250.000,834
24,0,32333,Kevin Tway,164.6,7111796.000,1200
26,0,35421,Brandon Harkins,164.7,7274526.000,1227
26,0,29420,Billy Horschel,164.7,7321748.000,1235
26,0,31560,Brian Stuard,164.7,8177219.000,1379
29,0,45157,Cam Davis,164.8,6039221.000,1018
30,0,34261,Scott Langley,164.9,6810924.000,1147
30,0,28775,Nate Lashley,164.9,5840500.000,984
30,0,40115,Adam Svensson,164.9,5835241.000,983
33,0,29268,Bronson Burgoon,165.0,4960214.000,835
33,0,52372,Cameron Champ,165.0,7217208.000,1215
33,0,29484,Peter Uihlein,165.0,6166905.000,1038
36,0,39954,Cody Gribble,165.1,6123658.000,1030
36,0,35461,Beau Hossler,165.1,7181924.000,1208
36,0,33410,Andrew Landry,165.1,6870969.000,1156
36,0,36699,Patrick Rodgers,165.1,4759762.000,801
40,0,31420,Anirban Lahiri,165.2,6227670.000,1047
41,0,25686,Jason Dufner,165.3,6052621.000,1017
41,0,32640,Troy Merritt,165.3,5939119.000,998
43,0,20472,Alex Cejka,165.4,4252167.000,714
43,0,45486,Joaquin Niemann,165.4,8509776.000,1429
45,0,47347,Adam Schenk,165.6,8744399.000,1467
46,0,29518,Brendan Steele,165.7,5434523.000,911
47,0,49303,Anders Albertson,165.8,5575985.000,934
47,0,06522,Ernie Els,165.8,3194038.000,535
47,0,34256,Andrew Putnam,165.8,5973201.000,1001
47,0,37340,Chase Wright,165.8,6086483.000,1020
51,0,51766,Wyndham Clark,165.9,7726116.000,1294
51,0,12716,Charley Hoffman,165.9,4975449.000,833
51,0,33122,Russell Knox,165.9,6302180.000,1055
51,0,25493,Nick Taylor,165.9,9188068.000,1538
51,0,37189,Harold Varner III,165.9,7906056.000,1324
56,0,35376,Roberto Díaz,166.0,5439069.000,910
57,0,46523,Joey Garber,166.1,4591212.000,768
57,0,25818,Scott Piercy,166.1,7469356.000,1249
57,0,46501,Ollie Schniederjans,166.1,6495285.000,1086
60,0,47504,Sam Burns,166.2,7244627.000,1211
60,0,37380,Curtis Luck,166.2,4655840.000,778
60,0,28252,Seamus Power,166.2,6556159.000,1096
63,0,40009,Dominic Bozzelli,166.3,5225160.000,873
63,0,27963,Chris Stroud,166.3,5561623.000,929
63,0,34264,Hudson Swafford,166.3,5022607.000,839
66,0,34076,Joel Dahmen,166.4,8116726.000,1355
66,0,45609,Tyler Duncan,166.4,6944043.000,1159
68,0,25572,Graeme McDowell,166.5,5357302.000,894
68,0,33419,Cameron Tringale,166.5,5460491.000,911
70,0,22371,Aaron Baddeley,166.6,4480947.000,747
70,0,21731,Freddie Jacobson,166.6,4275007.000,713
72,0,31557,Jim Herman,166.7,4074013.000,679
72,0,35449,Adam Long,166.7,7255697.000,1209
74,0,45526,Abraham Ancer,166.8,7635830.000,1272
