RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,22371,Aaron Baddeley,44.44,536,1206
2,0,06527,Steve Stricker,43.65,440,1008
3,0,20127,Chris Riley,43.52,705,1620
4,0,20229,Stewart Cink,42.72,769,1800
5,0,20593,Greg Chalmers,42.63,729,1710
6,0,10860,Justin Leonard,42.59,575,1350
7,0,06643,Paul Goydos,42.57,636,1494
8,0,10585,Scott McCarron,42.39,618,1458
8,0,10107,Deane Pappas,42.39,557,1314
10,0,01378,David Frost,42.29,609,1440
11,0,22046,Geoff Ogilvy,42.21,623,1476
12,0,19846,Brian Gay,42.04,734,1746
13,0,20098,Stuart Appleby,41.90,641,1530
14,0,20436,Garrett Willis,41.78,722,1728
15,0,01024,Billy Andrade,41.56,748,1800
16,0,20572,Rod Pampling,41.50,620,1494
17,0,10423,Mike Weir,41.41,559,1350
18,0,10201,Matt Gogel,41.32,543,1314
19,0,22892,Jason Gore,41.30,617,1494
20,0,01941,Tom Pernice Jr.,41.29,758,1836
21,0,01619,Skip Kendall,41.21,816,1980
22,0,01161,Mark Calcavecchia,41.14,622,1512
23,0,12782,Tim Herron,41.11,740,1800
24,0,25345,Carl Pettersson,41.00,583,1422
25,0,06567,Vijay Singh,40.96,752,1836
26,0,20121,Todd Fischer,40.94,700,1710
27,0,06617,Brian Henninger,40.87,412,1008
28,0,12645,Brent Geiberger,40.85,375,918
29,0,02010,Loren Roberts,40.83,632,1548
30,0,01761,Len Mattiace,40.74,682,1674
31,0,20573,Scott Laycock,40.66,505,1242
32,0,24925,Jonathan Byrd,40.65,739,1818
33,0,08793,Tiger Woods,40.60,497,1224
34,0,01457,Jay Haas,40.56,606,1494
35,0,01226,Fred Couples,40.55,489,1206
36,0,06004,Stephen Ames,40.51,649,1602
37,0,01329,Brad Faxon,40.47,692,1710
38,0,06251,Chris DiMarco,40.44,677,1674
39,0,02239,Scott Verplank,40.34,697,1728
40,0,12602,Dean Wilson,40.31,595,1476
41,0,24361,Pat Perez,40.26,674,1674
42,0,01928,Corey Pavin,40.25,623,1548
43,0,20568,Anthony Painter,40.13,614,1530
44,0,20099,Doug Barron,40.09,635,1584
45,0,01810,Phil Mickelson,40.07,577,1440
45,0,22548,Patrick Sheehan,40.07,714,1782
47,0,01388,Robert Gamez,40.01,821,2052
47,0,08537,J.P. Hayes,40.01,569,1422
49,0,20628,Arron Oberholser,40.00,576,1440
50,0,22913,John Rollins,39.87,610,1530
51,0,23541,Ben Crane,39.86,660,1656
52,0,01553,John Huston,39.85,538,1350
52,0,25031,Andy Miller,39.85,538,1350
52,0,01948,Tim Petrovic,39.85,746,1872
55,0,20940,Kenichi Kuboya,39.83,638,1602
56,0,19881,Robert Damron,39.81,688,1728
57,0,01724,Jeff Maggert,39.78,580,1458
57,0,26489,Cameron Yancey,39.78,401,1008
59,0,07749,Brett Quigley,39.77,630,1584
60,0,01968,Nick Price,39.61,442,1116
61,0,12661,Todd Barranger,39.48,533,1350
62,0,01132,Mark Brooks,39.46,618,1566
63,0,08931,Glen Day,39.38,716,1818
64,0,12680,Shigeki Maruyama,39.35,602,1530
65,0,19824,Craig Barlow,39.31,658,1674
65,0,10912,Craig Perks,39.31,559,1422
67,0,01157,Tom Byrum,39.29,686,1746
68,0,19825,Darren Clarke,39.20,381,972
69,0,06575,Dudley Hart,39.14,465,1188
70,0,12652,Cameron Beckman,39.09,584,1494
71,0,23983,Luke Donald,39.08,619,1584
72,0,11032,Frank Lickliter II,39.07,640,1638
72,0,23621,Rory Sabbatini,39.07,654,1674
74,0,12705,Cliff Kresge,39.06,703,1800
75,0,10809,Jim Furyk,39.05,710,1818
75,0,20095,Carl Paulson,39.05,710,1818
77,0,06078,Esteban Toledo,38.99,744,1908
78,0,20623,Gavin Coles,38.97,463,1188
79,0,10213,Dicky Pride,38.96,512,1314
80,0,01320,Bob Estes,38.95,638,1638
80,0,08547,John Maginnes,38.95,610,1566
82,0,08075,Jerry Kelly,38.89,728,1872
82,0,23552,Hank Kuehne,38.89,497,1278
84,0,23656,Jason Caron,38.81,496,1278
85,0,01766,Billy Mayfair,38.78,733,1890
86,0,20029,Notah Begay III,38.77,628,1620
86,0,24502,Adam Scott,38.77,321,828
88,0,21878,Mark Wilson,38.75,558,1440
89,0,11011,Mike Sposa,38.73,488,1260
90,0,07867,Woody Austin,38.68,724,1872
90,0,01706,Davis Love III,38.68,550,1422
90,0,02206,David Toms,38.68,564,1458
93,0,01139,Olin Browne,38.64,765,1980
94,0,01666,Bernhard Langer,38.63,445,1152
95,0,01707,Steve Lowery,38.61,556,1440
95,0,26950,John Morgan,38.61,549,1422
97,0,23036,Chris Anderson,38.60,667,1728
98,0,01175,Jim Carter,38.59,646,1674
99,0,26420,Richard Johnson,38.58,618,1602
100,0,08633,Per-Ulrik Johansson,38.54,666,1728
100,0,20548,Hidemichi Tanaka,38.54,777,2016
102,0,21806,Paul Gow,38.53,430,1116
103,0,20472,Alex Cejka,38.46,630,1638
103,0,20663,Brenden Pappas,38.46,713,1854
105,0,01723,Andrew Magee,38.45,616,1602
106,0,07457,Steve Flesch,38.43,747,1944
107,0,20771,Steven Alker,38.37,587,1530
108,0,07101,Dave Stockton Jr.,38.31,531,1386
109,0,06595,Kevin Sutherland,38.30,648,1692
110,0,23135,Tim Clark,38.25,537,1404
111,0,06573,Brandt Jobe,38.24,530,1386
112,0,23125,Brad Elder,38.21,337,882
113,0,23108,Matt Kuchar,38.16,419,1098
113,0,06332,Neal Lancaster,38.16,735,1926
115,0,06522,Ernie Els,38.15,412,1080
116,0,08375,Paul Stankowski,38.14,460,1206
117,0,01577,Lee Janzen,38.13,549,1440
