RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,29221,Webb Simpson,68.55,2262,33
2,0,47959,Bryson DeChambeau,68.75,1925,28
3,0,33448,Justin Thomas,69.03,2071,30
4,0,35891,Cameron Smith,69.12,2350,34
5,0,40026,Daniel Berger,69.15,2835,41
6,0,47504,Sam Burns,69.20,2837,41
7,0,29725,Tony Finau,69.32,2149,31
8,0,31646,Emiliano Grillo,69.33,3120,45
9,0,33419,Cameron Tringale,69.37,2844,41
10,0,30944,Jason Kokrak,69.38,2567,37
11,0,21209,Sergio Garcia,69.41,2360,34
12,0,46970,Jon Rahm,69.43,2083,30
13,0,48081,Xander Schauffele,69.44,2500,36
14,0,52375,Doug Ghim,69.45,2917,42
15,0,45486,Joaquin Niemann,69.48,3613,52
16,0,45526,Abraham Ancer,69.49,3266,47
17,0,47483,Will Zalatoris,69.51,2572,37
18,0,26329,Louis Oosthuizen,69.53,2225,32
19,0,34046,Jordan Spieth,69.54,2434,35
20,0,34098,Russell Henley,69.55,3060,44
21,0,35450,Patrick Cantlay,69.57,2087,30
22,0,34360,Patrick Reed,69.64,2507,36
23,0,46402,Talor Gooch,69.65,3413,49
24,0,30925,Dustin Johnson,69.67,2090,30
25,0,28237,Rory McIlroy,69.69,2509,36
26,0,39997,Corey Conners,69.71,3555,51
26,0,46442,Maverick McNealy,69.71,2649,38
26,0,33667,Carlos Ortiz,69.71,3346,48
29,0,29535,Brice Garnett,69.75,3348,48
29,0,27644,Brian Harman,69.75,3557,51
31,0,34099,Harris English,69.76,3209,46
31,0,12716,Charley Hoffman,69.76,3139,45
33,0,27214,Kevin Streelman,69.77,3349,48
34,0,32757,Patton Kizzire,69.78,3838,55
34,0,33122,Russell Knox,69.78,3210,46
36,0,30926,Chris Kirk,69.82,3142,45
37,0,33486,Roger Sloan,69.83,2793,40
37,0,32150,Michael Thompson,69.83,2933,42
39,0,39971,Sungjae Im,69.84,3841,55
40,0,25364,Paul Casey,69.85,2375,34
40,0,25396,Kevin Na,69.85,2864,41
42,0,19803,Ryan Armour,69.86,2515,36
43,0,36689,Brooks Koepka,69.88,1817,26
43,0,31560,Brian Stuard,69.88,3564,51
45,0,21961,Charles Howell III,69.92,2727,39
46,0,35310,Lanto Griffin,69.95,2798,40
47,0,32448,James Hahn,69.97,2379,34
48,0,26300,Matt Jones,69.98,4199,60
49,0,36801,Mark Hubbard,70.03,4202,60
49,0,50525,Collin Morikawa,70.03,2381,34
51,0,34363,Tyrrell Hatton,70.04,1891,27
52,0,46046,Scottie Scheffler,70.09,3224,46
53,0,23325,Vaughn Taylor,70.10,2874,41
54,0,46717,Viktor Hovland,70.11,2454,35
54,0,47347,Adam Schenk,70.11,3786,54
56,0,24024,Zach Johnson,70.14,2946,42
56,0,31420,Anirban Lahiri,70.14,2525,36
58,0,33141,Keegan Bradley,70.15,2315,33
58,0,20229,Stewart Cink,70.15,3297,47
60,0,23320,Ryan Palmer,70.18,2386,34
60,0,24138,Ian Poulter,70.18,2316,33
62,0,32791,K.H. Lee,70.21,4072,58
63,0,27349,Alex Noren,70.23,2739,39
63,0,30692,Scott Stallings,70.23,2809,40
65,0,34256,Andrew Putnam,70.25,3372,48
66,0,35449,Adam Long,70.26,2951,42
66,0,32333,Kevin Tway,70.26,2459,35
68,0,40098,Matt Fitzpatrick,70.28,1757,25
69,0,34466,Peter Malnati,70.29,2460,35
70,0,30110,Kyle Stanley,70.31,3375,48
71,0,24361,Pat Perez,70.35,3588,51
72,0,45157,Cam Davis,70.36,3940,56
72,0,32640,Troy Merritt,70.36,3729,53
72,0,28252,Seamus Power,70.36,1759,25
72,0,49960,Sepp Straka,70.36,3518,50
76,0,49766,Hank Lebioda,70.38,2604,37
77,0,46435,Austin Cook,70.40,2464,35
77,0,32839,Hideki Matsuyama,70.40,3309,47
79,0,27064,Jhonattan Vegas,70.41,3239,46
80,0,23108,Matt Kuchar,70.43,2465,35
81,0,22371,Aaron Baddeley,70.44,1902,27
81,0,37455,Si Woo Kim,70.44,3804,54
81,0,22056,Cameron Percy,70.44,3170,45
84,0,49964,Aaron Wise,70.45,2818,40
85,0,36871,Matthew NeSmith,70.46,3523,50
86,0,37189,Harold Varner III,70.47,3171,45
87,0,29420,Billy Horschel,70.48,3101,44
87,0,28775,Nate Lashley,70.48,2819,40
87,0,53165,Doc Redman,70.48,2960,42
90,0,29908,C.T. Pan,70.50,3102,44
90,0,27770,Camilo Villegas,70.50,2538,36
92,0,32816,Satoshi Kodaira,70.51,2750,39
92,0,48822,Sebastián Muñoz,70.51,3455,49
92,0,51894,Vince Whaley,70.51,3173,45
95,0,29479,Scott Brown,70.53,3174,45
96,0,33120,Mark Anderson,70.57,1976,28
96,0,34563,Chesson Hadley,70.57,2611,37
96,0,27942,Rob Oppenheim,70.57,2611,37
99,0,35532,Tom Hoge,70.60,3389,48
99,0,29478,Kevin Kisner,70.60,2824,40
99,0,25493,Nick Taylor,70.60,3742,53
102,0,40006,Erik van Rooyen,70.61,2683,38
103,0,56762,Will Gordon,70.63,3461,49
104,0,33490,Bo Hoag,70.64,3179,45
104,0,37275,Sam Ryder,70.64,2967,42
104,0,47128,Richy Werenski,70.64,2967,42
107,0,27129,Luke List,70.65,3250,46
108,0,25686,Jason Dufner,70.67,3039,43
108,0,33597,Harry Higgs,70.67,3251,46
110,0,29974,Branden Grace,70.68,2827,40
111,0,30163,Henrik Norlander,70.69,3181,45
111,0,30927,Brendon Todd,70.69,3181,45
113,0,31557,Jim Herman,70.70,2616,37
114,0,39977,Max Homa,70.73,2900,41
114,0,39953,Chase Seiffert,70.73,3112,44
116,0,24502,Adam Scott,70.74,3042,43
117,0,35461,Beau Hossler,70.75,3608,51
118,0,28089,Jason Day,70.77,2123,30
118,0,25900,Lucas Glover,70.77,3397,48
118,0,25818,Scott Piercy,70.77,3114,44
121,0,47993,Denny McCarthy,70.78,3610,51
121,0,36699,Patrick Rodgers,70.78,3610,51
123,0,26758,David Hearn,70.79,2407,34
123,0,35104,Tom Lewis,70.79,3044,43
123,0,27649,Brandt Snedeker,70.79,2973,42
123,0,25804,Bubba Watson,70.79,2336,33
127,0,33204,Shane Lowry,70.86,2551,36
127,0,48887,Matt Wallace,70.86,2055,29
129,0,29268,Bronson Burgoon,70.87,2764,39
129,0,27554,Scott Harrington,70.87,2764,39
131,0,27936,Martin Laird,70.90,2907,41
132,0,49298,Kramer Hickok,70.91,2482,35
