RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIES OR BETTER
1,0,27129,Luke List,148
2,0,47591,Eric Cole,147
3,0,37275,Sam Ryder,143
4,0,56630,Akshay Bhatia,141
5,0,51894,Vince Whaley,141
6,0,47988,Nick Hardy,134
7,0,35879,Kelly Kraft,132
8,0,26596,Ryan Moore,127
9,0,52955,Ludvig Åberg,126
10,0,52372,Cameron Champ,126
11,0,50493,Justin Suh,123
12,0,54591,Ben Griffin,122
13,0,34563,Chesson Hadley,120
14,0,40115,Adam Svensson,120
15,0,39324,J.J. Spaun,120
16,0,50095,Austin Smotherman,118
17,0,32757,Patton Kizzire,118
18,0,31577,Tano Goya,115
19,0,51414,Brent Grant,114
20,0,55454,Carl Yuan,114
21,0,35506,Mackenzie Hughes,112
22,0,32791,K.H. Lee,112
23,0,27349,Alex Noren,111
24,0,55789,Taylor Montgomery,111
25,0,58168,Davis Thompson,111
26,0,25818,Scott Piercy,109
27,0,58696,Peter Kuest,107
28,0,32640,Troy Merritt,106
29,0,34466,Peter Malnati,105
30,0,33122,Russell Knox,105
31,0,36871,Matt NeSmith,102
32,0,52374,Brandon Wu,101
33,0,40162,Justin Lower,100
34,0,36801,Mark Hubbard,100
35,0,46435,Austin Cook,99
36,0,56762,Will Gordon,97
37,0,35461,Beau Hossler,97
38,0,48867,Matti Schmid,97
39,0,28775,Nate Lashley,97
40,0,36799,Stephan Jaeger,96
41,0,27770,Camilo Villegas,95
42,0,45609,Tyler Duncan,95
43,0,35449,Adam Long,95
44,0,49298,Kramer Hickok,95
45,0,27936,Martin Laird,91
46,0,46340,Alex Smalley,91
47,0,32816,Satoshi Kodaira,90
48,0,40006,Erik van Rooyen,89
49,0,51890,Greyson Sigg,89
50,0,40250,Taylor Pendrith,87
51,0,35617,Martin Trainer,87
52,0,48699,Callum Tarren,87
53,0,39058,Lucas Herbert,87
54,0,34431,Robert Streb,85
55,0,37338,Zecheng Dou,84
56,0,47128,Richy Werenski,84
57,0,35310,Lanto Griffin,84
58,0,23320,Ryan Palmer,83
59,0,23108,Matt Kuchar,82
60,0,45242,Kevin Yu,82
61,0,48084,Wesley Bryan,82
62,0,20229,Stewart Cink,82
63,0,31202,William McGirt,82
64,0,30927,Brendon Todd,81
65,0,32333,Kevin Tway,81
66,0,22056,Cameron Percy,81
67,0,33408,Tyson Alexander,80
68,0,33653,Thomas Detry,80
69,0,36326,David Lipsky,80
70,0,33413,Ben Martin,80
71,0,12716,Charley Hoffman,80
72,0,27554,Scott Harrington,80
73,0,25686,Jason Dufner,79
74,0,52411,Kyle Westmoreland,79
75,0,53165,Doc Redman,79
76,0,46441,Robby Shelton,79
77,0,39954,Cody Gribble,79
78,0,51997,Andrew Novak,78
79,0,51349,Nico Echavarria,78
80,0,30750,Tommy Gainey,78
81,0,47995,Davis Riley,77
82,0,52513,Carson Young,76
83,0,57362,Austin Eckroat,76
84,0,57975,Harry Hall,76
85,0,40058,Zac Blair,75
86,0,30163,Henrik Norlander,75
87,0,19846,Brian Gay,74
88,0,48119,Ben Taylor,74
89,0,39067,MJ Daffue,73
90,0,55893,Sam Stevens,73
91,0,52375,Doug Ghim,73
92,0,31560,Brian Stuard,73
93,0,54783,Dylan Wu,73
94,0,33597,Harry Higgs,72
95,0,36724,Augusto Núñez,71
96,0,37278,Nicholas Lindheim,71
97,0,25632,Jimmy Walker,71
98,0,34610,Matthias Schwab,70
99,0,47079,Harrison Endycott,69
100,0,39335,Kevin Roy,68
101,0,49771,J.T. Poston,67
102,0,29535,Brice Garnett,65
103,0,19803,Ryan Armour,65
104,0,51950,Max McGreevy,65
105,0,29478,Kevin Kisner,65
106,0,33410,Andrew Landry,64
107,0,23541,Ben Crane,62
108,0,32366,Kevin Chappell,60
109,0,30692,Scott Stallings,59
110,0,29970,Dylan Frittelli,59
111,0,49453,Trevor Cone,59
112,0,59018,Ryan Gerard,58
113,0,58967,Trevor Werbylo,58
114,0,45157,Cam Davis,57
115,0,55708,Hayden Buckley,57
116,0,39975,Michael Kim,56
117,0,47347,Adam Schenk,56
118,0,57366,Cameron Young,55
119,0,47983,Chad Ramey,55
120,0,35901,Paul Haley II,55
121,0,54421,Garrick Higgo,54
122,0,24846,Ricky Barnes,54
123,0,28420,Ryan Brehm,53
124,0,27095,Nick Watney,53
125,0,39546,Keith Mitchell,51
126,0,34076,Joel Dahmen,51
127,0,51634,Sahith Theegala,50
128,0,34409,David Lingmerth,50
129,0,49766,Hank Lebioda,49
130,0,32662,Michael Gligic,49
131,0,23788,D.J. Trahan,48
132,0,32448,James Hahn,47
133,0,50188,S.H. Kim,47
134,0,31557,Jim Herman,47
135,0,29908,C.T. Pan,46
136,0,25900,Lucas Glover,45
137,0,30926,Chris Kirk,45
138,0,26476,Chez Reavie,44
139,0,35532,Tom Hoge,43
140,0,46442,Maverick McNealy,43
141,0,24140,Sean O'Hair,43
142,0,34098,Russell Henley,42
143,0,47993,Denny McCarthy,42
144,0,24502,Adam Scott,40
145,0,22371,Aaron Baddeley,40
146,0,24925,Jonathan Byrd,39
147,0,29221,Webb Simpson,38
148,0,45522,Christiaan Bezuidenhout,37
149,0,27556,Ted Potter Jr.,37
150,0,27974,Sung Kang,37
151,0,34256,Andrew Putnam,36
152,0,31646,Emiliano Grillo,36
153,0,29289,S.Y. Noh,35
154,0,27214,Kevin Streelman,35
155,0,46414,Aaron Rai,34
156,0,52453,Nicolai Højgaard,34
157,0,27644,Brian Harman,34
158,0,34099,Harris English,34
159,0,39997,Corey Conners,34
160,0,25493,Nick Taylor,33
161,0,27895,Jonas Blixt,33
162,0,27963,Chris Stroud,33
163,0,37455,Si Woo Kim,32
164,0,20593,Greg Chalmers,31
165,0,27649,Brandt Snedeker,30
166,0,25240,D.A. Points,29
167,0,54628,Lee Hodges,29
168,0,55182,Tom Kim,28
169,0,48887,Matt Wallace,26
170,0,33399,Adam Hadwin,25
171,0,50525,Collin Morikawa,24
172,0,24358,Robert Garrigus,24
173,0,26679,Kevin Stadler,23
174,0,39977,Max Homa,22
175,0,30110,Kyle Stanley,22
176,0,28679,Fabián Gómez,22
177,0,51070,Vincent Norrman,20
178,0,24024,Zach Johnson,20
179,0,33448,Justin Thomas,19
180,0,29479,Scott Brown,19
181,0,49947,Taylor Moore,18
182,0,25198,Francesco Molinari,18
183,0,48117,Kurt Kitayama,16
184,0,39971,Sungjae Im,16
185,0,28259,Sangmoon Bae,16
186,0,21407,Arjun Atwal,15
187,0,33141,Keegan Bradley,14
188,0,34213,Grayson Murray,14
189,0,37378,Min Woo Lee,13
190,0,37273,Derek Ernst,12
191,0,51491,Brandon Matthews,12
192,0,29420,Billy Horschel,12
193,0,21753,Brian Davis,11
194,0,27797,Derek Lamely,10
195,0,20766,Padraig Harrington,10
196,0,01706,Davis Love III,10
197,0,32102,Rickie Fowler,9
198,0,32839,Hideki Matsuyama,9
199,0,26758,David Hearn,9
200,0,46601,Trey Mullinax,9
201,0,27141,J.B. Holmes,8
202,0,24490,George McNeill,8
