RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,28237,Rory McIlroy,40.65,87,214
2,0,36689,Brooks Koepka,40.00,102,255
3,0,24358,Robert Garrigus,39.90,81,203
4,0,28089,Jason Day,38.79,90,232
5,0,01810,Phil Mickelson,38.20,102,267
6,0,35300,Andrew Loupe,37.55,101,269
7,0,25632,Jimmy Walker,37.54,110,293
8,0,34046,Jordan Spieth,37.40,92,246
9,0,30925,Dustin Johnson,37.27,82,220
10,0,27129,Luke List,37.07,96,259
11,0,29725,Tony Finau,36.45,113,310
12,0,27936,Martin Laird,36.36,96,264
13,0,21961,Charles Howell III,36.27,103,284
14,0,46440,Smylie Kaufman,36.22,117,323
15,0,26331,Charl Schwartzel,36.18,89,246
16,0,37189,Harold Varner III,35.69,111,311
17,0,24140,Sean O'Hair,35.28,115,326
17,0,31323,Gary Woodland,35.28,115,326
19,0,36699,Patrick Rodgers,35.17,102,290
20,0,21209,Sergio Garcia,35.14,52,148
21,0,27141,J.B. Holmes,35.11,92,262
22,0,33399,Adam Hadwin,35.01,118,337
23,0,32102,Rickie Fowler,34.63,98,283
24,0,22405,Justin Rose,34.02,82,241
25,0,29518,Brendan Steele,33.96,90,265
26,0,29461,Jamie Lovemark,33.94,112,330
27,0,30692,Scott Stallings,33.91,79,233
28,0,30944,Jason Kokrak,33.89,101,298
29,0,26329,Louis Oosthuizen,33.75,54,160
30,0,35545,Blayne Barber,33.72,87,258
31,0,25818,Scott Piercy,33.59,87,259
32,0,35732,Wes Roach,33.58,46,137
33,0,23320,Ryan Palmer,33.45,96,287
34,0,23108,Matt Kuchar,33.44,100,299
34,0,33448,Justin Thomas,33.44,101,302
36,0,34360,Patrick Reed,33.33,110,330
37,0,20157,Retief Goosen,33.17,67,202
38,0,33413,Ben Martin,32.80,102,311
39,0,29926,Danny Lee,32.79,101,308
40,0,24502,Adam Scott,32.77,77,235
41,0,26851,Marc Leishman,32.61,90,276
42,0,25834,Daniel Summerhays,32.33,107,331
43,0,40026,Daniel Berger,32.23,97,301
44,0,27064,Jhonattan Vegas,32.22,116,360
45,0,35451,Scott Pinckney,32.18,84,261
46,0,32366,Kevin Chappell,32.17,101,314
47,0,26289,Boo Weekley,32.13,89,277
48,0,27770,Camilo Villegas,32.10,78,243
49,0,25364,Paul Casey,32.02,81,253
50,0,25804,Bubba Watson,31.92,68,213
51,0,22371,Aaron Baddeley,31.77,95,299
51,0,31646,Emiliano Grillo,31.77,95,299
53,0,12716,Charley Hoffman,31.64,87,275
54,0,27436,Graham DeLaet,31.62,74,234
55,0,32757,Patton Kizzire,31.52,87,276
55,0,32839,Hideki Matsuyama,31.52,81,257
57,0,27895,Jonas Blixt,31.47,90,286
58,0,32150,Michael Thompson,31.28,56,179
59,0,34264,Hudson Swafford,31.17,101,324
60,0,29974,Branden Grace,31.06,50,161
61,0,25900,Lucas Glover,31.01,80,258
62,0,34563,Chesson Hadley,30.83,74,240
63,0,37273,Derek Ernst,30.82,49,159
64,0,33141,Keegan Bradley,30.77,72,234
65,0,20848,Ángel Cabrera,30.63,68,222
66,0,29289,S.Y. Noh,30.57,70,229
67,0,20766,Padraig Harrington,30.32,57,188
68,0,34099,Harris English,30.29,83,274
69,0,29720,Andres Gonzales,30.21,71,235
70,0,24846,Ricky Barnes,30.14,85,282
71,0,27649,Brandt Snedeker,30.10,87,289
72,0,29745,Tyler Aldridge,30.09,65,216
73,0,28114,Dawie van der Walt,30.00,63,210
74,0,34431,Robert Streb,29.96,71,237
75,0,29478,Kevin Kisner,29.93,82,274
76,0,29420,Billy Horschel,29.88,72,241
77,0,33667,Carlos Ortiz,29.82,68,228
78,0,20472,Alex Cejka,29.80,59,198
79,0,30926,Chris Kirk,29.75,83,279
80,0,32640,Troy Merritt,29.74,80,269
81,0,26951,Johnson Wagner,29.67,81,273
82,0,27644,Brian Harman,29.64,99,334
83,0,25274,Steven Bowditch,29.50,59,200
84,0,29485,Brett Stegmaier,29.43,78,265
85,0,20229,Stewart Cink,29.41,50,170
86,0,33461,Morgan Hoffmann,29.36,64,218
87,0,35539,Luke Guthrie,29.27,48,164
88,0,26300,Matt Jones,29.25,74,253
89,0,12510,Chad Campbell,29.18,89,305
89,0,33122,Russell Knox,29.18,75,257
91,0,28679,Fabián Gómez,29.13,90,309
91,0,30163,Henrik Norlander,29.13,60,206
93,0,27974,Sung Kang,29.12,83,285
94,0,21731,Freddie Jacobson,29.09,80,275
95,0,37455,Si Woo Kim,28.95,119,411
96,0,34098,Russell Henley,28.86,71,246
97,0,35879,Kelly Kraft,28.85,45,156
98,0,25493,Nick Taylor,28.75,69,240
99,0,25198,Francesco Molinari,28.51,63,221
100,0,22046,Geoff Ogilvy,28.49,49,172
101,0,24924,Bill Haas,28.46,72,253
102,0,32200,Roberto Castro,28.41,102,359
103,0,29268,Bronson Burgoon,28.35,72,254
103,0,25892,Steve Wheatcroft,28.35,74,261
105,0,27466,Spencer Levin,28.34,89,314
106,0,24461,Thomas Aiken,28.25,50,177
107,0,29479,Scott Brown,28.23,70,248
108,0,31202,William McGirt,28.22,103,365
109,0,28158,Steve Marino,28.21,55,195
110,0,31420,Anirban Lahiri,28.16,58,206
111,0,34265,Will Wilcox,28.14,65,231
112,0,27747,Hiroshi Iwata,27.94,69,247
113,0,45526,Abraham Ancer,27.87,34,122
113,0,32448,James Hahn,27.87,80,287
115,0,29223,Sam Saunders,27.84,54,194
116,0,33419,Cameron Tringale,27.67,83,300
117,0,25686,Jason Dufner,27.50,77,280
118,0,34261,Scott Langley,27.27,60,220
119,0,20691,Greg Owen,27.09,68,251
120,0,25572,Graeme McDowell,26.94,52,193
121,0,24781,Hunter Mahan,26.74,50,187
