RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,26420,Richard Johnson,22.00,22,1
2,0,02206,David Toms,23.00,23,1
3,0,19846,Brian Gay,24.00,24,1
3,0,24361,Pat Perez,24.00,24,1
5,0,11123,Chris Couch,25.00,25,1
5,0,30946,Alex Prugh,25.00,25,1
5,0,25190,Jeff Quinney,25.00,25,1
5,0,10423,Mike Weir,25.00,25,1
5,0,26392,Chris Wilson,25.00,25,1
10,0,20070,Matt Bettencourt,26.00,26,1
10,0,23135,Tim Clark,26.00,26,1
10,0,21961,Charles Howell III,26.00,26,1
10,0,23108,Matt Kuchar,26.00,26,1
10,0,32640,Troy Merritt,26.00,26,1
10,0,26596,Ryan Moore,26.00,26,1
10,0,25396,Kevin Na,26.00,26,1
10,0,20572,Rod Pampling,26.00,26,1
18,0,22946,Henrik Bjornstad,27.00,27,1
18,0,01116,Michael Bradley,27.00,27,1
18,0,25720,Chad Collins,27.00,27,1
18,0,23638,Brendon de Jonge,27.00,27,1
18,0,01577,Lee Janzen,27.00,27,1
18,0,24490,George McNeill,27.00,27,1
18,0,27649,Brandt Snedeker,27.00,27,1
18,0,08385,Omar Uresti,27.00,27,1
18,0,20436,Garrett Willis,27.00,27,1
27,0,24507,Jason Bohn,28.00,28,1
27,0,20593,Greg Chalmers,28.00,28,1
27,0,21753,Brian Davis,28.00,28,1
27,0,27436,Graham DeLaet,28.00,28,1
27,0,06621,Joe Durant,28.00,28,1
27,0,01320,Bob Estes,28.00,28,1
27,0,08725,Tom Gillis,28.00,28,1
27,0,24924,Bill Haas,28.00,28,1
27,0,08537,J.P. Hayes,28.00,28,1
27,0,26300,Matt Jones,28.00,28,1
27,0,01766,Billy Mayfair,28.00,28,1
27,0,21949,Joe Ogilvie,28.00,28,1
27,0,20691,Greg Owen,28.00,28,1
27,0,20663,Brenden Pappas,28.00,28,1
27,0,22293,Heath Slocum,28.00,28,1
27,0,23788,D.J. Trahan,28.00,28,1
27,0,32617,Jerod Turner,28.00,28,1
44,0,24846,Ricky Barnes,29.00,29,1
44,0,25686,Jason Dufner,29.00,29,1
44,0,01313,Steve Elkington,29.00,29,1
44,0,21731,Freddie Jacobson,29.00,29,1
44,0,26679,Kevin Stadler,29.00,29,1
44,0,23307,Roger Tambellini,29.00,29,1
44,0,23325,Vaughn Taylor,29.00,29,1
44,0,25804,Bubba Watson,29.00,29,1
52,0,28500,Martin Flores,30.00,30,1
52,0,21350,Ryuji Imada,30.00,30,1
52,0,27797,Derek Lamely,30.00,30,1
52,0,28475,Jeff Overton,30.00,30,1
52,0,23320,Ryan Palmer,30.00,30,1
52,0,29221,Webb Simpson,30.00,30,1
52,0,27214,Kevin Streelman,30.00,30,1
52,0,06595,Kevin Sutherland,30.00,30,1
52,0,27330,Josh Teater,30.00,30,1
52,0,23623,Bo Van Pelt,30.00,30,1
62,0,06251,Chris DiMarco,31.00,31,1
62,0,06643,Paul Goydos,31.00,31,1
62,0,27933,John Merrick,31.00,31,1
62,0,25345,Carl Pettersson,31.00,31,1
62,0,20645,John Senden,31.00,31,1
62,0,26882,Michael Sim,31.00,31,1
68,0,23548,Bill Lunde,33.00,33,1
69,0,07749,Brett Quigley,34.00,34,1
70,0,23541,Ben Crane,36.00,36,1
