RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3+ PUTTS,TOTAL ROUNDS
1,0,21949,Joe Ogilvie,.07,7,99
2,0,01249,John Daly,.05,3,63
2,0,25686,Jason Dufner,.05,4,87
4,0,09011,David Duval,.04,3,71
4,0,24912,Will MacKenzie,.04,3,72
4,0,27302,Garth Mulroy,.04,2,53
4,0,01948,Tim Petrovic,.04,4,105
4,0,23307,Roger Tambellini,.04,3,77
9,0,12652,Cameron Beckman,.03,2,68
9,0,20229,Stewart Cink,.03,2,80
9,0,23409,James Driscoll,.03,2,78
9,0,01320,Bob Estes,.03,2,79
9,0,28307,Matt Every,.03,2,60
9,0,28500,Martin Flores,.03,2,75
9,0,23718,Nathan Green,.03,3,86
9,0,20378,Mathias Grönberg,.03,2,61
9,0,12782,Tim Herron,.03,2,79
9,0,23548,Bill Lunde,.03,2,79
9,0,27613,David Lutterus,.03,2,69
9,0,01724,Jeff Maggert,.03,2,76
9,0,27060,John Mallinger,.03,2,78
9,0,26596,Ryan Moore,.03,2,79
9,0,26301,James Nitties,.03,3,92
9,0,20691,Greg Owen,.03,2,69
9,0,24502,Adam Scott,.03,2,68
9,0,23623,Bo Van Pelt,.03,3,104
9,0,27095,Nick Watney,.03,3,88
9,0,24663,Y.E. Yang,.03,2,70
29,0,22371,Aaron Baddeley,.02,2,94
29,0,20070,Matt Bettencourt,.02,2,91
29,0,01161,Mark Calcavecchia,.02,1,50
29,0,12510,Chad Campbell,.02,2,93
29,0,21753,Brian Davis,.02,2,101
29,0,27436,Graham DeLaet,.02,2,88
29,0,29285,Brent Delahoussaye,.02,1,57
29,0,32102,Rickie Fowler,.02,2,98
29,0,20105,Jeff Gove,.02,1,57
29,0,27141,J.B. Holmes,.02,2,100
29,0,22378,Trevor Immelman,.02,1,55
29,0,24024,Zach Johnson,.02,2,91
29,0,26695,Michael Letzig,.02,2,84
29,0,26881,Jarrod Lyle,.02,1,54
29,0,24781,Hunter Mahan,.02,2,84
29,0,28237,Rory McIlroy,.02,1,52
29,0,24140,Sean O'Hair,.02,2,82
29,0,22046,Geoff Ogilvy,.02,1,60
29,0,20663,Brenden Pappas,.02,1,66
29,0,07749,Brett Quigley,.02,2,96
29,0,22293,Heath Slocum,.02,2,97
29,0,27330,Josh Teater,.02,2,101
29,0,23788,D.J. Trahan,.02,2,92
29,0,12755,Vance Veazey,.02,1,58
29,0,10423,Mike Weir,.02,1,57
54,0,06004,Stephen Ames,.01,1,74
54,0,20098,Stuart Appleby,.01,1,101
54,0,07867,Woody Austin,.01,1,93
54,0,24846,Ricky Barnes,.01,1,103
54,0,23673,Michael Connell,.01,1,89
54,0,10809,Jim Furyk,.01,1,74
54,0,08725,Tom Gillis,.01,1,97
54,0,06643,Paul Goydos,.01,1,78
54,0,08537,J.P. Hayes,.01,1,79
54,0,21350,Ryuji Imada,.01,1,90
54,0,21731,Freddie Jacobson,.01,1,83
54,0,30925,Dustin Johnson,.01,1,82
54,0,26420,Richard Johnson,.01,1,90
54,0,01706,Davis Love III,.01,1,79
54,0,01766,Billy Mayfair,.01,1,78
54,0,01810,Phil Mickelson,.01,1,76
54,0,25396,Kevin Na,.01,1,93
54,0,22405,Justin Rose,.01,1,78
54,0,23621,Rory Sabbatini,.01,1,78
54,0,29221,Webb Simpson,.01,1,98
54,0,27214,Kevin Streelman,.01,1,90
54,0,27963,Chris Stroud,.01,1,90
54,0,06595,Kevin Sutherland,.01,1,86
54,0,23325,Vaughn Taylor,.01,1,87
54,0,26287,Roland Thatcher,.01,1,72
54,0,28780,Nicholas Thompson,.01,1,88
54,0,12714,Chris Tidland,.01,1,77
54,0,27770,Camilo Villegas,.01,1,72
54,0,26951,Johnson Wagner,.01,1,85
54,0,26289,Boo Weekley,.01,1,88
54,0,25892,Steve Wheatcroft,.01,1,74
54,0,20160,Charlie Wi,.01,1,95
54,0,10425,Jay Williamson,.01,1,76
54,0,20436,Garrett Willis,.01,1,82
