RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,28237,Rory McIlroy,68.827,4433,- 28.062,64
2,0,21209,Sergio Garcia,68.950,4024,- 24.910,58
3,0,10809,Jim Furyk,69.200,5583,- 46.963,80
4,0,24502,Adam Scott,69.205,4725,- 19.082,68
5,0,23108,Matt Kuchar,69.416,6140,- 31.365,88
6,0,30925,Dustin Johnson,69.546,3983,- 18.878,57
7,0,22405,Justin Rose,69.624,4772,- 37.571,68
8,0,28089,Jason Day,69.626,3369,- 26.933,48
9,0,25572,Graeme McDowell,69.642,4353,- 35.204,62
10,0,26331,Charl Schwartzel,69.671,4344,- 24.368,62
11,0,25804,Bubba Watson,69.712,5108,- 19.027,73
12,0,25632,Jimmy Walker,69.789,6718,- 18.289,96
13,0,27436,Graham DeLaet,69.943,5545,- 19.480,79
14,0,34046,Jordan Spieth,69.946,6893,- 38.311,98
15,0,23320,Ryan Palmer,69.993,5955,- 5.559,85
16,0,25396,Kevin Na,69.996,6589,- 9.348,94
17,0,33141,Keegan Bradley,70.031,6181,- 18.270,88
18,0,30927,Brendon Todd,70.049,7587,- 21.683,108
19,0,36689,Brooks Koepka,70.052,3933,- 10.062,56
20,0,32839,Hideki Matsuyama,70.083,5635,- 28.380,80
21,0,34099,Harris English,70.094,6450,- 1.320,92
22,0,33122,Russell Knox,70.111,6454,- 3.801,92
23,0,24924,Bill Haas,70.132,7380,- 16.142,105
24,0,21961,Charles Howell III,70.134,7423,11.207,106
25,0,30926,Chris Kirk,70.150,7318,- 22.407,104
26,0,25364,Paul Casey,70.152,3949,- 20.474,56
26,0,26851,Marc Leishman,70.152,5635,- 22.875,80
28,0,24024,Zach Johnson,70.159,6741,- 5.748,96
29,0,21528,Henrik Stenson,70.166,3815,- 26.013,54
30,0,32102,Rickie Fowler,70.172,5985,- 20.420,85
31,0,29221,Webb Simpson,70.234,5914,- 14.341,84
32,0,24490,George McNeill,70.248,5560,- 10.391,79
33,0,31323,Gary Woodland,70.249,6490,- 27.086,92
34,0,20645,John Senden,70.270,6960,- 3.233,99
35,0,01810,Phil Mickelson,70.278,5023,- 33.289,71
36,0,30944,Jason Kokrak,70.307,4575,- 5.020,65
37,0,26596,Ryan Moore,70.344,5906,2.881,84
38,0,08075,Jerry Kelly,70.349,5609,18.913,80
39,0,02206,David Toms,70.350,4350,11.721,62
40,0,27644,Brian Harman,70.391,7809,4.410,111
41,0,12716,Charley Hoffman,70.464,6556,- 2.858,93
42,0,32366,Kevin Chappell,70.466,6763,1.761,96
43,0,27408,Martin Kaymer,70.468,4542,- 32.024,64
44,0,27963,Chris Stroud,70.476,6182,19.924,88
45,0,34431,Robert Streb,70.502,5002,3.642,71
46,0,25345,Carl Pettersson,70.520,6420,- 2.724,91
47,0,29420,Billy Horschel,70.521,6364,- 17.087,90
48,0,31560,Brian Stuard,70.549,6122,15.797,87
49,0,25834,Daniel Summerhays,70.566,6904,11.426,98
50,0,24781,Hunter Mahan,70.574,6041,- 42.206,85
51,0,12510,Chad Campbell,70.590,3724,17.290,53
52,0,34360,Patrick Reed,70.598,6371,- 17.156,90
53,0,20098,Stuart Appleby,70.599,6359,- 5.106,90
54,0,21731,Freddie Jacobson,70.604,6432,- 7.076,91
55,0,33418,Shawn Stefani,70.609,4243,- 6.444,60
56,0,26679,Kevin Stadler,70.620,6294,- 8.852,89
57,0,33419,Cameron Tringale,70.630,7855,- 15.119,111
58,0,35539,Luke Guthrie,70.638,5994,10.248,85
59,0,29289,S.Y. Noh,70.661,6503,- 2.224,92
60,0,34261,Scott Langley,70.662,6560,11.585,93
61,0,24846,Ricky Barnes,70.671,6200,19.038,88
61,0,27649,Brandt Snedeker,70.671,6169,- 20.582,87
63,0,20848,Ángel Cabrera,70.675,4902,- 25.426,69
64,0,24912,Will MacKenzie,70.685,5792,4.157,82
65,0,29222,Billy Hurley III,70.696,6082,- 2.153,86
66,0,31202,William McGirt,70.712,6763,25.354,96
67,0,29425,Andrew Svoboda,70.713,5431,13.935,77
68,0,25349,Tim Wilkinson,70.714,5803,- 4.433,82
69,0,27770,Camilo Villegas,70.716,6705,12.992,95
70,0,29478,Kevin Kisner,70.718,6005,6.069,85
71,0,27141,J.B. Holmes,70.721,6126,- 43.972,86
72,0,28307,Matt Every,70.722,6031,- 19.625,85
72,0,24138,Ian Poulter,70.722,3993,- 32.558,56
74,0,24358,Robert Garrigus,70.728,5658,.253,80
74,0,20157,Retief Goosen,70.728,6379,- 13.483,90
76,0,33413,Ben Martin,70.732,5657,1.571,80
77,0,28475,Jeff Overton,70.734,5354,21.757,76
78,0,23983,Luke Donald,70.735,3989,- 27.834,56
79,0,06522,Ernie Els,70.736,5619,- 30.856,79
80,0,22293,Heath Slocum,70.737,4871,9.883,69
81,0,23135,Tim Clark,70.738,5303,2.386,75
81,0,20396,Lee Westwood,70.738,3992,- 30.695,56
83,0,27095,Nick Watney,70.756,5327,- 20.281,75
84,0,22371,Aaron Baddeley,70.796,5122,- 24.714,72
85,0,29518,Brendan Steele,70.798,6015,2.810,85
86,0,23638,Brendon de Jonge,70.801,7747,- 29.651,109
87,0,29926,Danny Lee,70.802,5654,10.181,80
88,0,34265,Will Wilcox,70.819,3456,14.153,49
89,0,23623,Bo Van Pelt,70.827,5882,- 3.347,83
90,0,24494,Erik Compton,70.829,6251,- 18.025,88
91,0,26758,David Hearn,70.830,6856,14.477,97
92,0,25444,Justin Hicks,70.836,7006,6.718,99
93,0,20229,Stewart Cink,70.847,6471,- 23.887,91
94,0,26329,Louis Oosthuizen,70.852,3292,- 32.804,46
94,0,25562,Andres Romero,70.852,5466,- 10.358,77
96,0,24357,K.J. Choi,70.870,5701,- 31.396,80
97,0,29740,Brad Fritsch,70.888,3388,14.612,48
98,0,24507,Jason Bohn,70.892,5741,1.290,81
99,0,10860,Justin Leonard,70.895,5335,- 17.872,75
100,0,33461,Morgan Hoffmann,70.899,7008,11.010,99
101,0,25686,Jason Dufner,70.900,3843,- 14.391,54
101,0,32640,Troy Merritt,70.900,4391,4.790,62
103,0,28486,Michael Putnam,70.905,7232,.360,102
104,0,10885,Robert Allenby,70.920,5741,3.554,81
105,0,06567,Vijay Singh,70.933,5899,- 11.520,83
106,0,29479,Scott Brown,70.936,7071,22.568,100
107,0,23541,Ben Crane,70.954,5740,7.304,81
108,0,30852,Ryo Ishikawa,70.980,5313,10.513,75
109,0,26300,Matt Jones,71.021,5896,- 1.295,83
110,0,27064,Jhonattan Vegas,71.022,5308,18.650,75
111,0,29535,Brice Garnett,71.039,6234,17.411,88
112,0,34021,Bud Cauley,71.060,3960,19.363,56
113,0,23353,J.J. Henry,71.064,6170,12.599,87
114,0,20160,Charlie Wi,71.067,4973,1.658,70
115,0,28132,Tyrone Van Aswegen,71.070,5533,10.453,78
116,0,24925,Jonathan Byrd,71.083,5107,10.986,72
117,0,27466,Spencer Levin,71.086,4187,7.084,59
118,0,27556,Ted Potter Jr.,71.087,4836,- 2.060,68
119,0,24361,Pat Perez,71.110,5973,.241,84
120,0,23800,Bryce Molder,71.112,5182,9.147,73
121,0,20104,Ken Duke,71.137,5532,16.680,78
122,0,35300,Andrew Loupe,71.142,4340,- .354,61
123,0,25274,Steven Bowditch,71.145,6622,- 5.517,93
124,0,34264,Hudson Swafford,71.167,5049,3.824,71
125,0,28259,Sangmoon Bae,71.168,5402,6.739,76
126,0,32448,James Hahn,71.186,5698,- 3.088,80
127,0,32150,Michael Thompson,71.194,5258,10.336,74
128,0,28500,Martin Flores,71.199,6046,5.942,85
129,0,35732,Wes Roach,71.206,4479,6.997,63
130,0,34563,Chesson Hadley,71.212,5991,- 9.175,84
131,0,21753,Brian Davis,71.232,6618,6.621,93
132,0,34174,John Huh,71.240,5920,- 7.070,83
132,0,24140,Sean O'Hair,71.240,5480,5.511,77
134,0,20593,Greg Chalmers,71.251,5767,4.338,81
135,0,32334,Charlie Beljan,71.280,5127,5.155,72
