RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,33448,Justin Thomas,449,WGC-Mexico,4,2,240
2,0,32102,Rickie Fowler,431,the Memorial,1,17,023
2,0,25804,Bubba Watson,431,the Memorial,4,17,023
4,0,21209,Sergio Garcia,429,the Memorial,4,17,023
4,0,35310,Lanto Griffin,429,Sentry,1,7,656
6,0,47959,Bryson DeChambeau,428,Travelers,2,10,503
7,0,33204,Shane Lowry,417,the Memorial,1,17,023
8,0,46970,Jon Rahm,415,Sentry,4,7,656
9,0,52372,Cameron Champ,413,Sentry,1,7,656
10,0,28237,Rory McIlroy,412,WGC-Mexico,3,10,240
11,0,29725,Tony Finau,411,the Memorial,4,1,023
11,0,21961,Charles Howell III,411,the Memorial,4,17,023
11,0,49960,Sepp Straka,411,The Greenbrier,1,6,771
14,0,33948,Byeong Hun An,410,WGC-Mexico,3,2,240
15,0,28420,Ryan Brehm,409,Sony Open,2,16,006
16,0,27974,Sung Kang,408,WGC-Mexico,2,12,240
17,0,46046,Scottie Scheffler,407,WGC-Mexico,4,4,240
18,0,45486,Joaquin Niemann,406,the Memorial,1,17,023
19,0,26329,Louis Oosthuizen,404,WGC-Mexico,4,4,240
20,0,27554,Scott Harrington,402,the Memorial,3,17,023
20,0,34046,Jordan Spieth,402,WGC-Mexico,4,4,240
22,0,29936,Ryan Fox,400,WGC-Mexico,1,2,240
22,0,46550,Brandon Hagy,400,The Greenbrier,2,17,771
22,0,24502,Adam Scott,400,WGC-Mexico,2,11,240
22,0,56278,Matthew Wolff,400,the Memorial,1,17,023
22,0,31323,Gary Woodland,400,Sentry,4,12,656
27,0,51766,Wyndham Clark,399,the Memorial,2,17,023
28,0,25364,Paul Casey,397,Sentry,1,12,656
28,0,35617,Martin Trainer,397,Sentry,4,17,656
30,0,34255,Joseph Bramlett,396,The Greenbrier,2,1,771
30,0,32839,Hideki Matsuyama,396,WGC-Mexico,4,10,240
32,0,01810,Phil Mickelson,394,Workday,1,17,893
32,0,49771,J.T. Poston,394,Wyndham,1,5,752
34,0,30925,Dustin Johnson,393,WGC-Mexico,1,10,240
34,0,20396,Lee Westwood,393,WGC-Mexico,3,10,240
36,0,30812,Benjamin Hebert,392,WGC-Mexico,4,11,240
37,0,26331,Charl Schwartzel,391,the Memorial,1,17,023
37,0,40006,Erik van Rooyen,391,the Memorial,4,17,023
39,0,30944,Jason Kokrak,390,the Memorial,1,1,023
39,0,26851,Marc Leishman,390,the Memorial,3,17,023
39,0,25198,Francesco Molinari,390,WGC-Mexico,3,10,240
42,0,28089,Jason Day,388,Pebble Beach,1,10,769
42,0,29420,Billy Horschel,388,WGC-Mexico,1,2,240
42,0,31420,Anirban Lahiri,388,Pebble Beach,1,3,005
