RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,45157,Cam Davis,52.59,61,116,-0.23
2,0,30911,Tommy Fleetwood,51.79,29,56,+0.21
3,1,36689,Brooks Koepka,47.37,36,76,-0.14
4,-1,48081,Xander Schauffele,46.77,58,124,-0.26
5,0,22405,Justin Rose,45.59,31,68,-0.23
6,0,27095,Nick Watney,45.45,40,88,-0.43
7,0,27554,Scott Harrington,44.12,60,136,-0.25
8,1,32366,Kevin Chappell,43.90,36,82,-0.47
9,1,34314,Sebastian Cappelen,43.40,46,106,-0.33
10,1,33141,Keegan Bradley,43.33,52,120,-0.06
11,1,49960,Sepp Straka,42.86,60,140,-0.22
12,1,40042,Tyler McCumber,42.45,45,106,-0.20
13,1,36699,Patrick Rodgers,42.31,77,182,-0.31
14,1,56278,Matthew Wolff,41.67,55,132,-0.04
15,1,27936,Martin Laird,41.03,32,78,-0.28
16,1,32102,Rickie Fowler,40.91,36,88,-0.31
17,1,47504,Sam Burns,40.52,47,116,-0.26
17,4,33448,Justin Thomas,40.52,47,116,-0.23
19,0,27129,Luke List,40.00,52,130,-0.29
20,0,29518,Brendan Steele,39.84,51,128,-0.20
21,13,34363,Tyrrell Hatton,39.71,27,68,-0.19
22,0,33667,Carlos Ortiz,39.58,57,144,-0.37
23,7,23320,Ryan Palmer,39.17,47,120,-0.21
24,-1,33597,Harry Higgs,39.16,65,166,-0.15
25,-1,32448,James Hahn,38.89,28,72,-0.39
25,-1,32333,Kevin Tway,38.89,28,72,-0.25
27,-1,31646,Emiliano Grillo,38.60,44,114,-0.14
28,-1,32662,Michael Gligic,38.54,37,96,-0.22
29,-1,46046,Scottie Scheffler,38.41,63,164,-0.16
30,-1,51766,Wyndham Clark,37.74,40,106,-0.15
31,18,48822,Sebastián Muñoz,37.50,63,168,-0.37
31,-1,34213,Grayson Murray,37.50,27,72,-0.30
31,-1,35658,Kris Ventura,37.50,33,88,-0.15
