RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,47959,Bryson DeChambeau,44.24,384,868,-0.242
2,0,52372,Cameron Champ,43.24,371,858,-0.197
3,0,28420,Ryan Brehm,34.38,154,448,-0.149
4,0,56278,Matthew Wolff,29.91,265,886,-0.253
5,0,46550,Brandon Hagy,29.37,148,504,-0.250
6,0,25804,Bubba Watson,29.07,232,798,-0.259
7,2,30925,Dustin Johnson,28.10,186,662,-0.306
8,-1,28237,Rory McIlroy,28.01,200,714,-0.220
9,-1,34213,Grayson Murray,27.65,120,434,-0.233
10,0,46970,Jon Rahm,26.81,215,802,-0.191
11,0,56762,Will Gordon,25.97,80,308,-0.200
12,0,35617,Martin Trainer,25.64,141,550,E
13,0,24502,Adam Scott,25.48,107,420,-0.224
14,0,30944,Jason Kokrak,24.51,175,714,-0.126
15,0,33448,Justin Thomas,24.39,199,816,-0.317
16,0,29725,Tony Finau,24.09,199,826,-0.332
17,0,40042,Tyler McCumber,23.87,127,532,-0.102
18,0,35450,Patrick Cantlay,23.55,146,620,-0.205
19,0,47504,Sam Burns,23.38,180,770,-0.206
20,0,21209,Sergio Garcia,23.21,104,448,-0.212
21,0,27129,Luke List,22.88,189,826,-0.233
22,0,36699,Patrick Rodgers,22.76,239,1050,-0.180
23,0,39546,Keith Mitchell,22.59,159,704,-0.138
24,0,31323,Gary Woodland,21.72,162,746,-0.228
25,1,48081,Xander Schauffele,21.33,183,858,-0.306
26,-1,51766,Wyndham Clark,21.12,136,644,-0.316
27,0,25364,Paul Casey,20.81,129,620,-0.155
28,2,45486,Joaquin Niemann,20.68,189,914,-0.217
29,2,46046,Scottie Scheffler,20.51,201,980,-0.229
30,-2,30911,Tommy Fleetwood,20.41,80,392,-0.225
31,-2,48887,Matt Wallace,20.36,114,560,-0.246
32,0,35461,Beau Hossler,19.39,133,686,-0.218
33,0,27554,Scott Harrington,19.31,146,756,-0.247
34,0,27974,Sung Kang,19.27,168,872,-0.185
35,0,32333,Kevin Tway,19.18,94,490,-0.160
36,0,33948,Byeong Hun An,19.17,161,840,-0.137
37,0,21961,Charles Howell III,19.14,134,700,-0.231
38,0,35658,Kris Ventura,19.13,75,392,-0.307
39,0,27064,Jhonattan Vegas,18.92,98,518,-0.204
40,0,36689,Brooks Koepka,18.42,98,532,-0.163
41,0,35310,Lanto Griffin,17.97,202,1124,-0.292
42,0,34314,Sebastian Cappelen,17.76,87,490,-0.103
43,0,48822,Sebastián Muñoz,17.43,191,1096,-0.230
44,1,33667,Carlos Ortiz,17.36,158,910,-0.241
45,1,01810,Phil Mickelson,17.29,92,532,-0.141
46,-2,32839,Hideki Matsuyama,17.21,147,854,-0.265
47,0,32139,Danny Willett,17.19,77,448,-0.195
48,0,45157,Cam Davis,17.08,110,644,-0.282
49,0,28252,Seamus Power,17.01,50,294,-0.420
50,1,29484,Peter Uihlein,16.23,75,462,-0.400
51,6,34363,Tyrrell Hatton,15.97,76,476,-0.158
52,0,39997,Corey Conners,15.83,138,872,-0.123
53,0,29518,Brendan Steele,15.82,124,784,-0.290
54,0,34046,Jordan Spieth,15.81,104,658,-0.163
55,0,33449,Zack Sucher,15.77,53,336,-0.415
56,0,39977,Max Homa,15.71,126,802,-0.159
57,2,29926,Danny Lee,15.32,118,770,-0.169
58,2,37189,Harold Varner III,15.29,122,798,-0.352
59,2,29974,Branden Grace,15.15,70,462,-0.100
